accuracy,precision,recall,f1,fpr,fnr,model,defense_attack,ratio,eval_attack,adv_train_s,family,epsilon,iters,confidence,retrain_s,seed
0.9200021758247736,0.9404319480133364,0.8803451086416317,0.9093970757351734,0.04675,0.1196548913583682,MLP,FGSM,0.3,FGSM_eps0.15,129.69620943069458,FGSM,0.15,1,,,42
0.8481727604870221,0.8680515947878734,0.7866528835258334,0.8253501444378396,0.10025,0.2133471164741665,MLP,FGSM,0.3,FGSM_eps0.3,129.69620943069458,FGSM,0.3,1,,,42
0.8512370470431448,0.8634043830681477,0.8004293978490349,0.8307251101230696,0.1061666666666666,0.1995706021509651,MLP,FGSM,0.3,FGSM_eps0.5,129.69620943069458,FGSM,0.5,1,,,42
0.7393633899349973,0.8185069157110769,0.5505635846768583,0.6583154066485221,0.10235,0.4494364153231417,MLP,FGSM,0.3,FGSM_eps0.75,129.69620943069458,FGSM,0.75,1,,,42
0.9305911897228544,0.9392703376387944,0.9064071725344413,0.9225461829512576,0.0491333333333333,0.0935928274655587,MLP,FGSM,0.3,PGD_eps0.15_it10,129.69620943069458,PGD,0.15,10,,,42
0.901625522424594,0.9225611584765006,0.8561517205733257,0.8881167190802701,0.06025,0.1438482794266743,MLP,FGSM,0.3,PGD_eps0.15_it25,129.69620943069458,PGD,0.15,25,,,42
0.8866757930428003,0.9163417696425032,0.8270083295230901,0.8693862197237258,0.0633,0.1729916704769099,MLP,FGSM,0.3,PGD_eps0.3_it10,129.69620943069458,PGD,0.3,10,,,42
0.8783895270300899,0.8996554787545232,0.8253980875892094,0.8609285255147532,0.0771833333333333,0.1746019124107906,MLP,FGSM,0.3,PGD_eps0.3_it25,129.69620943069458,PGD,0.3,25,,,42
0.8583628731766135,0.8250478011472275,0.8749577559986482,0.8492701328522224,0.15555,0.1250422440013518,MLP,FGSM,0.3,PGD_eps0.5_it10,129.69620943069458,PGD,0.5,10,,,42
0.847257100894808,0.8204440527959235,0.8514005128918752,0.8356356825099508,0.1562166666666666,0.1485994871081247,MLP,FGSM,0.3,PGD_eps0.5_it25,129.69620943069458,PGD,0.5,25,,,42
0.7387106425029237,0.7570109111791731,0.6289286921257181,0.6870514143004506,0.16925,0.3710713078742818,MLP,FGSM,0.3,PGD_eps0.75_it10,129.69620943069458,PGD,0.75,10,,,42
0.7538960862351886,0.7592298220082839,0.6741347434546647,0.7141563474012299,0.1792333333333333,0.3258652565453352,MLP,FGSM,0.3,PGD_eps0.75_it25,129.69620943069458,PGD,0.75,25,,,42
0.961750813667806,0.9321617465021194,0.9880325229111584,0.9592843149554628,0.0602833333333333,0.0119674770888416,MLP,FGSM,0.3,CW_c0.0_it10,129.69620943069458,CW,,10,0.0,,42
0.962222242368748,0.9336742367273274,0.9872969802993856,0.959737185371274,0.0588,0.0127030197006142,MLP,FGSM,0.3,CW_c0.5_it10,129.69620943069458,CW,,10,0.5,,42
0.9962285703924644,0.9975068312822866,0.9942150567560584,0.995858223815213,0.0020833333333333,0.0057849432439417,MLP,FGSM,0.3,Clean,129.69620943069458,Clean,0.0,0,,,42
0.9221145390424558,0.9669741614795576,0.8585372641790748,0.9095350918759544,0.0245833333333333,0.1414627358209252,LR,FGSM,0.3,Clean,,Clean,0.0,0,,0.5644097328186035,42
0.8249005013462916,0.7992891773386646,0.822614953382502,0.8107843329349296,0.1731833333333333,0.1773850466174979,LR,FGSM,0.3,FGSM_eps0.15,,FGSM,0.15,1,,0.5644097328186035,42
0.7866150512678712,0.7446260144768589,0.8098324155616962,0.7758615764062813,0.23285,0.1901675844383038,LR,FGSM,0.3,FGSM_eps0.3,,FGSM,0.3,1,,0.5644097328186035,42
0.6676427658359246,0.6578429784575515,0.5651750392620718,0.6079982891360137,0.24645,0.4348249607379281,LR,FGSM,0.3,FGSM_eps0.5,,FGSM,0.5,1,,0.5644097328186035,42
0.5388792689228761,0.4906467129877071,0.2919905373436972,0.3661062575555527,0.2541333333333333,0.7080094626563028,LR,FGSM,0.3,FGSM_eps0.75,,FGSM,0.75,1,,0.5644097328186035,42
0.850847211771212,0.8267786465875084,0.8513011152416357,0.8388607024623401,0.1495333333333333,0.1486988847583643,LR,FGSM,0.3,PGD_eps0.15_it10,,PGD,0.15,10,,0.5644097328186035,42
0.8620708412282531,0.8475052983936459,0.8506053316899589,0.8490524853656116,0.1283166666666666,0.1493946683100411,LR,FGSM,0.3,PGD_eps0.15_it25,,PGD,0.15,25,,0.5644097328186035,42
0.8404485825408193,0.8003342761635381,0.8662505218376637,0.8319888495355564,0.1811833333333333,0.1337494781623362,LR,FGSM,0.3,PGD_eps0.3_it10,,PGD,0.3,10,,0.5644097328186035,42
0.8380279774802136,0.7984798571875518,0.8625131701886567,0.8292622324159021,0.1825,0.1374868298113432,LR,FGSM,0.3,PGD_eps0.3_it25,,PGD,0.3,25,,0.5644097328186035,42
0.8352991305766843,0.7917635095874491,0.8668270282090531,0.8275966785290628,0.1911333333333333,0.1331729717909468,LR,FGSM,0.3,PGD_eps0.5_it10,,PGD,0.5,10,,0.5644097328186035,42
0.8287716562559495,0.7810017889087657,0.8679005228316402,0.8221613325423952,0.2040333333333333,0.1320994771683597,LR,FGSM,0.3,PGD_eps0.5_it25,,PGD,0.5,25,,0.5644097328186035,42
0.8177474774031531,0.7671526131417855,0.8619963024074111,0.8118137140182542,0.21935,0.1380036975925889,LR,FGSM,0.3,PGD_eps0.75_it10,,PGD,0.75,10,,0.5644097328186035,42
0.818926049155508,0.7668860652564148,0.8662704013677117,0.8135542590431739,0.2207666666666666,0.1337295986322883,LR,FGSM,0.3,PGD_eps0.75_it25,,PGD,0.75,25,,0.5644097328186035,42
0.9101021731049926,0.949133693645604,0.8483390652644971,0.8959103123950286,0.0381166666666666,0.1516609347355028,LR,FGSM,0.3,CW_c0.0_it10,,CW,,10,0.0,0.5644097328186035,42
0.9092771728783442,0.9479921732556588,0.8475637635926286,0.8949694049980583,0.0389833333333333,0.1524362364073713,LR,FGSM,0.3,CW_c0.5_it10,,CW,,10,0.5,0.5644097328186035,42
0.922495308377832,0.9672978780553316,0.8590938910204162,0.9099906295075754,0.02435,0.1409061089795837,SVM,FGSM,0.3,Clean,,Clean,0.0,0,,3.0335240364074707,42
0.8378103950028558,0.8210670206232542,0.8239071228356162,0.8224846199642786,0.1505333333333333,0.1760928771643838,SVM,FGSM,0.3,FGSM_eps0.15,,FGSM,0.15,1,,3.0335240364074707,42
0.7948922513440251,0.7568912070981754,0.8106077172335646,0.782829058516357,0.2182833333333333,0.1893922827664354,SVM,FGSM,0.3,FGSM_eps0.3,,FGSM,0.3,1,,3.0335240364074707,42
0.6677515570746035,0.6593832434577585,0.5615172057332565,0.6065278076014602,0.2431833333333333,0.4384827942667435,SVM,FGSM,0.3,FGSM_eps0.5,,FGSM,0.5,1,,3.0335240364074707,42
0.5258243202814067,0.4691928527418361,0.3027652426296642,0.3680388579437671,0.2871666666666667,0.6972347573703358,SVM,FGSM,0.3,FGSM_eps0.75,,FGSM,0.75,1,,3.0335240364074707,42
0.8737115037668967,0.8699977620898013,0.8501083434387611,0.8599380630630631,0.1065,0.1498916565612389,SVM,FGSM,0.3,PGD_eps0.15_it10,,PGD,0.15,10,,3.0335240364074707,42
0.8702936456850675,0.8630678608892116,0.8505258135697672,0.8567509386733416,0.1131333333333333,0.1494741864302328,SVM,FGSM,0.3,PGD_eps0.15_it25,,PGD,0.15,25,,3.0335240364074707,42
0.8435763306528381,0.8072324997675931,0.863109556090094,0.8342364153408655,0.1728,0.1368904439099059,SVM,FGSM,0.3,PGD_eps0.3_it10,,PGD,0.3,10,,3.0335240364074707,42
0.8422345720424649,0.8059135285913529,0.8615390732163092,0.8327984780645286,0.17395,0.1384609267836908,SVM,FGSM,0.3,PGD_eps0.3_it25,,PGD,0.3,25,,3.0335240364074707,42
0.8361241308033326,0.7930846323141563,0.8668071486790052,0.8283087327368401,0.1896,0.1331928513209947,SVM,FGSM,0.3,PGD_eps0.5_it10,,PGD,0.5,10,,3.0335240364074707,42
0.8292068212106651,0.7817234339744279,0.8678011251814007,0.8225163691177163,0.20315,0.1321988748185993,SVM,FGSM,0.3,PGD_eps0.5_it25,,PGD,0.5,25,,3.0335240364074707,42
0.8349999546703172,0.7962023214186857,0.8577420829771584,0.8258273202289127,0.1840666666666666,0.1422579170228415,SVM,FGSM,0.3,PGD_eps0.75_it10,,PGD,0.75,10,,3.0335240364074707,42
0.8241570945486524,0.7746849392986012,0.866409558078047,0.8179838966986356,0.2112666666666666,0.1335904419219529,SVM,FGSM,0.3,PGD_eps0.75_it25,,PGD,0.75,25,,3.0335240364074707,42
0.9127131628332864,0.9549878073334974,0.84859749915512,0.8986547651628387,0.0335333333333333,0.15140250084488,SVM,FGSM,0.3,CW_c0.0_it10,,CW,,10,0.0,3.0335240364074707,42
0.9110812942531028,0.9509565914608344,0.8487962944555991,0.8969769542656667,0.0367,0.1512037055444009,SVM,FGSM,0.3,CW_c0.5_it10,,CW,,10,0.5,3.0335240364074707,42
0.9998005493957554,0.9999005786323596,0.9996620479891856,0.9997812990834444,8.333333333333333e-05,0.0003379520108144,RF,FGSM,0.3,Clean,,Clean,0.0,0,,16.50400161743164,42
0.6730188662139742,0.9985990473521996,0.2834025803630002,0.4415057526440484,0.0003333333333333,0.7165974196369997,RF,FGSM,0.3,FGSM_eps0.15,,FGSM,0.15,1,,16.50400161743164,42
0.7228271216558027,0.9986352608168216,0.3927598751565513,0.5637850100589268,0.00045,0.6072401248434487,RF,FGSM,0.3,FGSM_eps0.3,,FGSM,0.3,1,,16.50400161743164,42
0.5451075673372437,0.992248062015504,0.0025445798461324,0.0050761421319796,1.6666666666666667e-05,0.9974554201538676,RF,FGSM,0.3,FGSM_eps0.5,,FGSM,0.5,1,,16.50400161743164,42
0.5433306437721549,0.3814432989690721,0.0022066278353179,0.0043878720796932,0.003,0.997793372164682,RF,FGSM,0.3,FGSM_eps0.75,,FGSM,0.75,1,,16.50400161743164,42
0.707297172334388,0.9983955739972338,0.3587459992445778,0.5278305887858668,0.0004833333333333,0.6412540007554222,RF,FGSM,0.3,PGD_eps0.15_it10,,PGD,0.15,10,,16.50400161743164,42
0.7075147548117459,0.9989490569168648,0.3590243126652486,0.5282091778538212,0.0003166666666666,0.6409756873347514,RF,FGSM,0.3,PGD_eps0.15_it25,,PGD,0.15,25,,16.50400161743164,42
0.7407958079109362,0.9859009936442574,0.4378864083653062,0.6064285222658132,0.00525,0.5621135916346938,RF,FGSM,0.3,PGD_eps0.3_it10,,PGD,0.3,10,,16.50400161743164,42
0.7443859187873403,0.9986466979429808,0.4400930362006242,0.6109478274068249,0.0005,0.5599069637993758,RF,FGSM,0.3,PGD_eps0.3_it25,,PGD,0.3,25,,16.50400161743164,42
0.5486704804039781,0.6218369259606373,0.0263801363735761,0.0506131166924118,0.01345,0.9736198636264238,RF,FGSM,0.3,PGD_eps0.5_it10,,PGD,0.5,10,,16.50400161743164,42
0.5592232305558326,0.7919556171983356,0.0454048466294256,0.0858856487487544,0.01,0.9545951533705744,RF,FGSM,0.3,PGD_eps0.5_it25,,PGD,0.5,25,,16.50400161743164,42
0.5216358575922686,0.2216191768430574,0.0194819394469514,0.0358154408405664,0.0573666666666666,0.9805180605530486,RF,FGSM,0.3,PGD_eps0.75_it10,,PGD,0.75,10,,16.50400161743164,42
0.5128056353861635,0.121919014084507,0.0110132596465419,0.0202016518679234,0.0665,0.988986740353458,RF,FGSM,0.3,PGD_eps0.75_it25,,PGD,0.75,25,,16.50400161743164,42
0.8045021440939957,0.9994786054433592,0.5716160069975946,0.7272865236746257,0.00025,0.4283839930024054,RF,FGSM,0.3,CW_c0.0_it10,,CW,,10,0.0,16.50400161743164,42
0.8032510448491882,0.9996855236032006,0.5687533546706955,0.7250196396442057,0.00015,0.4312466453293044,RF,FGSM,0.3,CW_c0.5_it10,,CW,,10,0.5,16.50400161743164,42
0.9084703045248088,0.9960275358385352,0.8024968689740175,0.8888497445834067,0.0026833333333333,0.1975031310259825,MLP,FGSM,0.5,FGSM_eps0.15,132.57350492477417,FGSM,0.15,1,,,42
0.8528417178136587,0.8839678139157482,0.7796552889489693,0.8285412485475864,0.0858,0.2203447110510307,MLP,FGSM,0.5,FGSM_eps0.3,132.57350492477417,FGSM,0.3,1,,,42
0.545443006989837,0.501543616580701,0.5296503190664573,0.5152139231327049,0.4413166666666667,0.4703496809335427,MLP,FGSM,0.5,FGSM_eps0.5,132.57350492477417,FGSM,0.5,1,,,42
0.3726734540311687,0.3413019739605208,0.4038725324533328,0.3699603015624431,0.6534833333333333,0.5961274675466672,MLP,FGSM,0.5,FGSM_eps0.75,132.57350492477417,FGSM,0.75,1,,,42
0.9412708629865008,0.994292932710744,0.8762499254517623,0.9315468013610332,0.0042166666666666,0.1237500745482376,MLP,FGSM,0.5,PGD_eps0.15_it10,132.57350492477417,PGD,0.15,10,,,42
0.9409354233339076,0.9943774556293186,0.875434864719798,0.9311230692786688,0.00415,0.1245651352802019,MLP,FGSM,0.5,PGD_eps0.15_it25,132.57350492477417,PGD,0.15,25,,,42
0.8271397876757658,0.9518574239092698,0.654036538576228,0.7753308117407237,0.0277333333333333,0.3459634614237719,MLP,FGSM,0.5,PGD_eps0.3_it10,132.57350492477417,PGD,0.3,10,,,42
0.881870846667815,0.9579105137718372,0.7750233584478063,0.8568163337069515,0.02855,0.2249766415521937,MLP,FGSM,0.5,PGD_eps0.3_it25,132.57350492477417,PGD,0.3,25,,,42
0.7297081675022438,0.7292295988006534,0.647873884261376,0.6861485988588752,0.2016833333333333,0.3521261157386239,MLP,FGSM,0.5,PGD_eps0.5_it10,132.57350492477417,PGD,0.5,10,,,42
