model,attack,family,accuracy_mean,accuracy_std,asr_mean,asr_std,confidence_mean,confidence_std,epsilon_mean,epsilon_std,f1_mean,f1_std,fnr_mean,fnr_std,fpr_mean,fpr_std,iters_mean,iters_std,precision_mean,precision_std,recall_mean,recall_std
LR,CW_c0.0_it10,CW,0.5203249231661877,0.25592864411499233,0.42229676436724295,0.28404939419548625,0.0,0.0,,,0.5565027540337326,0.20510915014351133,0.3715921515615371,0.1952995078621958,0.5702900000000001,0.30884594024457496,10.0,0.0,0.5019030797308067,0.20580393322052631,0.628407848438463,0.19529950786219574
LR,CW_c0.5_it10,CW,0.5053733805970826,0.2663984233892432,0.4372809443079517,0.2946068022995,0.5,0.0,,,0.5457447139812789,0.21118386912008408,0.3818181818181818,0.2022140385880315,0.5892033333333334,0.3218679988235344,10.0,0.0,0.4910750523231121,0.2108020257464151,0.6181818181818182,0.20221403858803155
LR,FGSM_eps0.15,FGSM,0.38762137022565113,0.29064048241622903,0.555819877972494,0.31741149087173853,,,0.15,0.0,0.3294136254736689,0.2795297255933009,0.6825835437250264,0.2736158713343208,0.55352,0.3240169172966814,1.0,0.0,0.34667101111965265,0.2870560850171662,0.3174164562749736,0.2736158713343208
LR,FGSM_eps0.3,FGSM,0.22719780966972794,0.24041311802417636,0.7164193176976148,0.2605773375046273,,,0.3,0.0,0.15326491067549258,0.22255034412222052,0.8489314752599249,0.21587944855320543,0.7089766666666666,0.30587291855533,1.0,0.0,0.15827421404215652,0.2287581335009177,0.15106852474007512,0.2158794485532054
LR,FGSM_eps0.5,FGSM,0.1238860230456107,0.16062277837627165,0.8198997307416842,0.17728581897583734,,,0.5,0.0,0.09847628379266349,0.17264025561771598,0.8927857185456135,0.18941807275492853,0.8621366666666667,0.13980227873281922,1.0,0.0,0.09109803245869089,0.15856910543613464,0.10721428145438636,0.18941807275492853
LR,FGSM_eps0.75,FGSM,0.05616166378067684,0.04837708894311758,0.8877020570610046,0.06659818217109885,,,0.75,0.0,0.0419477554976825,0.053449323281924165,0.9544202135061527,0.05834017608429913,0.9349666666666667,0.041637476441835956,1.0,0.0,0.038855060507031663,0.049313036092057554,0.04557978649384724,0.05834017608429918
LR,PGD_eps0.15_it10,PGD,0.4334079762109825,0.29638953106995314,0.5098011840113144,0.32378778337979924,,,0.15,0.0,0.3995804409946945,0.31556960148333874,0.5782796254696538,0.3420103073763611,0.5567933333333334,0.27193839237959766,10.0,0.0,0.38215726879194706,0.2955576839028345,0.4217203745303461,0.3420103073763612
LR,PGD_eps0.15_it25,PGD,0.42406824837039786,0.2671890877603334,0.5191137140422291,0.2950302209275657,,,0.15,0.0,0.376327083847361,0.2874944291638492,0.6166590461801483,0.29772813948150867,0.5417866666666666,0.24971997383736316,25.0,0.0,0.37109905202659077,0.2800626299852671,0.38334095381985167,0.29772813948150867
LR,PGD_eps0.3_it10,PGD,0.20421384731149644,0.2088987998021608,0.7392944888171673,0.2300455582906714,,,0.3,0.0,0.17761539370430315,0.16254696826982068,0.8208337474902093,0.15987008593252866,0.7747866666666665,0.2692148474422117,10.0,0.0,0.17941940056680467,0.16847873483121223,0.17916625250979062,0.15987008593252863
LR,PGD_eps0.3_it25,PGD,0.18957054658531494,0.1875960723396329,0.7539704269149524,0.20944295548276076,,,0.3,0.0,0.1709489702408843,0.1503075103238468,0.8230045921714411,0.15222583081613708,0.7998866666666666,0.23671653183595867,25.0,0.0,0.16752215109977248,0.1506510527143451,0.1769954078285589,0.15222583081613708
