accuracy,precision,recall,f1,fpr,fnr,model,seed
0.9258497049037652,0.963043573846898,0.870822813748683,0.9146144129284156,0.0280166666666666,0.129177186251317,LR,42
0.9230845942540096,0.9679310730670247,0.8598294336321889,0.9106834547521792,0.0238833333333333,0.140170566367811,SVM,42
0.999764285649529,0.9998608100853036,0.9996222889290896,0.9997415352804342,0.0001166666666666,0.0003777110709102,RF,42
0.9979510983382138,0.998844460382922,0.9966602389519512,0.997751154274797,0.0009666666666666,0.0033397610480488,MLP,42
0.9195307471238316,0.960842770373996,0.8585372641790748,0.9068136482939632,0.0293333333333333,0.1414627358209252,LR,7
0.9206821210665168,0.9710056220529562,0.8514999105421148,0.9073346396229413,0.0213166666666666,0.1485000894578852,SVM,7
0.9997280219033028,0.9998806801232972,0.9995228912788502,0.9997017536883128,0.0001,0.0004771087211498,RF,7
0.9971079662384522,0.996878603523003,0.9967795161322386,0.996829057365235,0.0026166666666666,0.0032204838677613,MLP,7
0.9700098818708468,0.9721122742159088,0.9618313023080134,0.9669444610987868,0.0231333333333333,0.0381686976919865,LR,123
0.9178716807339782,0.969364530225783,0.8466691847404727,0.9038720699498084,0.0224333333333333,0.1533308152595272,SVM,123
0.9998368131419816,0.9999005865394176,0.9997415661093773,0.9998210700013916,8.333333333333333e-05,0.0002584338906228,RF,123
0.9982502742445808,0.9985672782266088,0.9975945768642028,0.9980806905536164,0.0012,0.002405423135797,MLP,123
0.9770903783215326,0.9747029132387424,0.9750710693199212,0.9748869565217392,0.0212166666666666,0.0249289306800787,LR,31
0.9776343345149272,0.9740931615460852,0.9769397451444248,0.9755143767431242,0.0217833333333333,0.0230602548555752,SVM,31
0.999764285649529,0.999900570724044,0.999582529868994,0.9997415250024854,8.333333333333333e-05,0.0004174701310061,RF,31
0.9985585160875045,0.9988261509689228,0.9980120469952092,0.9984189330283896,0.0009833333333333,0.0019879530047909,MLP,31
0.9186150875316176,0.9525999912384456,0.8645607617835914,0.9064476796898612,0.0360666666666666,0.1354392382164085,LR,99
0.921425527864156,0.9710594198307464,0.8531300320060434,0.9082828026286548,0.0213166666666666,0.1468699679939566,SVM,99
0.999764285649529,0.9998806896140308,0.9996024093990418,0.999741530141562,0.0001,0.0003975906009581,RF,99
0.9977063180511864,0.9979108635097492,0.9970578295529092,0.9974841641558028,0.00175,0.0029421704470906,MLP,99
