model,n_samples,total_s,per_sample_ms,seed
LR,500,0.00010347366333,0.0002069473266601,42
SVM,500,6.818771362304688e-05,0.000136375427246,42
RF,500,0.0041306018829345,0.0082612037658691,42
MLP,500,0.0099952220916748,0.0199904441833496,42
LR,500,8.249282836914062e-05,0.0001649856567382,7
SVM,500,6.508827209472656e-05,0.0001301765441894,7
RF,500,0.0041825771331787,0.0083651542663574,7
MLP,500,0.0101261138916015,0.0202522277832031,7
LR,500,8.58306884765625e-05,0.0001716613769531,123
SVM,500,6.67572021484375e-05,0.0001335144042968,123
RF,500,0.0040524005889892,0.0081048011779785,123
MLP,500,0.005760908126831,0.0115218162536621,123
LR,500,9.918212890625e-05,0.0001983642578125,31
SVM,500,6.818771362304688e-05,0.000136375427246,31
RF,500,0.0039958953857421,0.0079917907714843,31
MLP,500,0.0088496208190917,0.0176992416381835,31
LR,500,0.0001022815704345,0.0002045631408691,99
SVM,500,6.604194641113281e-05,0.0001320838928222,99
RF,500,0.0040326118469238,0.0080652236938476,99
MLP,500,0.0102503299713134,0.0205006599426269,99
