accuracy,precision,recall,f1,fpr,fnr,model,sigma,eval_attack,smooth_s_per_sample,n0,n,family,epsilon,iters,confidence,seed
0.93,0.968421052631579,0.8932038834951457,0.9292929292929292,0.0309278350515463,0.1067961165048543,LR,0.1,Clean,0.0001552510261535,50,200,,,,,42
0.615,0.6444444444444445,0.5631067961165048,0.6010362694300518,0.3298969072164948,0.4368932038834951,LR,0.1,FGSM_eps0.15,,50,200,FGSM,0.15,1.0,,42
0.29,0.024390243902439,0.0097087378640776,0.0138888888888888,0.4123711340206185,0.9902912621359224,LR,0.1,FGSM_eps0.3,,50,200,FGSM,0.3,1.0,,42
0.06,0.0,0.0,0.0,0.8762886597938144,1.0,LR,0.1,FGSM_eps0.5,,50,200,FGSM,0.5,1.0,,42
0.04,0.0,0.0,0.0,0.9175257731958762,1.0,LR,0.1,FGSM_eps0.75,,50,200,FGSM,0.75,1.0,,42
0.715,0.7017543859649122,0.7766990291262136,0.7373271889400922,0.3505154639175257,0.2233009708737864,LR,0.1,PGD_eps0.15_it10,,50,200,PGD,0.15,10.0,,42
0.645,0.6568627450980392,0.6504854368932039,0.6536585365853659,0.3608247422680412,0.3495145631067961,LR,0.1,PGD_eps0.15_it25,,50,200,PGD,0.15,25.0,,42
0.365,0.3285714285714285,0.2233009708737864,0.2658959537572254,0.4845360824742268,0.7766990291262136,LR,0.1,PGD_eps0.3_it10,,50,200,PGD,0.3,10.0,,42
0.38,0.3432835820895522,0.2233009708737864,0.2705882352941176,0.4536082474226804,0.7766990291262136,LR,0.1,PGD_eps0.3_it25,,50,200,PGD,0.3,25.0,,42
0.17,0.0,0.0,0.0,0.6494845360824743,1.0,LR,0.1,PGD_eps0.5_it10,,50,200,PGD,0.5,10.0,,42
0.215,0.0,0.0,0.0,0.5567010309278351,1.0,LR,0.1,PGD_eps0.5_it25,,50,200,PGD,0.5,25.0,,42
0.155,0.0,0.0,0.0,0.6804123711340206,1.0,LR,0.1,PGD_eps0.75_it10,,50,200,PGD,0.75,10.0,,42
0.13,0.0,0.0,0.0,0.7319587628865979,1.0,LR,0.1,PGD_eps0.75_it25,,50,200,PGD,0.75,25.0,,42
0.74,0.7142857142857143,0.8252427184466019,0.7657657657657657,0.3505154639175257,0.174757281553398,LR,0.1,CW_c0.0_it10,,50,200,CW,,10.0,0.0,42
0.735,0.7155172413793104,0.8058252427184466,0.7579908675799086,0.3402061855670103,0.1941747572815534,LR,0.1,CW_c0.5_it10,,50,200,CW,,10.0,0.5,42
0.92,0.978021978021978,0.8640776699029126,0.9175257731958762,0.0206185567010309,0.1359223300970873,SVM,0.1,Clean,0.0001522433757781,50,200,,,,,42
0.415,0.3870967741935484,0.233009708737864,0.2909090909090909,0.3917525773195876,0.7669902912621359,SVM,0.1,FGSM_eps0.15,,50,200,FGSM,0.15,1.0,,42
