accuracy,precision,recall,f1,fpr,fnr,model,attack,asr,elapsed_s,n_samples,n_eligible,median_queries_success,query_budget_exhausted,numerical_stagnation,seed
0.125,0.0,0.0,0.0,0.7422680412371134,1.0,RF,HopSkipJump_whitebox,0.875,44.2025306224823,200,200,565.0,0,0,42
0.08,0.1214953271028037,0.1262135922330097,0.1238095238095238,0.9690721649484536,0.8737864077669902,SVM,HopSkipJump_whitebox,1.0,1.4451992511749268,200,184,557.0,0,0,42
0.075,0.1132075471698113,0.116504854368932,0.1148325358851674,0.9690721649484536,0.883495145631068,LR,HopSkipJump_whitebox,1.0,1.4785141944885254,200,185,556.0,0,0,42
0.125,0.0,0.0,0.0,0.7899159663865546,1.0,RF,HopSkipJump_whitebox,0.875,44.70707964897156,200,200,567.0,0,0,7
0.08,0.1068702290076335,0.1728395061728395,0.1320754716981132,0.9831932773109244,0.8271604938271605,SVM,HopSkipJump_whitebox,1.0,1.4918262958526611,200,184,557.0,0,0,7
0.075,0.09375,0.1481481481481481,0.1148325358851674,0.9747899159663864,0.8518518518518519,LR,HopSkipJump_whitebox,1.0,1.5470848083496094,200,185,556.0,0,0,7
0.19,0.0142857142857142,0.0106382978723404,0.0121951219512195,0.6509433962264151,0.9893617021276596,RF,HopSkipJump_whitebox,0.8140703517587939,41.87755846977234,200,199,566.0,0,0,123
0.09,0.1451612903225806,0.1914893617021276,0.1651376146788991,1.0,0.8085106382978723,SVM,HopSkipJump_whitebox,1.0,1.467040777206421,200,182,556.0,0,0,123
0.015,0.0186915887850467,0.0212765957446808,0.0199004975124378,0.9905660377358492,0.9787234042553192,LR,HopSkipJump_whitebox,1.0,1.4814164638519287,200,197,557.0,0,0,123
0.15,0.0,0.0,0.0,0.6842105263157895,1.0,RF,HopSkipJump_whitebox,0.85,43.619619846344,200,200,566.0,0,0,31
0.025,0.03125,0.0285714285714285,0.0298507462686567,0.9789473684210528,0.9714285714285714,SVM,HopSkipJump_whitebox,1.0,1.483842849731445,200,195,557.0,0,0,31
0.02,0.0309278350515463,0.0285714285714285,0.0297029702970297,0.9894736842105264,0.9714285714285714,LR,HopSkipJump_whitebox,1.0,1.4933977127075195,200,196,557.0,0,0,31
0.08,0.0,0.0,0.0,0.8461538461538461,1.0,RF,HopSkipJump_whitebox,0.92,46.51686453819275,200,200,566.0,0,0,99
0.07,0.0909090909090909,0.1041666666666666,0.0970873786407767,0.9615384615384616,0.8958333333333334,SVM,HopSkipJump_whitebox,1.0,1.464637279510498,200,186,556.0,0,0,99
0.07,0.0754716981132075,0.0833333333333333,0.0792079207920792,0.9423076923076924,0.9166666666666666,LR,HopSkipJump_whitebox,1.0,1.4859163761138916,200,186,556.0,0,0,99
