accuracy,precision,recall,f1,fpr,fnr,model,attack,asr,family,epsilon,iters,confidence
0.38280010516486407,0.23214393345789885,0.15313201995904815,0.1845361442175241,0.42465,0.8468679800409519,LR,FGSM_eps0.15,0.5918334043498363,FGSM,0.15,1,
0.46831908470304523,0.37525045605430785,0.2494483430411705,0.29968235771775215,0.34818333333333334,0.7505516569588295,SVM,FGSM_eps0.15,0.5071394250383036,FGSM,0.15,1,
0.6022682973264553,0.8105446118192352,0.16686877522215374,0.2767602499216934,0.0327,0.8331312247778463,RF,FGSM_eps0.15,0.3975050542596303,FGSM,0.15,1,
0.24754539767730704,0.05058419243986254,0.03657833528815379,0.04245598652483906,0.5755833333333333,0.9634216647118462,MLP,FGSM_eps0.15,0.7523820748302403,FGSM,0.15,1,
0.07057831609294399,0.02510231923601637,0.02743375146611534,0.02621630350120633,0.89325,0.9725662485338846,LR,FGSM_eps0.3,0.9046898089807167,FGSM,0.3,1,
0.3283138264598424,0.05755208333333333,0.030753632984116257,0.04008654755580892,0.4222166666666667,0.9692463670158837,SVM,FGSM_eps0.3,0.6472081448374024,FGSM,0.3,1,
0.5727133441520176,0.9035623409669211,0.07059221120012722,0.13095347850939465,0.006316666666666667,0.9294077887998727,RF,FGSM_eps0.3,0.42706000743406797,FGSM,0.3,1,
0.09057777213675058,0.016157433386868942,0.016599407590004573,0.016375438802926006,0.8474,0.9834005924099954,MLP,FGSM_eps0.3,0.9093768981804665,FGSM,0.3,1,
0.025738193884119197,0.01943739175760429,0.022980736735383575,0.021061069814895788,0.97195,0.9770192632646164,LR,FGSM_eps0.5,0.949711249920673,FGSM,0.5,1,
0.12623410061376392,0.026045095457537856,0.02516748504065364,0.02559877061196429,0.7890333333333334,0.9748325149593463,SVM,FGSM_eps0.5,0.8495054531608388,FGSM,0.5,1,
0.5727586738348005,0.8475169547145045,0.07701329940560205,0.1411961949192696,0.011616666666666668,0.9229867005943979,RF,FGSM_eps0.5,0.4270056118147285,FGSM,0.5,1,
0.018739290862442543,0.012077416746677448,0.014253623044351231,0.013075590407586395,0.9775,0.9857463769556488,MLP,FGSM_eps0.5,0.9811972475816614,FGSM,0.5,1,
0.016391213294289365,0.014872615712951847,0.017732540802735425,0.016177150681453405,0.9847333333333333,0.9822674591972645,LR,FGSM_eps0.75,0.9594752635921053,FGSM,0.75,1,
0.07505688875189251,0.02072020312471042,0.022225314593563007,0.02144638403990025,0.88065,0.977774685406437,SVM,FGSM_eps0.75,0.9012084893429916,FGSM,0.75,1,
0.5439380615214455,0.4994669509594883,0.018627119654891357,0.0359148316372487,0.01565,0.9813728803451086,RF,FGSM_eps0.75,0.45581715819152696,FGSM,0.75,1,
0.013245333309157503,0.011987928706003969,0.01429338210444705,0.013039535727239754,0.9876333333333334,0.9857066178955529,MLP,FGSM_eps0.75,0.9866549413887201,FGSM,0.75,1,
0.25876902713434813,0.04403536744455718,0.030197006142774784,0.03582631665841175,0.5496,0.9698029938572252,LR,PGD_eps0.15_it10,0.716063932984597,PGD,0.15,10,
0.4827248578914445,0.4042148854095757,0.28330318271276067,0.3331268481398801,0.35008333333333336,0.7166968172872393,SVM,PGD_eps0.15_it10,0.49275178372301753,PGD,0.15,10,
0.4953990371975377,0.2126609442060086,0.03940122855495696,0.06648441037854519,0.1223,0.960598771445043,RF,PGD_eps0.15_it10,0.504374314388548,PGD,0.15,10,
0.18490884200792362,0.019811824045783015,0.016241576049142198,0.01784992517014234,0.6736833333333333,0.9837584239508578,MLP,PGD_eps0.15_it10,0.8150186304996238,PGD,0.15,10,
0.2803731539486687,0.047978855721393036,0.030674114863924618,0.037422844184664635,0.5102833333333333,0.9693258851360754,LR,PGD_eps0.15_it25,0.69410623464457,PGD,0.15,25,
0.4950454656718312,0.42475382855867666,0.3027056040395205,0.35349150338935836,0.3437,0.6972943959604795,SVM,PGD_eps0.15_it25,0.48043117594263074,PGD,0.15,25,
0.5578361422626764,0.5591439388086225,0.14386815895672225,0.22885241754419253,0.0951,0.8561318410432778,RF,PGD_eps0.15_it25,0.44193720932340913,PGD,0.15,25,
0.1819352148173667,0.019655487658182168,0.016241576049142198,0.017786195561070656,0.67915,0.9837584239508578,MLP,PGD_eps0.15_it25,0.8179922576901807,PGD,0.15,25,
0.24310308876458483,0.03831492250758229,0.027374112875971614,0.03193339672085527,0.5760333333333333,0.9726258871240284,LR,PGD_eps0.3_it10,0.7317752010371431,PGD,0.3,10,
0.24964869495843267,0.04430219826497094,0.031369898415601456,0.036730988571029535,0.56735,0.9686301015843986,SVM,PGD_eps0.3_it10,0.7261815181817358,PGD,0.3,10,
0.5367669057051939,0.3752752437873545,0.023716279347156234,0.04461314086982536,0.0331,0.9762837206528437,RF,PGD_eps0.3_it10,0.4630155118174483,PGD,0.3,10,
0.01697143323391023,0.012201671645799066,0.014452418344830327,0.013232015288710925,0.9809166666666667,0.9855475816551696,MLP,PGD_eps0.3_it10,0.9829923030198635,PGD,0.3,10,
0.21755527954815373,0.035505096116630115,0.0273542333459237,0.030901210447124346,0.6229833333333333,0.9726457666540763,LR,PGD_eps0.3_it25,0.7573502080632439,PGD,0.3,25,
0.24248660507873765,0.04048862725589365,0.02912351152018766,0.033878315565525056,0.5786333333333333,0.9708764884798123,SVM,PGD_eps0.3_it25,0.7330263002819506,PGD,0.3,25,
0.5437476768537574,0.4951781970649895,0.02347772498658132,0.044829942301852416,0.020066666666666667,0.9765222750134187,RF,PGD_eps0.3_it25,0.45602567473232825,PGD,0.3,25,
0.016626927644760342,0.012193894666219389,0.014452418344830327,0.013227441026900648,0.98155,0.9855475816551696,MLP,PGD_eps0.3_it25,0.9833368086090134,PGD,0.3,25,
0.13307888271397877,0.0277389908926078,0.02645965449376777,0.027084223592373276,0.7775333333333333,0.9735403455062323,LR,PGD_eps0.5_it10,0.8418175389608623,PGD,0.5,10,
0.054703861182379444,0.024226822301371794,0.027314474285827884,0.02567816328246914,0.9223333333333333,0.9726855257141721,SVM,PGD_eps0.5_it10,0.9211626157040153,PGD,0.5,10,
0.5368575650707597,0.37692549512731843,0.02383555652744369,0.04483583875551567,0.03303333333333333,0.9761644434725563,RF,PGD_eps0.5_it10,0.46291578651532594,PGD,0.5,10,
0.009582694940300807,0.011535592939421562,0.013836152913345128,0.01258157233500244,0.9939833333333333,0.9861638470866548,MLP,PGD_eps0.5_it10,0.990399173186586,PGD,0.5,10,
0.1592250437431439,0.02871865490971281,0.0257042323519472,0.027127960892096594,0.7288333333333333,0.9742957676480528,LR,PGD_eps0.5_it25,0.8157076416779235,PGD,0.5,25,
0.0709137557455373,0.02482514935159551,0.027095799455300877,0.02591082342429686,0.89235,0.9729042005446992,SVM,PGD_eps0.5_it25,0.9049527211408575,PGD,0.5,25,
0.5336300916566186,0.2808772604848018,0.014512056934974057,0.027598200446107897,0.03115,0.985487943065026,RF,PGD_eps0.5_it25,0.46613419399291045,PGD,0.5,25,
0.009428574018839016,0.011532343584305408,0.013836152913345128,0.012579639419818354,0.9942666666666666,0.9861638470866548,MLP,PGD_eps0.5_it25,0.9905532941080478,PGD,0.5,25,
0.17581570764167792,0.027528913503827985,0.023517484046677136,0.025365581714481753,0.6965,0.9764825159533229,LR,PGD_eps0.75_it10,0.7991351096525027,PGD,0.75,10,
0.10748574381476478,0.026756576101914835,0.027056040395205056,0.026905474997281777,0.8250833333333333,0.972943959604795,SVM,PGD_eps0.75_it10,0.8684079308812996,PGD,0.75,10,
0.5274471229250338,0.25020576131687244,0.018130131403693617,0.03381033587899459,0.04555,0.9818698685963064,RF,PGD_eps0.75_it10,0.47230809678793867,PGD,0.75,10,
0.008993409064123369,0.011264245958123508,0.013518080432578574,0.012288675443431431,0.9948,0.9864819195674214,MLP,PGD_eps0.75_it10,0.9909884590627634,PGD,0.75,10,
