model,attack,n,n_detected_clean,asr,fnr_under_attack,family,epsilon,iters,traffic_family,confidence,seed
LR,FGSM_eps0.15,60000,0,,,FGSM,0.15,1,Benign,,42
LR,FGSM_eps0.15,6081,6078,0.9972030273116156,0.9972044071698734,FGSM,0.15,1,Botnet Ares,,42
LR,FGSM_eps0.15,60,60,0.0,0.0,FGSM,0.15,1,Botnet Ares - Attempted,,42
LR,FGSM_eps0.15,6017,6017,0.0024929366794083,0.0024929366794083,FGSM,0.15,1,DDoS-HOIC,,42
LR,FGSM_eps0.15,6088,157,1.0,1.0,FGSM,0.15,1,DDoS-LOIC-HTTP,,42
LR,FGSM_eps0.15,502,497,0.0020120724346076,0.0119521912350597,FGSM,0.15,1,DDoS-LOIC-UDP,,42
LR,FGSM_eps0.15,55,0,,1.0,FGSM,0.15,1,DDoS-LOIC-UDP - Attempted,,42
LR,FGSM_eps0.15,4496,4496,0.0002224199288256,0.0002224199288256,FGSM,0.15,1,DoS GoldenEye,,42
LR,FGSM_eps0.15,861,861,0.0,0.0,FGSM,0.15,1,DoS GoldenEye - Attempted,,42
LR,FGSM_eps0.15,6050,6050,0.8472727272727273,0.8472727272727273,FGSM,0.15,1,DoS Hulk,,42
LR,FGSM_eps0.15,10,10,0.2,0.2,FGSM,0.15,1,DoS Hulk - Attempted,,42
LR,FGSM_eps0.15,1592,1559,0.3489416292495189,0.3624371859296482,FGSM,0.15,1,DoS Slowloris,,42
LR,FGSM_eps0.15,465,458,1.0,1.0,FGSM,0.15,1,DoS Slowloris - Attempted,,42
LR,FGSM_eps0.15,5846,5846,0.0,0.0,FGSM,0.15,1,FTP-BruteForce - Attempted,,42
LR,FGSM_eps0.15,45,44,0.2045454545454545,0.2222222222222222,FGSM,0.15,1,Infiltration - Communication Victim Attacker,,42
LR,FGSM_eps0.15,14,0,,0.3571428571428571,FGSM,0.15,1,Infiltration - Dropbox Download,,42
LR,FGSM_eps0.15,4,0,,1.0,FGSM,0.15,1,Infiltration - Dropbox Download - Attempted,,42
LR,FGSM_eps0.15,5997,5628,0.7700781805259417,0.7658829414707353,FGSM,0.15,1,Infiltration - NMAP Portscan,,42
LR,FGSM_eps0.15,6041,6041,0.3759311372289356,0.3759311372289356,FGSM,0.15,1,SSH-BruteForce,,42
LR,FGSM_eps0.15,25,0,,1.0,FGSM,0.15,1,Web Attack - Brute Force,,42
LR,FGSM_eps0.15,23,0,,0.9130434782608696,FGSM,0.15,1,Web Attack - Brute Force - Attempted,,42
LR,FGSM_eps0.15,7,3,1.0,0.5714285714285714,FGSM,0.15,1,Web Attack - SQL,,42
LR,FGSM_eps0.15,2,0,,0.0,FGSM,0.15,1,Web Attack - SQL - Attempted,,42
LR,FGSM_eps0.15,20,0,,1.0,FGSM,0.15,1,Web Attack - XSS,,42
LR,FGSM_eps0.15,2,0,,0.0,FGSM,0.15,1,Web Attack - XSS - Attempted,,42
SVM,FGSM_eps0.15,60000,0,,,FGSM,0.15,1,Benign,,42
SVM,FGSM_eps0.15,6081,6081,1.0,1.0,FGSM,0.15,1,Botnet Ares,,42
SVM,FGSM_eps0.15,60,60,0.3166666666666666,0.3166666666666666,FGSM,0.15,1,Botnet Ares - Attempted,,42
SVM,FGSM_eps0.15,6017,6017,1.0,1.0,FGSM,0.15,1,DDoS-HOIC,,42
SVM,FGSM_eps0.15,6088,0,,1.0,FGSM,0.15,1,DDoS-LOIC-HTTP,,42
SVM,FGSM_eps0.15,502,498,0.002008032128514,0.0059760956175298,FGSM,0.15,1,DDoS-LOIC-UDP,,42
SVM,FGSM_eps0.15,55,0,,1.0,FGSM,0.15,1,DDoS-LOIC-UDP - Attempted,,42
SVM,FGSM_eps0.15,4496,4496,0.9719750889679716,0.9719750889679716,FGSM,0.15,1,DoS GoldenEye,,42
SVM,FGSM_eps0.15,861,861,0.983739837398374,0.983739837398374,FGSM,0.15,1,DoS GoldenEye - Attempted,,42
SVM,FGSM_eps0.15,6050,6050,0.9575206611570248,0.9575206611570248,FGSM,0.15,1,DoS Hulk,,42
SVM,FGSM_eps0.15,10,10,1.0,1.0,FGSM,0.15,1,DoS Hulk - Attempted,,42
SVM,FGSM_eps0.15,1592,1559,0.844772289929442,0.8479899497487438,FGSM,0.15,1,DoS Slowloris,,42
SVM,FGSM_eps0.15,465,458,1.0,1.0,FGSM,0.15,1,DoS Slowloris - Attempted,,42
SVM,FGSM_eps0.15,5846,5846,0.0,0.0,FGSM,0.15,1,FTP-BruteForce - Attempted,,42
SVM,FGSM_eps0.15,45,45,0.2222222222222222,0.2222222222222222,FGSM,0.15,1,Infiltration - Communication Victim Attacker,,42
SVM,FGSM_eps0.15,14,0,,0.1428571428571428,FGSM,0.15,1,Infiltration - Dropbox Download,,42
