model,max_iter,max_eval,approx_queries,n_samples,n_eligible,asr,adv_accuracy,mean_l2,median_queries_success,query_budget_exhausted,numerical_stagnation,elapsed_s,seed
LR,5,100,500,200,182,1.0,0.09,0.347875028848648,228.0,0,0,0.904202938079834,42
LR,10,200,2000,200,182,1.0,0.09,0.3052900433540344,557.0,0,0,1.5381455421447754,42
LR,20,500,10000,200,182,1.0,0.09,0.2837629616260528,1437.0,0,0,2.965450525283813,42
LR,40,1000,40000,200,182,1.0,0.09,0.2688819169998169,3824.0,0,0,6.091064453125,42
SVM,5,100,500,200,183,1.0,0.085,0.2543762922286987,227.0,0,0,0.9425339698791504,42
SVM,10,200,2000,200,183,1.0,0.085,0.2235357612371444,556.0,0,0,1.688413381576538,42
SVM,20,500,10000,200,183,1.0,0.085,0.2078400403261184,1436.0,0,0,3.166002988815308,42
SVM,40,1000,40000,200,183,1.0,0.085,0.1973302066326141,3823.0,0,0,5.917191028594971,42
RF,5,100,500,200,200,0.9,0.1,1.8764933347702024,233.0,0,0,29.392150163650516,42
RF,10,200,2000,200,200,0.9,0.1,1.343302607536316,565.0,0,0,61.59192681312561,42
RF,20,500,10000,200,200,0.9,0.1,0.9715213179588318,1453.0,0,0,112.01411628723145,42
RF,40,1000,40000,200,200,0.9,0.1,0.6680104732513428,3850.0,0,0,165.2278230190277,42
LR,5,100,500,200,172,1.0,0.14,0.5521228313446045,228.0,0,0,1.155247926712036,7
LR,10,200,2000,200,172,1.0,0.14,0.4825860857963562,557.0,0,0,2.0789132118225098,7
LR,20,500,10000,200,172,1.0,0.14,0.4488421976566314,1437.0,0,0,3.856070756912232,7
LR,40,1000,40000,200,172,1.0,0.14,0.4257910847663879,3824.0,0,0,7.561256170272827,7
SVM,5,100,500,200,173,1.0,0.135,0.3046059310436249,228.0,0,0,1.1625182628631592,7
SVM,10,200,2000,200,173,1.0,0.135,0.2686006426811218,557.0,0,0,2.08587908744812,7
SVM,20,500,10000,200,173,1.0,0.135,0.2497558742761612,1437.0,0,0,3.913264989852905,7
SVM,40,1000,40000,200,173,1.0,0.135,0.2373787313699722,3824.0,0,0,7.610496997833252,7
RF,5,100,500,200,200,0.905,0.095,1.856289267539978,232.0,0,0,35.109379529953,7
RF,10,200,2000,200,200,0.905,0.095,1.2280184030532837,564.0,0,0,54.35749125480652,7
RF,20,500,10000,200,200,0.905,0.095,0.8623088002204895,1450.0,0,0,85.73415517807007,7
RF,40,1000,40000,200,200,0.905,0.095,0.6152468323707581,3842.0,0,0,177.47954988479614,7
LR,5,100,500,200,194,1.0,0.03,0.1674447208642959,228.0,0,0,1.1594433784484863,123
LR,10,200,2000,200,194,1.0,0.03,0.1441876888275146,557.0,0,0,2.11982536315918,123
LR,20,500,10000,200,194,1.0,0.03,0.1330937445163726,1437.0,0,0,2.7827723026275635,123
LR,40,1000,40000,200,194,1.0,0.03,0.1260222643613815,3824.0,0,0,5.564141750335693,123
SVM,5,100,500,200,185,1.0,0.075,0.2846321761608124,228.0,0,0,0.9506235122680664,123
SVM,10,200,2000,200,185,1.0,0.075,0.2455514073371887,557.0,0,0,1.4588360786437988,123
SVM,20,500,10000,200,185,1.0,0.075,0.2269200086593628,1437.0,0,0,2.6702098846435547,123
SVM,40,1000,40000,200,185,1.0,0.075,0.2148072123527526,3824.0,0,0,5.374467372894287,123
RF,5,100,500,200,200,0.815,0.185,1.668973088264465,233.0,0,0,25.184951066970825,123
RF,10,200,2000,200,200,0.815,0.185,1.09461510181427,564.0,0,0,42.89933919906616,123
RF,20,500,10000,200,200,0.815,0.185,0.7265678644180298,1450.0,0,0,76.95926904678345,123
RF,40,1000,40000,200,200,0.815,0.185,0.502230703830719,3846.0,0,0,162.74841833114624,123
LR,5,100,500,200,197,1.0,0.015,0.2254217267036438,228.0,0,0,0.9307653903961182,31
LR,10,200,2000,200,197,1.0,0.015,0.1991141885519027,557.0,0,0,1.7124245166778564,31
LR,20,500,10000,200,197,1.0,0.015,0.1873251795768737,1437.0,0,0,3.273195505142212,31
LR,40,1000,40000,200,197,1.0,0.015,0.1797656565904617,3824.0,0,0,6.202298641204834,31
SVM,5,100,500,200,197,1.0,0.015,0.1785796284675598,227.0,0,0,1.8868200778961184,31
SVM,10,200,2000,200,197,1.0,0.015,0.1588355898857116,556.0,0,0,1.6296310424804688,31
SVM,20,500,10000,200,197,1.0,0.015,0.1489473581314087,1436.0,0,0,3.0065839290618896,31
SVM,40,1000,40000,200,197,1.0,0.015,0.1428332477807998,3823.0,0,0,7.138158559799194,31
RF,5,100,500,200,200,0.84,0.16,2.4516806602478027,232.0,0,0,26.36879324913025,31
RF,10,200,2000,200,200,0.84,0.16,1.5164066553115845,566.0,0,0,43.93238282203674,31
RF,20,500,10000,200,200,0.84,0.16,1.0584540367126465,1452.5,0,0,80.69082546234131,31
RF,40,1000,40000,200,200,0.84,0.16,0.7532846927642822,3850.0,0,0,151.79107642173767,31
LR,5,100,500,200,187,1.0,0.065,0.5373429656028748,228.0,0,0,0.8393440246582031,99
LR,10,200,2000,200,187,1.0,0.065,0.4798904359340668,557.0,0,0,1.4773986339569092,99
LR,20,500,10000,200,187,1.0,0.065,0.4532220363616943,1437.0,0,0,2.762751579284668,99
LR,40,1000,40000,200,187,1.0,0.065,0.4342175424098968,3824.0,0,0,5.85727596282959,99
SVM,5,100,500,200,183,1.0,0.085,0.6507559418678284,228.0,0,0,0.9009535312652588,99
SVM,10,200,2000,200,183,1.0,0.085,0.5769200325012207,557.0,0,0,1.471076250076294,99
SVM,20,500,10000,200,183,1.0,0.085,0.533789873123169,1437.0,0,0,2.8181464672088623,99
SVM,40,1000,40000,200,183,1.0,0.085,0.5063506960868835,3824.0,0,0,5.5946364402771,99
RF,5,100,500,200,200,0.9,0.1,1.5507813692092896,231.0,0,0,25.56970286369324,99
RF,10,200,2000,200,200,0.9,0.1,1.0183615684509275,563.0,0,0,44.55699372291565,99
RF,20,500,10000,200,200,0.9,0.1,0.7555422782897949,1448.0,0,0,84.01904058456421,99
RF,40,1000,40000,200,200,0.9,0.1,0.6040557622909546,3842.0,0,0,152.9223747253418,99
