accuracy,precision,recall,f1,fpr,fnr,model,config,attack,asr,best_params,family,epsilon,iters,confidence,n_samples,n_eligible,mean_l2,median_queries_success,query_budget_exhausted,numerical_stagnation,elapsed_s,seed
0.9323137176686036,0.9546197440196972,0.8940818639047373,0.9233596123840028,0.0356333333333333,0.1059181360952627,LR,tuned,clean,0.0,"{'class_weight': 'balanced', 'C': 100.0}",,,,,,,,,,,,42
0.5746987842579078,0.5376150859678314,0.4817406516509949,0.5081465327433999,0.3473666666666666,0.518259348349005,LR,tuned,FGSM_eps0.15,0.3593918569757849,"{'class_weight': 'balanced', 'C': 100.0}",FGSM,0.15,1.0,,,,,,,,,42
0.2053978586257853,0.0424202323187766,0.0344114665129316,0.0379984414273013,0.65125,0.9655885334870684,LR,tuned,FGSM_eps0.3,0.7289466288314914,"{'class_weight': 'balanced', 'C': 100.0}",FGSM,0.3,1.0,,,,,,,,,42
0.0445590781755709,0.021124923932887,0.0241536290082102,0.0225379806711309,0.9383333333333334,0.9758463709917896,LR,tuned,FGSM_eps0.5,0.8900120576956202,"{'class_weight': 'balanced', 'C': 100.0}",FGSM,0.5,1.0,,,,,,,,,42
0.0393642965286528,0.014768447482215,0.0168379619505794,0.0157354512098834,0.94175,0.9831620380494204,LR,tuned,FGSM_eps0.75,0.8953337624543304,"{'class_weight': 'balanced', 'C': 100.0}",FGSM,0.75,1.0,,,,,,,,,42
0.6631097975576367,0.6136721385203509,0.7052660875096912,0.6562887322640916,0.3722333333333333,0.2947339124903087,LR,tuned,PGD_eps0.15_it10,0.2698929312892668,"{'class_weight': 'balanced', 'C': 100.0}",PGD,0.15,10.0,,,,,,,,,42
0.5813531816904345,0.542365918287698,0.5248991113850069,0.5334895843856707,0.3713166666666667,0.4751008886149931,LR,tuned,PGD_eps0.15_it25,0.3516586130930256,"{'class_weight': 'balanced', 'C': 100.0}",PGD,0.15,25.0,,,,,,,,,42
0.2778165598397142,0.090640339134315,0.0646084726557064,0.0754419155282675,0.5434333333333333,0.9353915273442936,LR,tuned,PGD_eps0.3_it10,0.6556122680253483,"{'class_weight': 'balanced', 'C': 100.0}",PGD,0.3,10.0,,,,,,,,,42
0.3237989900546676,0.205133809315654,0.1679223903146929,0.1846722270198183,0.5455166666666666,0.8320776096853071,LR,tuned,PGD_eps0.3_it25,0.6093125300309148,"{'class_weight': 'balanced', 'C': 100.0}",PGD,0.3,25.0,,,,,,,,,42
0.1620989456315784,0.0283525933888739,0.0251674850406536,0.0266652624927597,0.7231,0.9748325149593464,LR,tuned,PGD_eps0.5_it10,0.7711213656926829,"{'class_weight': 'balanced', 'C': 100.0}",PGD,0.5,10.0,,,,,,,,,42
0.1825516985032138,0.0301494507566828,0.0254259189312764,0.0275869506605554,0.6857166666666666,0.9745740810687236,LR,tuned,PGD_eps0.5_it25,0.7506504809479343,"{'class_weight': 'balanced', 'C': 100.0}",PGD,0.5,25.0,,,,,,,,,42
0.1386181699500467,0.0216544699790302,0.0201180844084845,0.0208580232282531,0.7620333333333333,0.9798819155915154,LR,tuned,PGD_eps0.75_it10,0.7947290644860068,"{'class_weight': 'balanced', 'C': 100.0}",PGD,0.75,10.0,,,,,,,,,42
0.1380288840738692,0.0204562493306201,0.0189849511957537,0.0196931579164432,0.7621666666666667,0.9810150488042464,LR,tuned,PGD_eps0.75_it25,0.795427141600863,"{'class_weight': 'balanced', 'C': 100.0}",PGD,0.75,25.0,,,,,,,,,42
0.6598460603972693,0.5974744932973418,0.778820348686957,0.6762000103560765,0.4399,0.2211796513130429,LR,tuned,CW_c0.0_it10,0.2727487013045883,"{'class_weight': 'balanced', 'C': 100.0}",CW,,10.0,0.0,,,,,,,,42
0.6521309483876232,0.5918807367707756,0.7640100988012644,0.667019568707424,0.4416666666666666,0.2359899011987356,LR,tuned,CW_c0.5_it10,0.2804366155045647,"{'class_weight': 'balanced', 'C': 100.0}",CW,,10.0,0.5,,,,,,,,42
0.07,0.109090909090909,0.12,0.1142857142857142,0.98,0.88,LR,tuned,HopSkipJump_direct,1.0,"{'class_weight': 'balanced', 'C': 100.0}",,,,,100.0,93.0,0.2903904020786285,556.0,0.0,0.0,0.7627804279327393,42
0.9258497049037652,0.963043573846898,0.870822813748683,0.9146144129284156,0.0280166666666666,0.129177186251317,LR,as_submitted,clean,0.0,{'max_iter': 500},,,,,,,,,,,,42
0.5864845017814565,0.5518789675079073,0.4960141542253941,0.5224574407940197,0.3376666666666666,0.5039858457746059,LR,as_submitted,FGSM_eps0.15,0.3411149288777277,{'max_iter': 500},FGSM,0.15,1.0,,,,,,,,,42
0.3394921262341006,0.0689246530830689,0.0358427926763811,0.0471606811226491,0.4059333333333333,0.9641572073236188,LR,as_submitted,FGSM_eps0.3,0.5883883484583375,{'max_iter': 500},FGSM,0.3,1.0,,,,,,,,,42
