model,attack,n,n_detected_clean,asr,fnr_under_attack,family,epsilon,iters,traffic_family,confidence
LR,FGSM_eps0.15,60000,0,,,FGSM,0.15,1,Benign,
LR,FGSM_eps0.15,6052,6045,0.9956989247311828,0.9957038995373431,FGSM,0.15,1,Botnet Ares,
LR,FGSM_eps0.15,49,49,1.0,1.0,FGSM,0.15,1,Botnet Ares - Attempted,
LR,FGSM_eps0.15,5894,5893,1.0,0.999830335934849,FGSM,0.15,1,DDoS-HOIC,
LR,FGSM_eps0.15,5960,5960,1.0,1.0,FGSM,0.15,1,DDoS-LOIC-HTTP,
LR,FGSM_eps0.15,516,508,0.047244094488188976,0.06201550387596899,FGSM,0.15,1,DDoS-LOIC-UDP,
LR,FGSM_eps0.15,51,0,,0.9019607843137255,FGSM,0.15,1,DDoS-LOIC-UDP - Attempted,
LR,FGSM_eps0.15,4580,4453,0.9997754322928363,0.9997816593886463,FGSM,0.15,1,DoS GoldenEye,
LR,FGSM_eps0.15,849,848,1.0,1.0,FGSM,0.15,1,DoS GoldenEye - Attempted,
LR,FGSM_eps0.15,5951,5951,1.0,1.0,FGSM,0.15,1,DoS Hulk,
LR,FGSM_eps0.15,19,19,0.631578947368421,0.631578947368421,FGSM,0.15,1,DoS Hulk - Attempted,
LR,FGSM_eps0.15,1713,1633,0.9865278628291488,0.9871570344424986,FGSM,0.15,1,DoS Slowloris,
LR,FGSM_eps0.15,437,424,0.9976415094339622,0.9977116704805492,FGSM,0.15,1,DoS Slowloris - Attempted,
LR,FGSM_eps0.15,5957,5957,0.1436964915225785,0.1436964915225785,FGSM,0.15,1,FTP-BruteForce - Attempted,
LR,FGSM_eps0.15,47,47,0.0,0.0,FGSM,0.15,1,Infiltration - Communication Victim Attacker,
LR,FGSM_eps0.15,14,2,1.0,0.35714285714285715,FGSM,0.15,1,Infiltration - Dropbox Download,
LR,FGSM_eps0.15,2,0,,0.5,FGSM,0.15,1,Infiltration - Dropbox Download - Attempted,
LR,FGSM_eps0.15,6072,4496,0.8209519572953736,0.8549077733860343,FGSM,0.15,1,Infiltration - NMAP Portscan,
LR,FGSM_eps0.15,6059,6059,1.0,1.0,FGSM,0.15,1,SSH-BruteForce,
LR,FGSM_eps0.15,27,26,0.0,0.037037037037037035,FGSM,0.15,1,Web Attack - Brute Force,
LR,FGSM_eps0.15,25,10,1.0,1.0,FGSM,0.15,1,Web Attack - Brute Force - Attempted,
LR,FGSM_eps0.15,6,2,0.5,0.6666666666666666,FGSM,0.15,1,Web Attack - SQL,
LR,FGSM_eps0.15,3,1,0.0,0.0,FGSM,0.15,1,Web Attack - SQL - Attempted,
LR,FGSM_eps0.15,19,0,,1.0,FGSM,0.15,1,Web Attack - XSS,
LR,FGSM_eps0.15,1,0,,0.0,FGSM,0.15,1,Web Attack - XSS - Attempted,
SVM,FGSM_eps0.15,60000,0,,,FGSM,0.15,1,Benign,
