accuracy,precision,recall,f1,fpr,fnr,model,config,attack,asr,best_params,family,epsilon,iters,confidence,n_samples,n_eligible,mean_l2,median_queries_success,query_budget_exhausted,numerical_stagnation,elapsed_s
0.9715510910854646,0.9715462598228389,0.965906605967835,0.968718224774209,0.023716666666666667,0.03409339403216508,LR,tuned,clean,0.0,"{'class_weight': 'balanced', 'C': 100.0}",,,,,,,,,,,
0.05942721412835553,0.042775258790315684,0.04969882511977417,0.04597785706403796,0.9324166666666667,0.9503011748802258,LR,tuned,FGSM_eps0.15,0.913257119026681,"{'class_weight': 'balanced', 'C': 100.0}",FGSM,0.15,1.0,,,,,,,,
0.04187556095482444,0.014039767641845528,0.015903624038327735,0.014913687036277544,0.93635,0.9840963759616723,LR,tuned,FGSM_eps0.3,0.9308178381367688,"{'class_weight': 'balanced', 'C': 100.0}",FGSM,0.3,1.0,,,,,,,,
0.04010770332629212,0.014161829498566333,0.01610241933880683,0.015069907627047694,0.9397666666666666,0.9838975806611931,LR,tuned,FGSM_eps0.5,0.9327670144964325,"{'class_weight': 'balanced', 'C': 100.0}",FGSM,0.5,1.0,,,,,,,,
0.03890193376426752,0.01409507195813345,0.016062660278711012,0.015014680194744862,0.94195,0.9839373397212889,LR,tuned,FGSM_eps0.75,0.9339818499950138,"{'class_weight': 'balanced', 'C': 100.0}",FGSM,0.75,1.0,,,,,,,,
0.07580936148608831,0.08502362660323379,0.10516271395344214,0.09402689275779633,0.9488,0.8948372860465579,LR,tuned,PGD_eps0.15_it10,0.8966573891915904,"{'class_weight': 'balanced', 'C': 100.0}",PGD,0.15,10.0,,,,,,,,
0.06813051322266847,0.08401363240072918,0.10536150925392124,0.09348431932832399,0.9630833333333333,0.8946384907460787,LR,tuned,PGD_eps0.15_it25,0.904535688059255,"{'class_weight': 'balanced', 'C': 100.0}",PGD,0.15,25.0,,,,,,,,
0.026535996301097885,0.021849499840820363,0.025922907182474208,0.023712540005819027,0.97295,0.9740770928175257,LR,tuned,PGD_eps0.3_it10,0.9459398203131375,"{'class_weight': 'balanced', 'C': 100.0}",PGD,0.3,10.0,,,,,,,,
0.02552967734331795,0.021824932267451583,0.025942786712522117,0.023706368020927,0.9748166666666667,0.9740572132874779,LR,tuned,PGD_eps0.3_it25,0.9469189414612477,"{'class_weight': 'balanced', 'C': 100.0}",PGD,0.3,25.0,,,,,,,,
0.023671160349219875,0.02208490864575873,0.026360256843528218,0.02403393025447691,0.9785833333333334,0.9736397431564717,LR,tuned,PGD_eps0.5_it10,0.948985974996147,"{'class_weight': 'balanced', 'C': 100.0}",PGD,0.5,10.0,,,,,,,,
0.02377995158789879,0.022296228457247522,0.026618690734151046,0.02426647818916617,0.9786,0.973381309265849,LR,tuned,PGD_eps0.5_it25,0.9488771837574681,"{'class_weight': 'balanced', 'C': 100.0}",PGD,0.5,25.0,,,,,,,,
0.023653028476106723,0.022084173009343303,0.026360256843528218,0.024033494644119406,0.9786166666666667,0.9736397431564717,LR,tuned,PGD_eps0.75_it10,0.9490131728058167,"{'class_weight': 'balanced', 'C': 100.0}",PGD,0.75,10.0,,,,,,,,
0.023988468128700036,0.02268641810918775,0.027095799455300877,0.024695831785691638,0.9786166666666667,0.9729042005446992,LR,tuned,PGD_eps0.75_it25,0.9486777331532233,"{'class_weight': 'balanced', 'C': 100.0}",PGD,0.75,25.0,,,,,,,,
0.10590827085392056,0.1282658870595476,0.165715762479375,0.14460548342050256,0.9442333333333334,0.834284237520625,LR,tuned,CW_c0.0_it10,0.8661958423614952,"{'class_weight': 'balanced', 'C': 100.0}",CW,,10.0,0.0,,,,,,,
0.09688766398012746,0.12588951097758963,0.16494046080750652,0.1427932191721883,0.9601666666666666,0.8350595391924935,LR,tuned,CW_c0.5_it10,0.8752889767277409,"{'class_weight': 'balanced', 'C': 100.0}",CW,,10.0,0.5,,,,,,,
0.02,0.0,0.0,0.0,0.96,1.0,LR,tuned,HopSkipJump_direct,1.0,"{'class_weight': 'balanced', 'C': 100.0}",,,,,100.0,98.0,0.10354385524988174,556.0,0.0,0.0,0.7710235118865967
0.9700098818708467,0.9721122742159088,0.9618313023080134,0.9669444610987868,0.023133333333333332,0.03816869769198656,LR,as_submitted,clean,0.0,{'max_iter': 500},,,,,,,,,,,
0.10190112689591398,0.10674882250467772,0.13156272985706619,0.11786391686479844,0.9229666666666667,0.8684372701429338,LR,as_submitted,FGSM_eps0.15,0.8692147992348349,{'max_iter': 500},FGSM,0.15,1.0,,,,,,,,
0.05509369645431221,0.03714957683129903,0.04301930302367652,0.03986955800799602,0.9347833333333333,0.9569806969763235,LR,as_submitted,FGSM_eps0.3,0.9160312956129933,{'max_iter': 500},FGSM,0.3,1.0,,,,,,,,
0.04097803323572342,0.013845075359270943,0.015704828737848637,0.014716429309911235,0.9378333333333333,0.9842951712621514,LR,as_submitted,FGSM_eps0.5,0.9301560247681386,{'max_iter': 500},FGSM,0.5,1.0,,,,,,,,
0.03969067024468963,0.013708690330477356,0.015585551557561179,0.01458699636255384,0.9401,0.9844144484424389,LR,as_submitted,FGSM_eps0.75,0.931452453695729,{'max_iter': 500},FGSM,0.75,1.0,,,,,,,,
0.10718656790839777,0.10944112067707573,0.13418682782339025,0.12055724236470798,0.91545,0.8658131721766097,LR,as_submitted,PGD_eps0.15_it10,0.86372084168155,{'max_iter': 500},PGD,0.15,10.0,,,,,,,,
0.14481927055474467,0.11773694995311361,0.13478321372482754,0.12568473152962767,0.8467666666666667,0.8652167862751724,LR,as_submitted,PGD_eps0.15_it25,0.8260790730986465,{'max_iter': 500},PGD,0.15,25.0,,,,,,,,
0.049672266393479776,0.046013955734674504,0.05492714152237441,0.050077027639329405,0.9547333333333333,0.9450728584776256,LR,as_submitted,PGD_eps0.3_it10,0.9212804728792507,{'max_iter': 500},PGD,0.3,10.0,,,,,,,,
0.04771402409725937,0.04586410022401062,0.05494702105242232,0.04999638231676434,0.95835,0.9450529789475777,LR,as_submitted,PGD_eps0.3_it25,0.923220583302358,{'max_iter': 500},PGD,0.3,25.0,,,,,,,,
0.027188743733171355,0.024270143050292944,0.028904836689660655,0.026385511559539797,0.97425,0.9710951633103393,LR,as_submitted,PGD_eps0.5_it10,0.9437639955395593,{'max_iter': 500},PGD,0.5,10.0,,,,,,,,
0.02722500747939766,0.024398791742460908,0.029063872930043935,0.026527797938742922,0.9743166666666667,0.970936127069956,LR,as_submitted,PGD_eps0.5_it25,0.9437549296030027,{'max_iter': 500},PGD,0.5,25.0,,,,,,,,
0.026989293128926683,0.024038862828238985,0.02862652326898992,0.026132878427671813,0.9743833333333334,0.97137347673101,LR,as_submitted,PGD_eps0.75_it10,0.9439725120803605,{'max_iter': 500},PGD,0.75,10.0,,,,,,,,
0.027197809669727933,0.024413443246670895,0.029083752460091844,0.026544738680383564,0.9743833333333334,0.9709162475399081,LR,as_submitted,PGD_eps0.75_it25,0.9437639955395593,{'max_iter': 500},PGD,0.75,25.0,,,,,,,,
0.24414567146859106,0.28516487799807705,0.4363159254915214,0.34490724371213727,0.9169666666666667,0.5636840745084786,LR,as_submitted,CW_c0.0_it10,0.7262993753569712,{'max_iter': 500},CW,,10.0,0.0,,,,,,,
0.22905995303844864,0.27515535991714135,0.42249965210822416,0.3332679958915817,0.9331166666666667,0.5775003478917758,LR,as_submitted,CW_c0.5_it10,0.7415029509623492,{'max_iter': 500},CW,,10.0,0.5,,,,,,,
0.02,0.0,0.0,0.0,0.96,1.0,LR,as_submitted,HopSkipJump_direct,1.0,{'max_iter': 500},,,,,100.0,98.0,0.14754393696784973,556.0,0.0,0.0,0.8099703788757324
0.9197029999184065,0.9645162736483457,0.8553962984315051,0.9066849286203446,0.026383333333333335,0.14460370156849492,SVM,tuned,clean,0.0,"{'class_weight': 'balanced', 'C': 10.0}",,,,,,,,,,,
0.22973083234363526,0.20574252046048833,0.24088026559052145,0.22192917387840325,0.7796166666666666,0.7591197344094786,SVM,tuned,FGSM_eps0.15,0.6906611787530711,"{'class_weight': 'balanced', 'C': 10.0}",FGSM,0.15,1.0,,,,,,,,
0.051113750305975356,0.043237883981985616,0.051150030813271574,0.04686233619582738,0.9489166666666666,0.9488499691867284,SVM,tuned,FGSM_eps0.3,0.8696227663798809,"{'class_weight': 'balanced', 'C': 10.0}",FGSM,0.3,1.0,,,,,,,,
0.03042528308386898,0.03593314763231198,0.0435958093950659,0.03939532753092075,0.9806166666666667,0.9564041906049341,SVM,tuned,FGSM_eps0.5,0.8903112336019873,"{'class_weight': 'balanced', 'C': 10.0}",FGSM,0.5,1.0,,,,,,,,
0.00858544191907745,0.013382335975740395,0.01614217839890265,0.014633267255361326,0.99775,0.9838578216010974,SVM,tuned,FGSM_eps0.75,0.9121601407033354,"{'class_weight': 'balanced', 'C': 10.0}",FGSM,0.75,1.0,,,,,,,,
0.2392228679183703,0.1627300274929261,0.1612031091584995,0.16196296962070825,0.6953666666666667,0.8387968908415006,SVM,tuned,PGD_eps0.15_it10,0.6812326047342321,"{'class_weight': 'balanced', 'C': 10.0}",PGD,0.15,10.0,,,,,,,,
0.32895750795535933,0.20373285360917473,0.16209768801065544,0.18054602218630295,0.53115,0.8379023119893446,SVM,tuned,PGD_eps0.15_it25,0.5913891734585641,"{'class_weight': 'balanced', 'C': 10.0}",PGD,0.15,25.0,,,,,,,,
0.14592531481464693,0.1163579168123034,0.13235791105898256,0.12384327074207378,0.8427,0.8676420889410175,SVM,tuned,PGD_eps0.3_it10,0.774539223774512,"{'class_weight': 'balanced', 'C': 10.0}",PGD,0.3,10.0,,,,,,,,
0.149515425691051,0.12438704330409558,0.14321213446514125,0.1331374342767906,0.8452,0.8567878655348588,SVM,tuned,PGD_eps0.3_it25,0.770949112898108,"{'class_weight': 'balanced', 'C': 10.0}",PGD,0.3,25.0,,,,,,,,
0.08722337561081747,0.04540614679395788,0.050016897600540726,0.04760012864899635,0.8815833333333334,0.9499831023994593,SVM,tuned,PGD_eps0.5_it10,0.8332411629783415,"{'class_weight': 'balanced', 'C': 10.0}",PGD,0.5,10.0,,,,,,,,
0.08856513422119072,0.04794902716031606,0.052959068047631355,0.05032967448187263,0.8815833333333334,0.9470409319523686,SVM,tuned,PGD_eps0.5_it25,0.8318994043679683,"{'class_weight': 'balanced', 'C': 10.0}",PGD,0.5,25.0,,,,,,,,
0.07481210846486497,0.021259667690485883,0.022841580025048207,0.022022252249662193,0.8816166666666667,0.9771584199749518,SVM,tuned,PGD_eps0.75_it10,0.845652430124294,"{'class_weight': 'balanced', 'C': 10.0}",PGD,0.75,10.0,,,,,,,,
0.07528353716580691,0.0222181146025878,0.02389519511758742,0.023026158252157505,0.8816333333333334,0.9761048048824126,SVM,tuned,PGD_eps0.75_it25,0.8451810014233521,"{'class_weight': 'balanced', 'C': 10.0}",PGD,0.75,25.0,,,,,,,,
0.7218570664442491,0.6559832117136453,0.8202691688368487,0.7289848415250344,0.36065,0.1797308311631513,SVM,tuned,CW_c0.0_it10,0.19795472471283646,"{'class_weight': 'balanced', 'C': 10.0}",CW,,10.0,0.0,,,,,,,
