accuracy,precision,recall,f1,fpr,fnr,model,selector,n_features,attack,asr,family,epsilon,iters,confidence
0.9770903783215326,0.9747029132387424,0.9750710693199212,0.9748869565217392,0.0212166666666666,0.0249289306800787,LR,rf,25,clean,0.0,,,,
0.9776343345149272,0.9740931615460852,0.9769397451444248,0.9755143767431242,0.0217833333333333,0.0230602548555752,SVM,rf,25,clean,0.0,,,,
0.999764285649529,0.999900570724044,0.999582529868994,0.9997415250024854,8.333333333333333e-05,0.0004174701310061,RF,rf,25,clean,0.0,,,,
0.9985585160875045,0.9988261509689228,0.9980120469952092,0.9984189330283896,0.0009833333333333,0.0019879530047909,MLP,rf,25,clean,0.0,,,,
0.0746579875434031,0.0255531318167653,0.027712064886786,0.0265888456549935,0.8859833333333333,0.972287935113214,LR,rf,25,FGSM_eps0.15,0.9032664569413345,FGSM,0.15,1.0,
0.0690824365611089,0.105251258553643,0.1388187583245532,0.1197267014719371,0.9893833333333332,0.8611812416754467,SVM,rf,25,FGSM_eps0.15,0.9097214037696164,FGSM,0.15,1.0,
0.5480721285912441,0.954,0.0094825358328529,0.0187784185973269,0.0003833333333333,0.9905174641671473,RF,rf,25,FGSM_eps0.15,0.4517465526776243,FGSM,0.15,1.0,
0.267771502135028,0.0218182959753877,0.0138162733832972,0.0169188261499324,0.5193166666666666,0.9861837266167028,MLP,rf,25,FGSM_eps0.15,0.7321378384994062,FGSM,0.15,1.0,
0.0337343499270192,0.0175561918151113,0.0203566387690595,0.0188529872042713,0.95505,0.9796433612309404,LR,rf,25,FGSM_eps0.3,0.9442263583039446,FGSM,0.3,1.0,
0.0608777639774076,0.0972228521323718,0.127845257738107,0.1104508372692142,0.9952666666666666,0.8721547422618929,SVM,rf,25,FGSM_eps0.3,0.9179804719726572,FGSM,0.3,1.0,
0.5451982267028095,0.7133956386292835,0.0045524123809713,0.0090470922882427,0.0015333333333333,0.9954475876190289,RF,rf,25,FGSM_eps0.3,0.4546113886295023,FGSM,0.3,1.0,
0.1759244988803568,0.0145184051280824,0.0120668747390811,0.0131796074344276,0.6867,0.9879331252609188,MLP,rf,25,FGSM_eps0.3,0.8237491274036064,FGSM,0.3,1.0,
0.0276329746244435,0.0115273775216138,0.0133590441921952,0.0123758045654195,0.9604,0.9866409558078048,LR,rf,25,FGSM_eps0.5,0.950608777639774,FGSM,0.5,1.0,
