model,max_iter,max_eval,approx_queries,n_samples,n_eligible,asr,adv_accuracy,mean_l2,median_queries_success,query_budget_exhausted,numerical_stagnation,elapsed_s
LR,5,100,500,200,172,1.0,0.14,0.5521228313446045,228.0,0,0,1.1552479267120361
LR,10,200,2000,200,172,1.0,0.14,0.4825860857963562,557.0,0,0,2.0789132118225098
LR,20,500,10000,200,172,1.0,0.14,0.44884219765663147,1437.0,0,0,3.8560707569122314
LR,40,1000,40000,200,172,1.0,0.14,0.42579108476638794,3824.0,0,0,7.561256170272827
SVM,5,100,500,200,173,1.0,0.135,0.3046059310436249,228.0,0,0,1.1625182628631592
SVM,10,200,2000,200,173,1.0,0.135,0.2686006426811218,557.0,0,0,2.08587908744812
SVM,20,500,10000,200,173,1.0,0.135,0.2497558742761612,1437.0,0,0,3.9132649898529053
SVM,40,1000,40000,200,173,1.0,0.135,0.23737873136997223,3824.0,0,0,7.610496997833252
RF,5,100,500,200,200,0.905,0.095,1.856289267539978,232.0,0,0,35.109379529953
RF,10,200,2000,200,200,0.905,0.095,1.2280184030532837,564.0,0,0,54.35749125480652
RF,20,500,10000,200,200,0.905,0.095,0.8623088002204895,1450.0,0,0,85.73415517807007
RF,40,1000,40000,200,200,0.905,0.095,0.6152468323707581,3842.0,0,0,177.47954988479614
