accuracy,precision,recall,f1,fpr,fnr,model,sigma,eval_attack,smooth_s_per_sample,n0,n,family,epsilon,iters,confidence
0.985,0.9878048780487805,0.9759036144578314,0.9818181818181818,0.008547008547008548,0.024096385542168676,LR,0.1,Clean,0.00017106175422668457,50,200,,,,
0.085,0.037037037037037035,0.04819277108433735,0.041884816753926704,0.8888888888888888,0.9518072289156626,LR,0.1,FGSM_eps0.15,,50,200,FGSM,0.15,1.0,
0.07,0.018691588785046728,0.024096385542168676,0.021052631578947368,0.8974358974358975,0.9759036144578314,LR,0.1,FGSM_eps0.3,,50,200,FGSM,0.3,1.0,
0.065,0.009433962264150943,0.012048192771084338,0.010582010582010581,0.8974358974358975,0.9879518072289156,LR,0.1,FGSM_eps0.5,,50,200,FGSM,0.5,1.0,
0.06,0.009345794392523364,0.012048192771084338,0.010526315789473684,0.905982905982906,0.9879518072289156,LR,0.1,FGSM_eps0.75,,50,200,FGSM,0.75,1.0,
0.08,0.03669724770642202,0.04819277108433735,0.041666666666666664,0.8974358974358975,0.9518072289156626,LR,0.1,PGD_eps0.15_it10,,50,200,PGD,0.15,10.0,
0.14,0.041237113402061855,0.04819277108433735,0.044444444444444446,0.7948717948717948,0.9518072289156626,LR,0.1,PGD_eps0.15_it25,,50,200,PGD,0.15,25.0,
0.055,0.01818181818181818,0.024096385542168676,0.02072538860103627,0.9230769230769231,0.9759036144578314,LR,0.1,PGD_eps0.3_it10,,50,200,PGD,0.3,10.0,
0.055,0.01818181818181818,0.024096385542168676,0.02072538860103627,0.9230769230769231,0.9759036144578314,LR,0.1,PGD_eps0.3_it25,,50,200,PGD,0.3,25.0,
0.035,0.008928571428571428,0.012048192771084338,0.010256410256410256,0.9487179487179487,0.9879518072289156,LR,0.1,PGD_eps0.5_it10,,50,200,PGD,0.5,10.0,
0.035,0.008928571428571428,0.012048192771084338,0.010256410256410256,0.9487179487179487,0.9879518072289156,LR,0.1,PGD_eps0.5_it25,,50,200,PGD,0.5,25.0,
0.035,0.008928571428571428,0.012048192771084338,0.010256410256410256,0.9487179487179487,0.9879518072289156,LR,0.1,PGD_eps0.75_it10,,50,200,PGD,0.75,10.0,
0.035,0.008928571428571428,0.012048192771084338,0.010256410256410256,0.9487179487179487,0.9879518072289156,LR,0.1,PGD_eps0.75_it25,,50,200,PGD,0.75,25.0,
0.205,0.22857142857142856,0.3855421686746988,0.28699551569506726,0.9230769230769231,0.6144578313253012,LR,0.1,CW_c0.0_it10,,50,200,CW,,10.0,0.0
0.21,0.23776223776223776,0.40963855421686746,0.3008849557522124,0.9316239316239316,0.5903614457831325,LR,0.1,CW_c0.5_it10,,50,200,CW,,10.0,0.5
0.94,1.0,0.8554216867469879,0.922077922077922,0.0,0.14457831325301204,SVM,0.1,Clean,0.00016889214515686035,50,200,,,,
0.39,0.27058823529411763,0.27710843373493976,0.27380952380952384,0.5299145299145299,0.7228915662650602,SVM,0.1,FGSM_eps0.15,,50,200,FGSM,0.15,1.0,
0.045,0.017857142857142856,0.024096385542168676,0.020512820512820513,0.9401709401709402,0.9759036144578314,SVM,0.1,FGSM_eps0.3,,50,200,FGSM,0.3,1.0,
0.025,0.017241379310344827,0.024096385542168676,0.020100502512562814,0.9743589743589743,0.9759036144578314,SVM,0.1,FGSM_eps0.5,,50,200,FGSM,0.5,1.0,
0.015,0.01694915254237288,0.024096385542168676,0.01990049751243781,0.9914529914529915,0.9759036144578314,SVM,0.1,FGSM_eps0.75,,50,200,FGSM,0.75,1.0,
0.28,0.13253012048192772,0.13253012048192772,0.13253012048192772,0.6153846153846154,0.8674698795180723,SVM,0.1,PGD_eps0.15_it10,,50,200,PGD,0.15,10.0,
0.38,0.16393442622950818,0.12048192771084337,0.1388888888888889,0.4358974358974359,0.8795180722891566,SVM,0.1,PGD_eps0.15_it25,,50,200,PGD,0.15,25.0,
0.125,0.04,0.04819277108433735,0.04371584699453552,0.8205128205128205,0.9518072289156626,SVM,0.1,PGD_eps0.3_it10,,50,200,PGD,0.3,10.0,
0.13,0.04950495049504951,0.060240963855421686,0.05434782608695652,0.8205128205128205,0.9397590361445783,SVM,0.1,PGD_eps0.3_it25,,50,200,PGD,0.3,25.0,
0.1,0.019801980198019802,0.024096385542168676,0.021739130434782608,0.8461538461538461,0.9759036144578314,SVM,0.1,PGD_eps0.5_it10,,50,200,PGD,0.5,10.0,
0.1,0.019801980198019802,0.024096385542168676,0.021739130434782608,0.8461538461538461,0.9759036144578314,SVM,0.1,PGD_eps0.5_it25,,50,200,PGD,0.5,25.0,
0.095,0.01,0.012048192771084338,0.01092896174863388,0.8461538461538461,0.9879518072289156,SVM,0.1,PGD_eps0.75_it10,,50,200,PGD,0.75,10.0,
0.095,0.01,0.012048192771084338,0.01092896174863388,0.8461538461538461,0.9879518072289156,SVM,0.1,PGD_eps0.75_it25,,50,200,PGD,0.75,25.0,
0.78,0.693069306930693,0.8433734939759037,0.7608695652173914,0.26495726495726496,0.1566265060240964,SVM,0.1,CW_c0.0_it10,,50,200,CW,,10.0,0.0
0.73,0.6306306306306306,0.8433734939759037,0.7216494845360825,0.3504273504273504,0.1566265060240964,SVM,0.1,CW_c0.5_it10,,50,200,CW,,10.0,0.5
0.585,0.0,0.0,0.0,0.0,1.0,RF,0.1,Clean,0.005243600606918335,50,200,,,,
0.58,0.0,0.0,0.0,0.008547008547008548,1.0,RF,0.1,FGSM_eps0.15,,50,200,FGSM,0.15,1.0,
0.405,0.05,0.024096385542168676,0.032520325203252036,0.3247863247863248,0.9759036144578314,RF,0.1,FGSM_eps0.3,,50,200,FGSM,0.3,1.0,
0.57,0.0,0.0,0.0,0.02564102564102564,1.0,RF,0.1,FGSM_eps0.5,,50,200,FGSM,0.5,1.0,
0.585,0.0,0.0,0.0,0.0,1.0,RF,0.1,FGSM_eps0.75,,50,200,FGSM,0.75,1.0,
0.58,0.0,0.0,0.0,0.008547008547008548,1.0,RF,0.1,PGD_eps0.15_it10,,50,200,PGD,0.15,10.0,
0.585,0.0,0.0,0.0,0.0,1.0,RF,0.1,PGD_eps0.15_it25,,50,200,PGD,0.15,25.0,
0.585,0.5,0.012048192771084338,0.023529411764705882,0.008547008547008548,0.9879518072289156,RF,0.1,PGD_eps0.3_it10,,50,200,PGD,0.3,10.0,
0.58,0.3333333333333333,0.012048192771084338,0.023255813953488372,0.017094017094017096,0.9879518072289156,RF,0.1,PGD_eps0.3_it25,,50,200,PGD,0.3,25.0,
0.58,0.3333333333333333,0.012048192771084338,0.023255813953488372,0.017094017094017096,0.9879518072289156,RF,0.1,PGD_eps0.5_it10,,50,200,PGD,0.5,10.0,
0.595,0.75,0.03614457831325301,0.06896551724137931,0.008547008547008548,0.963855421686747,RF,0.1,PGD_eps0.5_it25,,50,200,PGD,0.5,25.0,
0.58,0.0,0.0,0.0,0.008547008547008548,1.0,RF,0.1,PGD_eps0.75_it10,,50,200,PGD,0.75,10.0,
0.535,0.1875,0.03614457831325301,0.06060606060606061,0.1111111111111111,0.963855421686747,RF,0.1,PGD_eps0.75_it25,,50,200,PGD,0.75,25.0,
0.59,1.0,0.012048192771084338,0.023809523809523808,0.0,0.9879518072289156,RF,0.1,CW_c0.0_it10,,50,200,CW,,10.0,0.0
0.595,1.0,0.024096385542168676,0.047058823529411764,0.0,0.9759036144578314,RF,0.1,CW_c0.5_it10,,50,200,CW,,10.0,0.5
0.98,0.9876543209876543,0.963855421686747,0.975609756097561,0.008547008547008548,0.03614457831325301,MLP,0.1,Clean,0.002065225839614868,50,200,,,,
0.305,0.017241379310344827,0.012048192771084338,0.014184397163120567,0.48717948717948717,0.9879518072289156,MLP,0.1,FGSM_eps0.15,,50,200,FGSM,0.15,1.0,
0.08,0.009708737864077669,0.012048192771084338,0.010752688172043012,0.8717948717948718,0.9879518072289156,MLP,0.1,FGSM_eps0.3,,50,200,FGSM,0.3,1.0,
