accuracy,precision,recall,f1,fpr,fnr,model,attack,asr,family,epsilon,iters,confidence
0.44819270554744656,0.34639211238111856,0.23676520287060415,0.28127435467491674,0.37455,0.7632347971293959,LR,FGSM_eps0.15,0.4714015031322811,FGSM,0.15,1,
0.45850974134883005,0.36483579521009607,0.25286762220941095,0.2987037384933308,0.3690833333333333,0.747132377790589,SVM,FGSM_eps0.15,0.4658894137058829,FGSM,0.15,1,
0.496396290218761,0.19371788883699206,0.032980140349482136,0.05636434674775341,0.11508333333333333,0.9670198596505178,RF,FGSM_eps0.15,0.503431456986664,FGSM,0.15,1,
0.26668358974823897,0.08538040236429695,0.06260064012086754,0.07223719676549865,0.5622166666666667,0.9373993598791325,MLP,FGSM_eps0.15,0.7329447068529414,FGSM,0.15,1,
0.10943492017442862,0.10452662673069624,0.12591694332345985,0.11422903516681696,0.9043833333333333,0.8740830566765402,LR,FGSM_eps0.3,0.8102952775536477,FGSM,0.3,1,
0.12006926375529224,0.1175065445026178,0.14277478480408723,0.12891413801459303,0.8989666666666667,0.8572252151959128,SVM,FGSM_eps0.3,0.8044749462843259,FGSM,0.3,1,
0.47669601008132145,0.17348824927383152,0.039182553724429955,0.0639270887389725,0.1565,0.9608174462755701,RF,FGSM_eps0.3,0.5231589349337733,FGSM,0.3,1,
0.10482035846713145,0.055614678899082566,0.0602548555752142,0.05784185567207046,0.8578166666666667,0.9397451444247858,MLP,FGSM_eps0.3,0.8949439271823976,FGSM,0.3,1,
0.04817638686164474,0.02944517106078337,0.03401387591197344,0.03156506258589995,0.93995,0.9659861240880265,LR,FGSM_eps0.5,0.871907382392138,FGSM,0.5,1,
0.10127557727351023,0.08959639597236464,0.10595789515535853,0.09709268434858642,0.90265,0.8940421048446415,SVM,FGSM_eps0.5,0.8233230283854474,FGSM,0.5,1,
0.45839188417359455,0.14809843400447428,0.0394807466751486,0.062342065198625084,0.1904,0.9605192533248514,RF,FGSM_eps0.5,0.5414811927146134,FGSM,0.5,1,
0.03832171382464666,0.028314811995737554,0.03327833330020078,0.030596578447141396,0.95745,0.9667216666997992,MLP,FGSM_eps0.5,0.9616692202387968,FGSM,0.5,1,
0.031204953627734514,0.026299038493751883,0.03121086217521818,0.028545195043681422,0.9688,0.9687891378247818,LR,FGSM_eps0.75,0.8888969474991614,FGSM,0.75,1,
