model,attack,family,accuracy_mean,accuracy_std,asr_mean,asr_std,confidence_mean,confidence_std,epsilon_mean,epsilon_std,f1_mean,f1_std,fnr_mean,fnr_std,fpr_mean,fpr_std,iters_mean,iters_std,precision_mean,precision_std,recall_mean,recall_std
LR,CW_c0.0_it10,CW,0.9010684925015993,0.00481154194536208,0.00420763344310448,0.005598112032458917,0.0,0.0,,,0.9330684997590897,0.0030076755831620824,0.09643888354186714,0.0015057743032489033,0.10695999999999999,0.021652782731094864,10.0,0.0,0.9645929091549993,0.006833475265816502,0.9035611164581328,0.001505774303248862
LR,CW_c0.5_it10,CW,0.9011158757610935,0.005006714620060555,0.0048662607500769605,0.006705622734654625,0.5,0.0,,,0.9331279895216218,0.003069012478229406,0.09604768853426057,0.002056231105024563,0.10802,0.025264243507376185,10.0,0.0,0.9642892732512177,0.00791425275429621,0.9039523114657394,0.0020562311050245498
LR,FGSM_eps0.15,FGSM,0.7866853040820678,0.12501275234769652,0.12933734511597048,0.13528789845531,,,0.15,0.0,0.8502720265167459,0.08866123283974675,0.20049054612064948,0.09743055726722584,0.25461999999999996,0.2474151915303505,1.0,0.0,0.9099876812283627,0.08844071577182788,0.7995094538793505,0.09743055726722581
LR,FGSM_eps0.3,FGSM,0.5948447013670071,0.2804808872602715,0.3317349380463882,0.2887639183267887,,,0.3,0.0,0.6537113174683519,0.2905178545534761,0.4300412928063585,0.28793343708713626,0.325,0.26527661977641376,1.0,0.0,0.7894017817071178,0.2647565774394117,0.5699587071936415,0.28793343708713626
LR,FGSM_eps0.5,FGSM,0.49587528726101066,0.3187380800737266,0.4379160842474354,0.31896994991544103,,,0.5,0.0,0.5297126159671046,0.35554535122073677,0.5424322394361825,0.3514402297720613,0.38073999999999997,0.25382851100693954,1.0,0.0,0.6879011583813559,0.3167019045020936,0.4575677605638175,0.35144022977206124
LR,FGSM_eps0.75,FGSM,0.4219526641237651,0.3238051315479933,0.5167997346537467,0.3177541234767343,,,0.75,0.0,0.4604126887927933,0.37595816961518375,0.5959700704771957,0.3546172478449646,0.52032,0.29486786362708295,1.0,0.0,0.5665769792678841,0.3671813718053784,0.4040299295228042,0.3546172478449647
LR,PGD_eps0.15_it10,PGD,0.7980951929683242,0.1458186086064371,0.12047193726456437,0.15336748748199233,,,0.15,0.0,0.851345240200694,0.1197020137184303,0.20556366233040452,0.15269984990716642,0.19012,0.12388178639331933,10.0,0.0,0.9239947581958662,0.06422901809919077,0.7944363376695954,0.1526998499071664
LR,PGD_eps0.15_it25,PGD,0.7901111137435144,0.16419159230945976,0.12585941386908003,0.17203299865830174,,,0.15,0.0,0.8466460272287335,0.13068590933740284,0.20775559626191437,0.15623637597244874,0.21676,0.19133278077736704,25.0,0.0,0.9137711407737188,0.09012377555215359,0.7922444037380856,0.1562363759724487
LR,PGD_eps0.3_it10,PGD,0.6144329408420005,0.31460245187206787,0.30873036556184696,0.32468477885174946,,,0.3,0.0,0.6768025744057611,0.3247227580246531,0.3776708373435996,0.32226459350736336,0.41100000000000003,0.2936801150912332,10.0,0.0,0.755571809309519,0.3032029259317684,0.6223291626564004,0.32226459350736336
LR,PGD_eps0.3_it25,PGD,0.6220284773389562,0.3159620451037163,0.3010258475680542,0.3252681657197185,,,0.3,0.0,0.6858447461833156,0.3169033953872079,0.36900866217516837,0.3185635315817888,0.40684000000000003,0.3117944964235257,25.0,0.0,0.7657436933461709,0.2863026688667652,0.6309913378248315,0.31856353158178885
LR,PGD_eps0.5_it10,PGD,0.5246464024260229,0.29573368736256755,0.40316994006017676,0.3057372299395479,,,0.5,0.0,0.6042079411781194,0.3167044953284375,0.45123412710733024,0.30677102468775824,0.55304,0.2804257976720402,10.0,0.0,0.6826120210462762,0.3114211454698109,0.5487658728926698,0.30677102468775824
LR,PGD_eps0.5_it25,PGD,0.5072330545618232,0.30094443475942206,0.4191096685540998,0.31024061984207263,,,0.5,0.0,0.5862126662601179,0.317200444211355,0.47243317085286723,0.3104382037613929,0.55826,0.28380861156772536,25.0,0.0,0.6723099178632606,0.31005846185842084,0.5275668291471327,0.3104382037613929
LR,PGD_eps0.75_it10,PGD,0.5004998933876661,0.2928109798114303,0.4271174394086569,0.3028156902298092,,,0.75,0.0,0.5861799216105602,0.3108033196872046,0.4714893352789593,0.2978516186699352,0.58972,0.3021679119297746,10.0,0.0,0.6672190457305583,0.3098518760941542,0.5285106647210407,0.29785161866993515
LR,PGD_eps0.75_it25,PGD,0.46803288398208914,0.2997347805709458,0.45874102679523326,0.3094064980369998,,,0.75,0.0,0.5583078062318065,0.3114115473946947,0.4962339718712161,0.30605378863279986,0.64706,0.3069247676548766,25.0,0.0,0.637950890506982,0.3022927856950633,0.5037660281287838,0.30605378863279975
MLP,CW_c0.0_it10,CW,0.04115236087090426,0.0022232925186027323,0.9580752919993365,0.0023807199935088775,0.0,0.0,,,0.06955844324814085,0.005494983880540939,0.9530193424198206,0.003894131262824571,0.9776199999999999,0.005247570866601053,10.0,0.0,0.13393267284801427,0.009116733461883705,0.0469806575801794,0.0038941312628246044
MLP,CW_c0.5_it10,CW,0.03569854770309646,0.0018018415085684668,0.9637849747684143,0.0015014400958522568,0.5,0.0,,,0.0613096175378197,0.005377032087741211,0.9587196125306591,0.003793838511184967,0.98228,0.0049205690727800915,10.0,0.0,0.11911137222539499,0.009020338813814215,0.04128038746934082,0.0037938385111849966
MLP,FGSM_eps0.15,FGSM,0.09878461939396806,0.08613360659550036,0.8983581700585184,0.08540897158070956,,,0.15,0.0,0.1324400719474261,0.12945247137268026,0.9043683442516066,0.10231711179761697,0.8910600000000001,0.038841060747615994,1.0,0.0,0.2235620714121767,0.16936736078857273,0.09563165574839325,0.10231711179761696
MLP,FGSM_eps0.3,FGSM,0.17413821696794518,0.1446584618917555,0.8203842782344998,0.14688623832288447,,,0.3,0.0,0.25012519501358643,0.1919672500815444,0.8030302089478096,0.17559860121248452,0.8994,0.053754069613379016,1.0,0.0,0.36180061702649546,0.1987887107128345,0.19696979105219037,0.17559860121248452
MLP,FGSM_eps0.5,FGSM,0.2395460683740434,0.19230428223272109,0.754810585420171,0.19255974735743442,,,0.5,0.0,0.34017123970064306,0.2253562871314487,0.7105032754820082,0.246311407751855,0.92134,0.03651134070395114,1.0,0.0,0.44550772398691646,0.18379268482979963,0.28949672451799185,0.246311407751855
MLP,FGSM_eps0.75,FGSM,0.2660570020611718,0.20219914445373668,0.7275936411665759,0.20411920378809806,,,0.75,0.0,0.3710632894882468,0.23902987179875976,0.6782824676332702,0.2593110873611296,0.9132200000000001,0.04910556994883574,1.0,0.0,0.46923219038017755,0.20540096829653817,0.32171753236672973,0.2593110873611297
MLP,PGD_eps0.15_it10,PGD,0.0707384680992205,0.03079888357661171,0.9283422966665877,0.030900150845707453,,,0.15,0.0,0.09536938860049174,0.042742398632463145,0.9354341954112204,0.030097617218201977,0.90938,0.03314591980923147,10.0,0.0,0.18279490914187635,0.07281396442010586,0.0645658045887795,0.03009761721820197
MLP,PGD_eps0.15_it25,PGD,0.07714468478286621,0.027787218578671422,0.9216659954038239,0.02919423414092178,,,0.15,0.0,0.10583229687080602,0.04576467073665993,0.9277841597069141,0.03340832657689974,0.9069800000000001,0.03386852521147026,25.0,0.0,0.1992758354226069,0.07113814257287615,0.07221584029308577,0.0334083265768998
MLP,PGD_eps0.3_it10,PGD,0.050036722026108135,0.01574210301330274,0.9493188656447676,0.016133211857088783,,,0.3,0.0,0.07073173784531676,0.015519422653284409,0.9526157285230836,0.010418353499038873,0.9414200000000001,0.03545619832977024,10.0,0.0,0.1394564594367232,0.03044479538486992,0.04738427147691634,0.010418353499038953
MLP,PGD_eps0.3_it25,PGD,0.04776706389632538,0.011204355090508796,0.9504750171764316,0.011051892614254169,,,0.3,0.0,0.06519804877213513,0.010682480641743583,0.9564655841534975,0.007210258796596688,0.9385999999999999,0.03574730759092215,25.0,0.0,0.12986743036189644,0.020881254807589716,0.043534415846502486,0.00721025879659672
MLP,PGD_eps0.5_it10,PGD,0.045118339690587275,0.006359042620272365,0.9542704162619348,0.0066171235073375825,,,0.5,0.0,0.06662950456246683,0.007881062416993262,0.9553230463535037,0.005406185432960392,0.95346,0.015717760654749814,10.0,0.0,0.13101885376835856,0.014498414421924675,0.04467695364649628,0.005406185432960443
MLP,PGD_eps0.5_it25,PGD,0.04382951503233904,0.0045421556467695225,0.9555687175720818,0.004642036147261817,,,0.5,0.0,0.0641624104102189,0.005241829477092441,0.9570368530534943,0.0036288346798271547,0.9533799999999999,0.015779321911920125,25.0,0.0,0.12668520017577928,0.0094350325284452,0.04296314694650558,0.0036288346798272037
MLP,PGD_eps0.75_it10,PGD,0.04103390272216818,0.0035466694164565365,0.9584354047714942,0.003949494873143726,,,0.75,0.0,0.06437925070555262,0.005100219373291889,0.9567512186034959,0.0036099656848938657,0.9661,0.0163044472460737,10.0,0.0,0.1259178409470159,0.008517931255396433,0.043248781396504045,0.0036099656848939017
MLP,PGD_eps0.75_it25,PGD,0.039939349427847076,0.002937399049315043,0.9595583880215119,0.0033719190586635867,,,0.75,0.0,0.06350078215576647,0.004897648545259608,0.9573286969480581,0.003546294194471798,0.96886,0.01874761318141589,25.0,0.0,0.12410726202378389,0.00749816531199135,0.04267130305194196,0.003546294194471778
RF,CW_c0.0_it10,CW,0.21500153995593352,0.07038559515373868,0.7843777393446895,0.07055258625282443,0.0,0.0,,,0.129841043898039,0.10847953447144684,0.9209413517960818,0.06853200134766575,0.34714,0.0888459228102224,10.0,0.0,0.37452495810770364,0.2498443381875402,0.0790586482039181,0.06853200134766577
RF,CW_c0.5_it10,CW,0.21354213556350535,0.05495914188147523,0.7858229287592693,0.055111921112723124,0.5,0.0,,,0.12923184961983325,0.09335677827892055,0.9214132695830358,0.0605241357590551,0.35178,0.03967577346442031,10.0,0.0,0.3794853569240665,0.19056997893330774,0.07858673041696415,0.06052413575905509
RF,FGSM_eps0.15,FGSM,0.17301049539197794,0.05629116919211625,0.8265251486649767,0.056323202191053294,,,0.15,0.0,0.11098199912745452,0.09516253431233299,0.9301810053090751,0.06134914496931102,0.49462,0.061461345575898316,1.0,0.0,0.2746548352524757,0.20690836883350583,0.06981899469092483,0.061349144969310945
RF,FGSM_eps0.3,FGSM,0.17850221516738132,0.06729909375473891,0.8210049989338767,0.06736985052772586,,,0.3,0.0,0.11548825630516532,0.10728708782872433,0.927001769691701,0.07005165628733726,0.48168,0.09691992571189889,1.0,0.0,0.28335093525573163,0.22602294811258605,0.07299823030829886,0.07005165628733726
RF,FGSM_eps0.5,FGSM,0.24846359781089342,0.14534894362435485,0.7510151863346679,0.14536193668259018,,,0.5,0.0,0.2238493557011456,0.2232795381464679,0.8398397963302182,0.17350099922761317,0.46712,0.08290341971233763,1.0,0.0,0.40392791954408735,0.299574539490611,0.16016020366978168,0.17350099922761322
RF,FGSM_eps0.75,FGSM,0.2559359378331635,0.12440946866842482,0.7435570612902461,0.12444422052144043,,,0.75,0.0,0.2528229058435093,0.18291998676878893,0.8229997826694403,0.14309930236540616,0.48982000000000003,0.07562666196520906,1.0,0.0,0.4736425722269731,0.22425237142462265,0.17700021733055973,0.1430993023654061
