model,n_samples,total_s,per_sample_ms,seed
LR,500,7.700920104980469e-05,0.0001540184020996,42
SVM,500,6.29425048828125e-05,0.0001258850097656,42
RF,500,0.0042319297790527,0.0084638595581054,42
MLP,500,0.0061900615692138,0.0123801231384277,42
LR,500,8.869171142578125e-05,0.0001773834228515,7
SVM,500,6.4849853515625e-05,0.0001296997070312,7
RF,500,0.0041780471801757,0.0083560943603515,7
MLP,500,0.0112984180450439,0.0225968360900878,7
LR,500,8.20159912109375e-05,0.0001640319824218,123
SVM,500,6.461143493652344e-05,0.000129222869873,123
RF,500,0.0041728019714355,0.008345603942871,123
MLP,500,0.0126028060913085,0.0252056121826171,123
LR,500,8.20159912109375e-05,0.0001640319824218,31
SVM,500,6.318092346191406e-05,0.0001263618469238,31
RF,500,0.004263162612915,0.00852632522583,31
MLP,500,0.0097632408142089,0.0195264816284179,31
LR,500,8.177757263183594e-05,0.0001635551452636,99
SVM,500,6.508827209472656e-05,0.0001301765441894,99
RF,500,0.0041956901550292,0.0083913803100585,99
MLP,500,0.0124547481536865,0.024909496307373,99
