accuracy,precision,recall,f1,fpr,fnr,model,sigma,eval_attack,smooth_s_per_sample,n0,n,family,epsilon,iters,confidence,seed
0.915,0.9708029197080292,0.910958904109589,0.939929328621908,0.074074074074074,0.0890410958904109,LR,0.1,Clean,0.000155564546585,50,200,,,,,42
0.77,0.9545454545454546,0.7191780821917808,0.8203125,0.0925925925925925,0.2808219178082192,LR,0.1,FGSM_eps0.15,,50,200,FGSM,0.15,1.0,,42
0.595,0.8571428571428571,0.5342465753424658,0.6582278481012658,0.2407407407407407,0.4657534246575342,LR,0.1,FGSM_eps0.3,,50,200,FGSM,0.3,1.0,,42
0.505,0.7764705882352941,0.4520547945205479,0.5714285714285714,0.3518518518518518,0.547945205479452,LR,0.1,FGSM_eps0.5,,50,200,FGSM,0.5,1.0,,42
0.39,0.6224489795918368,0.4178082191780822,0.5,0.6851851851851852,0.5821917808219178,LR,0.1,FGSM_eps0.75,,50,200,FGSM,0.75,1.0,,42
0.82,0.9508196721311476,0.7945205479452054,0.8656716417910447,0.1111111111111111,0.2054794520547945,LR,0.1,PGD_eps0.15_it10,,50,200,PGD,0.15,10.0,,42
0.82,0.9508196721311476,0.7945205479452054,0.8656716417910447,0.1111111111111111,0.2054794520547945,LR,0.1,PGD_eps0.15_it25,,50,200,PGD,0.15,25.0,,42
0.705,0.8717948717948718,0.6986301369863014,0.7756653992395437,0.2777777777777778,0.3013698630136986,LR,0.1,PGD_eps0.3_it10,,50,200,PGD,0.3,10.0,,42
0.735,0.8780487804878049,0.7397260273972602,0.8029739776951673,0.2777777777777778,0.2602739726027397,LR,0.1,PGD_eps0.3_it25,,50,200,PGD,0.3,25.0,,42
0.53,0.7241379310344828,0.5753424657534246,0.6412213740458015,0.5925925925925926,0.4246575342465753,LR,0.1,PGD_eps0.5_it10,,50,200,PGD,0.5,10.0,,42
0.515,0.7094017094017094,0.5684931506849316,0.6311787072243346,0.6296296296296297,0.4315068493150685,LR,0.1,PGD_eps0.5_it25,,50,200,PGD,0.5,25.0,,42
0.46,0.6637931034482759,0.5273972602739726,0.5877862595419847,0.7222222222222222,0.4726027397260274,LR,0.1,PGD_eps0.75_it10,,50,200,PGD,0.75,10.0,,42
0.385,0.5966386554621849,0.4863013698630137,0.5358490566037736,0.8888888888888888,0.5136986301369864,LR,0.1,PGD_eps0.75_it25,,50,200,PGD,0.75,25.0,,42
0.915,0.9708029197080292,0.910958904109589,0.939929328621908,0.074074074074074,0.0890410958904109,LR,0.1,CW_c0.0_it10,,50,200,CW,,10.0,0.0,42
0.915,0.9708029197080292,0.910958904109589,0.939929328621908,0.074074074074074,0.0890410958904109,LR,0.1,CW_c0.5_it10,,50,200,CW,,10.0,0.5,42
0.92,0.9710144927536232,0.9178082191780822,0.943661971830986,0.074074074074074,0.0821917808219178,SVM,0.1,Clean,0.0001516449451446,50,200,,,,,42
0.61,0.8695652173913043,0.547945205479452,0.6722689075630253,0.2222222222222222,0.4520547945205479,SVM,0.1,FGSM_eps0.15,,50,200,FGSM,0.15,1.0,,42
0.41,0.6590909090909091,0.3972602739726027,0.4957264957264957,0.5555555555555556,0.6027397260273972,SVM,0.1,FGSM_eps0.3,,50,200,FGSM,0.3,1.0,,42
0.27,0.5,0.3219178082191781,0.3916666666666666,0.8703703703703703,0.678082191780822,SVM,0.1,FGSM_eps0.5,,50,200,FGSM,0.5,1.0,,42
0.245,0.4747474747474747,0.3219178082191781,0.3836734693877551,0.9629629629629628,0.678082191780822,SVM,0.1,FGSM_eps0.75,,50,200,FGSM,0.75,1.0,,42
0.79,0.9262295081967212,0.773972602739726,0.8432835820895522,0.1666666666666666,0.2260273972602739,SVM,0.1,PGD_eps0.15_it10,,50,200,PGD,0.15,10.0,,42
0.785,0.9401709401709402,0.7534246575342466,0.8365019011406845,0.1296296296296296,0.2465753424657534,SVM,0.1,PGD_eps0.15_it25,,50,200,PGD,0.15,25.0,,42
0.495,0.6923076923076923,0.5547945205479452,0.6159695817490495,0.6666666666666666,0.4452054794520548,SVM,0.1,PGD_eps0.3_it10,,50,200,PGD,0.3,10.0,,42
0.48,0.6842105263157895,0.5342465753424658,0.6,0.6666666666666666,0.4657534246575342,SVM,0.1,PGD_eps0.3_it25,,50,200,PGD,0.3,25.0,,42
0.39,0.603448275862069,0.4794520547945205,0.5343511450381679,0.8518518518518519,0.5205479452054794,SVM,0.1,PGD_eps0.5_it10,,50,200,PGD,0.5,10.0,,42
0.37,0.5877192982456141,0.4589041095890411,0.5153846153846153,0.8703703703703703,0.541095890410959,SVM,0.1,PGD_eps0.5_it25,,50,200,PGD,0.5,25.0,,42
0.365,0.5811965811965812,0.4657534246575342,0.5171102661596958,0.9074074074074074,0.5342465753424658,SVM,0.1,PGD_eps0.75_it10,,50,200,PGD,0.75,10.0,,42
0.36,0.576271186440678,0.4657534246575342,0.5151515151515151,0.925925925925926,0.5342465753424658,SVM,0.1,PGD_eps0.75_it25,,50,200,PGD,0.75,25.0,,42
0.915,0.9708029197080292,0.910958904109589,0.939929328621908,0.074074074074074,0.0890410958904109,SVM,0.1,CW_c0.0_it10,,50,200,CW,,10.0,0.0,42
0.915,0.9708029197080292,0.910958904109589,0.939929328621908,0.074074074074074,0.0890410958904109,SVM,0.1,CW_c0.5_it10,,50,200,CW,,10.0,0.5,42
0.31,1.0,0.0547945205479452,0.1038961038961039,0.0,0.9452054794520548,RF,0.1,Clean,0.0053225648403167,50,200,,,,,42
0.17,0.1875,0.0410958904109589,0.0674157303370786,0.4814814814814814,0.958904109589041,RF,0.1,FGSM_eps0.15,,50,200,FGSM,0.15,1.0,,42
0.185,0.282051282051282,0.0753424657534246,0.1189189189189189,0.5185185185185185,0.9246575342465754,RF,0.1,FGSM_eps0.3,,50,200,FGSM,0.3,1.0,,42
0.2,0.3409090909090909,0.1027397260273972,0.1578947368421052,0.5370370370370371,0.8972602739726028,RF,0.1,FGSM_eps0.5,,50,200,FGSM,0.5,1.0,,42
0.205,0.3617021276595745,0.1164383561643835,0.1761658031088082,0.5555555555555556,0.8835616438356164,RF,0.1,FGSM_eps0.75,,50,200,FGSM,0.75,1.0,,42
0.21,0.1666666666666666,0.0205479452054794,0.0365853658536585,0.2777777777777778,0.9794520547945206,RF,0.1,PGD_eps0.15_it10,,50,200,PGD,0.15,10.0,,42
0.205,0.1176470588235294,0.0136986301369863,0.0245398773006134,0.2777777777777778,0.9863013698630136,RF,0.1,PGD_eps0.15_it25,,50,200,PGD,0.15,25.0,,42
0.215,0.1333333333333333,0.0136986301369863,0.0248447204968944,0.2407407407407407,0.9863013698630136,RF,0.1,PGD_eps0.3_it10,,50,200,PGD,0.3,10.0,,42
0.215,0.1333333333333333,0.0136986301369863,0.0248447204968944,0.2407407407407407,0.9863013698630136,RF,0.1,PGD_eps0.3_it25,,50,200,PGD,0.3,25.0,,42
0.255,0.2,0.0068493150684931,0.0132450331125827,0.074074074074074,0.9931506849315068,RF,0.1,PGD_eps0.5_it10,,50,200,PGD,0.5,10.0,,42
0.26,0.3333333333333333,0.0136986301369863,0.0263157894736842,0.074074074074074,0.9863013698630136,RF,0.1,PGD_eps0.5_it25,,50,200,PGD,0.5,25.0,,42
0.265,0.4,0.0136986301369863,0.0264900662251655,0.0555555555555555,0.9863013698630136,RF,0.1,PGD_eps0.75_it10,,50,200,PGD,0.75,10.0,,42
0.25,0.25,0.0136986301369863,0.0259740259740259,0.1111111111111111,0.9863013698630136,RF,0.1,PGD_eps0.75_it25,,50,200,PGD,0.75,25.0,,42
0.265,0.0,0.0,0.0,0.0185185185185185,1.0,RF,0.1,CW_c0.0_it10,,50,200,CW,,10.0,0.0,42
0.265,0.3333333333333333,0.0068493150684931,0.0134228187919463,0.037037037037037,0.9931506849315068,RF,0.1,CW_c0.5_it10,,50,200,CW,,10.0,0.5,42
0.96,0.9662162162162162,0.9794520547945206,0.9727891156462584,0.0925925925925925,0.0205479452054794,MLP,0.1,Clean,0.0024353432655334,50,200,,,,,42
0.045,0.1052631578947368,0.0410958904109589,0.0591133004926108,0.9444444444444444,0.958904109589041,MLP,0.1,FGSM_eps0.15,,50,200,FGSM,0.15,1.0,,42
0.03,0.1,0.0410958904109589,0.058252427184466,1.0,0.958904109589041,MLP,0.1,FGSM_eps0.3,,50,200,FGSM,0.3,1.0,,42
0.05,0.15625,0.0684931506849315,0.0952380952380952,1.0,0.9315068493150684,MLP,0.1,FGSM_eps0.5,,50,200,FGSM,0.5,1.0,,42
0.04,0.1290322580645161,0.0547945205479452,0.0769230769230769,1.0,0.9452054794520548,MLP,0.1,FGSM_eps0.75,,50,200,FGSM,0.75,1.0,,42
0.035,0.087719298245614,0.0342465753424657,0.0492610837438423,0.9629629629629628,0.9657534246575342,MLP,0.1,PGD_eps0.15_it10,,50,200,PGD,0.15,10.0,,42
0.035,0.087719298245614,0.0342465753424657,0.0492610837438423,0.9629629629629628,0.9657534246575342,MLP,0.1,PGD_eps0.15_it25,,50,200,PGD,0.15,25.0,,42
0.025,0.0847457627118644,0.0342465753424657,0.048780487804878,1.0,0.9657534246575342,MLP,0.1,PGD_eps0.3_it10,,50,200,PGD,0.3,10.0,,42
0.025,0.0847457627118644,0.0342465753424657,0.048780487804878,1.0,0.9657534246575342,MLP,0.1,PGD_eps0.3_it25,,50,200,PGD,0.3,25.0,,42
0.025,0.0847457627118644,0.0342465753424657,0.048780487804878,1.0,0.9657534246575342,MLP,0.1,PGD_eps0.5_it10,,50,200,PGD,0.5,10.0,,42
0.025,0.0847457627118644,0.0342465753424657,0.048780487804878,1.0,0.9657534246575342,MLP,0.1,PGD_eps0.5_it25,,50,200,PGD,0.5,25.0,,42
0.025,0.0847457627118644,0.0342465753424657,0.048780487804878,1.0,0.9657534246575342,MLP,0.1,PGD_eps0.75_it10,,50,200,PGD,0.75,10.0,,42
0.025,0.0847457627118644,0.0342465753424657,0.048780487804878,1.0,0.9657534246575342,MLP,0.1,PGD_eps0.75_it25,,50,200,PGD,0.75,25.0,,42
0.665,0.7615894039735099,0.7876712328767124,0.7744107744107744,0.6666666666666666,0.2123287671232876,MLP,0.1,CW_c0.0_it10,,50,200,CW,,10.0,0.0,42
0.46,0.6532258064516129,0.5547945205479452,0.6,0.7962962962962963,0.4452054794520548,MLP,0.1,CW_c0.5_it10,,50,200,CW,,10.0,0.5,42
0.915,0.9708029197080292,0.910958904109589,0.939929328621908,0.074074074074074,0.0890410958904109,LR,0.25,Clean,0.0001529920101165,50,200,,,,,42
0.755,0.944954128440367,0.7054794520547946,0.807843137254902,0.1111111111111111,0.2945205479452055,LR,0.25,FGSM_eps0.15,,50,200,FGSM,0.15,1.0,,42
0.595,0.8571428571428571,0.5342465753424658,0.6582278481012658,0.2407407407407407,0.4657534246575342,LR,0.25,FGSM_eps0.3,,50,200,FGSM,0.3,1.0,,42
0.485,0.7415730337078652,0.4520547945205479,0.5617021276595745,0.4259259259259259,0.547945205479452,LR,0.25,FGSM_eps0.5,,50,200,FGSM,0.5,1.0,,42
0.385,0.6161616161616161,0.4178082191780822,0.4979591836734693,0.7037037037037037,0.5821917808219178,LR,0.25,FGSM_eps0.75,,50,200,FGSM,0.75,1.0,,42
0.815,0.950413223140496,0.7876712328767124,0.8614232209737828,0.1111111111111111,0.2123287671232876,LR,0.25,PGD_eps0.15_it10,,50,200,PGD,0.15,10.0,,42
0.825,0.951219512195122,0.8013698630136986,0.8698884758364313,0.1111111111111111,0.1986301369863013,LR,0.25,PGD_eps0.15_it25,,50,200,PGD,0.15,25.0,,42
0.725,0.9026548672566372,0.6986301369863014,0.7876447876447876,0.2037037037037037,0.3013698630136986,LR,0.25,PGD_eps0.3_it10,,50,200,PGD,0.3,10.0,,42
0.725,0.8699186991869918,0.7328767123287672,0.7955390334572491,0.2962962962962963,0.2671232876712329,LR,0.25,PGD_eps0.3_it25,,50,200,PGD,0.3,25.0,,42
0.53,0.7241379310344828,0.5753424657534246,0.6412213740458015,0.5925925925925926,0.4246575342465753,LR,0.25,PGD_eps0.5_it10,,50,200,PGD,0.5,10.0,,42
0.51,0.7068965517241379,0.5616438356164384,0.6259541984732825,0.6296296296296297,0.4383561643835616,LR,0.25,PGD_eps0.5_it25,,50,200,PGD,0.5,25.0,,42
0.47,0.6754385964912281,0.5273972602739726,0.5923076923076923,0.6851851851851852,0.4726027397260274,LR,0.25,PGD_eps0.75_it10,,50,200,PGD,0.75,10.0,,42
