model,eval_attack,family,accuracy_mean,accuracy_std,confidence_mean,confidence_std,epsilon_mean,epsilon_std,f1_mean,f1_std,fnr_mean,fnr_std,fpr_mean,fpr_std,iters_mean,iters_std,n_mean,n_std,n0_mean,n0_std,precision_mean,precision_std,recall_mean,recall_std,sigma_mean,sigma_std,smooth_s_per_sample_mean,smooth_s_per_sample_std
LR,CW_c0.0_it10,CW,0.8989999999999999,0.02054611537840809,0.0,0.0,,,0.9313331653588804,0.01467202319016973,0.09785646195260521,0.03216003740076693,0.11128448091300706,0.04667099232206808,10.0,0.0,200.0,0.0,50.0,0.0,0.9634147092296405,0.013698451394768814,0.9021435380473947,0.032160037400766915,0.2833333333333333,0.1707825127659933,,
LR,CW_c0.5_it10,CW,0.8973333333333334,0.021946905628508706,0.5,0.0,,,0.9301902881469422,0.01555605090254326,0.09913652638260213,0.03328215254920866,0.11398407599852481,0.04924116985494065,10.0,0.0,200.0,0.0,50.0,0.0,0.9624839189920793,0.014895908371398744,0.9008634736173978,0.03328215254920864,0.2833333333333333,0.1707825127659933,,
LR,Clean,,0.9033333333333334,0.02468853599393476,,,,,0.9341706063047924,0.017699666622926758,0.09443594417673586,0.03676190727771341,0.10391400259606456,0.03916050797961281,,,200.0,0.0,50.0,0.0,0.965701093723793,0.012259520533869538,0.9055640558232642,0.03676190727771341,0.2833333333333333,0.1707825127659933,0.00015350238482151333,6.56371350602767e-07
LR,FGSM_eps0.15,FGSM,0.7799999999999999,0.1034580660391998,,,0.15,0.0,0.8458002126264138,0.06829669014860049,0.21131315299645678,0.07141715840944227,0.2642346196297919,0.2819045117935284,1.0,0.0,200.0,0.0,50.0,0.0,0.9141070528463413,0.0763749784886066,0.7886868470035432,0.07141715840944225,0.2833333333333333,0.1707825127659933,,
LR,FGSM_eps0.3,FGSM,0.5693333333333332,0.28282292962878647,,,0.3,0.0,0.6268017681571524,0.28275791650968846,0.460920678694008,0.2760305242971006,0.33681521117458957,0.3279077173254698,1.0,0.0,200.0,0.0,50.0,0.0,0.7751942939654641,0.27336554585432266,0.539079321305992,0.2760305242971006,0.2833333333333333,0.1707825127659933,,
LR,FGSM_eps0.5,FGSM,0.4766666666666667,0.3104183045658291,,,0.5,0.0,0.5116198302912263,0.3354823441483252,0.5616979524400113,0.32200130182019676,0.4011193251877146,0.31872660286552035,1.0,0.0,200.0,0.0,50.0,0.0,0.6680804260077872,0.30990984350687883,0.43830204755998875,0.32200130182019676,0.2833333333333333,0.1707825127659933,,
LR,FGSM_eps0.75,FGSM,0.4266666666666667,0.3092540949415144,,,0.75,0.0,0.46622932360495256,0.343950123226704,0.5941413514226933,0.323761194719518,0.5054953618268373,0.3203094526070552,1.0,0.0,200.0,0.0,50.0,0.0,0.5872757336462265,0.32452236983735905,0.40585864857730675,0.32376119471951803,0.2833333333333333,0.1707825127659933,,
LR,PGD_eps0.15_it10,PGD,0.7876666666666666,0.13137822534666124,,,0.15,0.0,0.8470160700577894,0.09789148758682456,0.21157812825334835,0.12470229836669419,0.21707337875916471,0.17722435605446313,10.0,0.0,200.0,0.0,50.0,0.0,0.9200609946580315,0.06256078486391667,0.7884218717466516,0.12470229836669414,0.2833333333333333,0.1707825127659933,,
LR,PGD_eps0.15_it25,PGD,0.7899999999999999,0.12969745013464443,,,0.15,0.0,0.8490097261634161,0.0961967637079335,0.20944570065780194,0.1217706769758595,0.21462794768546864,0.18062537903972053,25.0,0.0,200.0,0.0,50.0,0.0,0.9214694892201091,0.06304216124096881,0.790554299342198,0.12177067697585957,0.2833333333333333,0.1707825127659933,,
LR,PGD_eps0.3_it10,PGD,0.6163333333333333,0.30313520478649847,,,0.3,0.0,0.6796003702769504,0.2986678240543534,0.3797135416688339,0.29827871316734417,0.3960944441620612,0.3328002964675877,10.0,0.0,200.0,0.0,50.0,0.0,0.7687640882858576,0.2763740984657453,0.6202864583311659,0.2982787131673442,0.2833333333333333,0.1707825127659933,,
LR,PGD_eps0.3_it25,PGD,0.61,0.3002677376704236,,,0.3,0.0,0.6754401690425799,0.2891842752663297,0.38681537541427297,0.2947406863483264,0.40004408635947286,0.33088667721633086,25.0,0.0,200.0,0.0,50.0,0.0,0.7720903514010925,0.25713035157218067,0.6131846245857271,0.2947406863483264,0.2833333333333333,0.1707825127659933,,
LR,PGD_eps0.5_it10,PGD,0.5233333333333333,0.28980699653061387,,,0.5,0.0,0.599654687909832,0.29979807797301017,0.46068050206577527,0.2889149330728251,0.5214880604341579,0.3109035650679363,10.0,0.0,200.0,0.0,50.0,0.0,0.6883804025336157,0.3034206681850096,0.5393194979342246,0.2889149330728252,0.2833333333333333,0.1707825127659933,,
LR,PGD_eps0.5_it25,PGD,0.5063333333333333,0.2887068871133258,,,0.5,0.0,0.5828329129170964,0.2976212328196797,0.47947645271391887,0.2891857537359431,0.5332876218296289,0.29914920471380235,25.0,0.0,200.0,0.0,50.0,0.0,0.6774772493252484,0.2987246765479641,0.5205235472860811,0.2891857537359431,0.2833333333333333,0.1707825127659933,,
LR,PGD_eps0.75_it10,PGD,0.4936666666666667,0.28479608410898055,,,0.75,0.0,0.575536012030959,0.29412008944123597,0.4848117984199334,0.28327912363605445,0.570349785210104,0.3025056093485325,10.0,0.0,200.0,0.0,50.0,0.0,0.6643975500522463,0.29574773192300347,0.5151882015800665,0.28327912363605456,0.2833333333333333,0.1707825127659933,,
LR,PGD_eps0.75_it25,PGD,0.4563333333333333,0.2867892871745652,,,0.75,0.0,0.5472993675893607,0.2928359912641403,0.5060268314670546,0.28738739651219075,0.6602707213669469,0.3097975634752324,25.0,0.0,200.0,0.0,50.0,0.0,0.6279805840702214,0.28637639893500133,0.4939731685329453,0.28738739651219075,0.2833333333333333,0.1707825127659933,,
MLP,CW_c0.0_it10,CW,0.7133333333333333,0.052292674530222794,0.0,0.0,,,0.8207022702286159,0.04079011183707069,0.1286425562145869,0.07352546416149082,0.7951929133208929,0.07300411116289988,10.0,0.0,200.0,0.0,50.0,0.0,0.7779824129325454,0.028060476797322504,0.871357443785413,0.07352546416149082,0.2833333333333333,0.1707825127659933,,
MLP,CW_c0.5_it10,CW,0.6643333333333333,0.096081562574027,0.5,0.0,,,0.7831351786583388,0.07842060346961438,0.18258282428912467,0.12071577706740352,0.8314353886409581,0.07180908756000834,10.0,0.0,200.0,0.0,50.0,0.0,0.7557672398654944,0.04666470333906808,0.8174171757108754,0.12071577706740354,0.2833333333333333,0.1707825127659933,,
MLP,Clean,,0.897,0.0591547607068587,,,,,0.9344056572558858,0.03627665292271801,0.04796545605361159,0.03715392274914951,0.27721707659278333,0.2329417445566447,,,200.0,0.0,50.0,0.0,0.9205742484633451,0.06510317723856475,0.9520345439463883,0.037153922749149526,0.2833333333333333,0.1707825127659933,0.0023367029031117334,0.00018176459440815565
MLP,FGSM_eps0.15,FGSM,0.228,0.20192643639277577,,,0.15,0.0,0.30314057454359683,0.26075029338343114,0.7355253131293874,0.26255165054675883,0.90004637691045,0.03492602275152738,1.0,0.0,200.0,0.0,50.0,0.0,0.384590872802014,0.2498791976885604,0.2644746868706126,0.2625516505467588,0.2833333333333333,0.1707825127659933,,
MLP,FGSM_eps0.3,FGSM,0.153,0.1525708266440775,,,0.3,0.0,0.2212136703635055,0.20225042733266932,0.8222174763237472,0.18926899864837948,0.9360516236215549,0.046756893028187446,1.0,0.0,200.0,0.0,50.0,0.0,0.31549405527846186,0.20974820273430914,0.17778252367625275,0.18926899864837948,0.2833333333333333,0.1707825127659933,,
MLP,FGSM_eps0.5,FGSM,0.201,0.17466498545174172,,,0.5,0.0,0.29277705859136904,0.2166221397831528,0.7556683318625871,0.21590637826912726,0.9484105343046653,0.04073315358419987,1.0,0.0,200.0,0.0,50.0,0.0,0.3910948531909982,0.20465740391635184,0.24433166813741286,0.21590637826912723,0.2833333333333333,0.1707825127659933,,
MLP,FGSM_eps0.75,FGSM,0.247,0.1964397399422312,,,0.75,0.0,0.35185853502655856,0.23584340638785142,0.6950177137820172,0.24502006563334897,0.954480136811675,0.03681785336781344,1.0,0.0,200.0,0.0,50.0,0.0,0.4411527736965811,0.22143117467101192,0.30498228621798273,0.24502006563334897,0.2833333333333333,0.1707825127659933,,
MLP,PGD_eps0.15_it10,PGD,0.296,0.2212803651479272,,,0.15,0.0,0.39994135295726335,0.264121467575031,0.6364188530216192,0.2810954457618565,0.9288119746159386,0.04965249297920187,10.0,0.0,200.0,0.0,50.0,0.0,0.4729522071676349,0.23055393963458495,0.3635811469783808,0.2810954457618565,0.2833333333333333,0.1707825127659933,,
MLP,PGD_eps0.15_it25,PGD,0.28833333333333333,0.22518775235239552,,,0.15,0.0,0.385916664589999,0.26945501340429456,0.6494935501393772,0.28786722677001525,0.9206457862142357,0.054526542459658885,25.0,0.0,200.0,0.0,50.0,0.0,0.4609248879535845,0.23349816321171657,0.35050644986062285,0.28786722677001525,0.2833333333333333,0.1707825127659933,,
MLP,PGD_eps0.3_it10,PGD,0.15833333333333333,0.15307172299596156,,,0.3,0.0,0.23667879649082257,0.2044587251103907,0.8057808304641351,0.19249605826394853,0.9573086366734196,0.04068391991274415,10.0,0.0,200.0,0.0,50.0,0.0,0.3243394885765258,0.2115036820158654,0.19421916953586485,0.1924960582639485,0.2833333333333333,0.1707825127659933,,
MLP,PGD_eps0.3_it25,PGD,0.15899999999999997,0.1502997005985042,,,0.3,0.0,0.23631969126815303,0.20598257822455723,0.8057217455528133,0.19309215284236478,0.9543111791597035,0.04235445508384151,25.0,0.0,200.0,0.0,50.0,0.0,0.32281222693037254,0.21662483277556824,0.19427825444718655,0.19309215284236475,0.2833333333333333,0.1707825127659933,,
MLP,PGD_eps0.5_it10,PGD,0.10533333333333333,0.09858764531889282,,,0.5,0.0,0.16662861859760458,0.14598513533933988,0.8729231740039143,0.12346246339771492,0.9646361008156495,0.03222689721352299,10.0,0.0,200.0,0.0,50.0,0.0,0.2538162660144575,0.1742498471040539,0.12707682599608566,0.12346246339771497,0.2833333333333333,0.1707825127659933,,
MLP,PGD_eps0.5_it25,PGD,0.10566666666666666,0.09634140681278568,,,0.5,0.0,0.16600400209856173,0.14462062067893294,0.8736596223026106,0.12152342778605123,0.9605413597478053,0.03591859748243228,25.0,0.0,200.0,0.0,50.0,0.0,0.25384289506750846,0.17458778913340284,0.12634037769738937,0.12152342778605126,0.2833333333333333,0.1707825127659933,,
MLP,PGD_eps0.75_it10,PGD,0.09400000000000001,0.09405925184235125,,,0.75,0.0,0.15261168207329306,0.14098090736891158,0.8837988378061635,0.12056261645374011,0.9769950114987599,0.022858786730019356,10.0,0.0,200.0,0.0,50.0,0.0,0.2352281719911577,0.16536524394619795,0.11620116219383635,0.12056261645374011,0.2833333333333333,0.1707825127659933,,
MLP,PGD_eps0.75_it25,PGD,0.089,0.08996427862530454,,,0.75,0.0,0.14420439138875396,0.13773060232915296,0.8908657656349883,0.11574848678167413,0.9757371498635397,0.023132363764623513,25.0,0.0,200.0,0.0,50.0,0.0,0.22435058338227126,0.16679222579038522,0.10913423436501159,0.1157484867816742,0.2833333333333333,0.1707825127659933,,
