accuracy,precision,recall,f1,fpr,fnr,model,attack,asr,elapsed_s,n_samples,n_eligible,median_queries_success,query_budget_exhausted,numerical_stagnation,seed
0.02,0.0,0.0,0.0,0.925925925925926,1.0,RF,HopSkipJump_whitebox,0.98,45.93013334274292,200,200,562.0,0,0,42
0.08,0.1935483870967742,0.0821917808219178,0.1153846153846153,0.925925925925926,0.9178082191780822,SVM,HopSkipJump_whitebox,1.0,1.4481887817382812,200,184,556.0,0,0,42
0.085,0.2063492063492063,0.0890410958904109,0.124401913875598,0.925925925925926,0.910958904109589,LR,HopSkipJump_whitebox,1.0,1.4393725395202637,200,183,556.0,0,0,42
0.01,0.0,0.0,0.0,0.95,1.0,RF,HopSkipJump_whitebox,0.9949748743718592,47.543174028396606,200,199,561.0,0,0,7
0.075,0.2641509433962264,0.0875,0.1314553990610328,0.975,0.9125,SVM,HopSkipJump_whitebox,1.0,1.5363445281982422,200,185,557.0,0,0,7
0.08,0.2777777777777778,0.09375,0.1401869158878504,0.975,0.90625,LR,HopSkipJump_whitebox,1.0,1.5080101490020752,200,184,556.0,0,0,7
0.005,0.0,0.0,0.0,0.9807692307692308,1.0,RF,HopSkipJump_whitebox,0.995,47.2107846736908,200,200,561.0,0,0,123
0.07,0.1935483870967742,0.081081081081081,0.1142857142857142,0.9615384615384616,0.918918918918919,SVM,HopSkipJump_whitebox,1.0,1.5253889560699463,200,186,557.0,0,0,123
0.07,0.1935483870967742,0.081081081081081,0.1142857142857142,0.9615384615384616,0.918918918918919,LR,HopSkipJump_whitebox,1.0,1.5439400672912598,200,186,557.0,0,0,123
0.0,0.0,0.0,0.0,1.0,1.0,RF,HopSkipJump_whitebox,1.0,47.91940975189209,200,200,562.0,0,0,31
0.115,0.2394366197183098,0.1214285714285714,0.1611374407582938,0.9,0.8785714285714286,SVM,HopSkipJump_whitebox,1.0,1.4935634136199951,200,177,557.0,0,0,31
0.115,0.2394366197183098,0.1214285714285714,0.1611374407582938,0.9,0.8785714285714286,LR,HopSkipJump_whitebox,1.0,1.5145432949066162,200,177,557.0,0,0,31
0.0,0.0,0.0,0.0,1.0,1.0,RF,HopSkipJump_whitebox,1.0,47.78582310676575,200,200,562.0,0,0,99
0.1,0.2741935483870967,0.1118421052631579,0.1588785046728972,0.9375,0.8881578947368421,SVM,HopSkipJump_whitebox,1.0,1.4586200714111328,200,180,556.0,0,0,99
0.105,0.2786885245901639,0.1118421052631579,0.1596244131455399,0.9166666666666666,0.8881578947368421,LR,HopSkipJump_whitebox,1.0,1.5106251239776611,200,179,556.0,0,0,99
