accuracy,precision,recall,f1,fpr,fnr,model,attack,asr,family,epsilon,iters,confidence
0.859413869080054,0.9468081488283508,0.8643236362507374,0.9036875933259755,0.1564,0.13567636374926262,LR,FGSM_eps0.15,0.07157241346632234,FGSM,0.15,1,
0.8567367149186192,0.9492410193007762,0.8581452389083797,0.9013974269082133,0.1478,0.14185476109162035,SVM,FGSM_eps0.15,0.06891895093463479,FGSM,0.15,1,
0.12620531166338933,0.19917600102999872,0.04803005371169549,0.07739643786271763,0.622,0.9519699462883046,RF,FGSM_eps0.15,0.8734156222606553,FGSM,0.15,1,
0.08220995522281978,0.23622556148004525,0.09078207954298488,0.13115930652432323,0.9454,0.9092179204570151,MLP,FGSM_eps0.15,0.9175531284797082,FGSM,0.15,1,
0.8143997725603545,0.923721447693217,0.8248936632618212,0.8715147936757857,0.2194,0.17510633673817877,LR,FGSM_eps0.3,0.11871875666327086,FGSM,0.3,1,
0.7944040370537089,0.916817231728487,0.8034710795119376,0.8564100867032894,0.2348,0.19652892048806234,SVM,FGSM_eps0.3,0.13598995474898717,FGSM,0.3,1,
0.12449951432159018,0.20480278710961802,0.051103728771461396,0.08179694876509466,0.6391,0.9488962712285386,RF,FGSM_eps0.3,0.8751451112322016,FGSM,0.3,1,
0.08784856310265583,0.2542571473207311,0.10105871029836382,0.144631312345871,0.9547,0.8989412897016362,MLP,FGSM_eps0.3,0.9119382122296192,FGSM,0.3,1,
0.7971759577341325,0.9204836415362732,0.8036263156260672,0.858094780288087,0.2236,0.19637368437393274,LR,FGSM_eps0.5,0.13734037764457818,FGSM,0.5,1,
0.6198204174465162,0.7605093488072211,0.7324350336862367,0.7462082272375018,0.7429,0.26756496631376325,SVM,FGSM_eps0.5,0.31561989149233577,FGSM,0.5,1,
0.1493520339264138,0.2870477068448951,0.07733863205936228,0.1218480201531049,0.6187,0.9226613679406377,RF,FGSM_eps0.5,0.8503162832571253,FGSM,0.5,1,
0.08583477457414296,0.261250467989517,0.10832376043962867,0.15314722149065052,0.9866,0.8916762395603713,MLP,FGSM_eps0.5,0.9137861593499017,FGSM,0.5,1,
0.7376862754388874,0.8336543014996054,0.8198329659411966,0.8266858681359965,0.5269,0.18016703405880344,LR,FGSM_eps0.75,0.2146224738799782,FGSM,0.75,1,
0.6037574924779076,0.744876012145749,0.7311620975503741,0.7379553466509988,0.8066,0.26883790244962585,SVM,FGSM_eps0.75,0.33234618209386624,FGSM,0.75,1,
0.1408230472174181,0.2720836142953473,0.07516532646154801,0.11779015739411779,0.6477,0.924834673538452,RF,FGSM_eps0.75,0.858726811817385,FGSM,0.75,1,
0.12141960245445284,0.3359800820940717,0.1550187835698097,0.21215211387295518,0.9868,0.8449812164301903,MLP,FGSM_eps0.75,0.8781539482100974,FGSM,0.75,1,
