model,attack,n,n_detected_clean,asr,fnr_under_attack,family,epsilon,iters,traffic_family,confidence,seed
LR,FGSM_eps0.15,4053,4050,0.5079012345679013,0.5082654823587466,FGSM,0.15,1,backdoor,,42
LR,FGSM_eps0.15,4004,2956,0.0054127198917456,0.2597402597402597,FGSM,0.15,1,ddos,,42
LR,FGSM_eps0.15,4117,3608,0.0,0.1229050279329608,FGSM,0.15,1,dos,,42
LR,FGSM_eps0.15,3900,3740,0.0005347593582887,0.0415384615384615,FGSM,0.15,1,injection,,42
LR,FGSM_eps0.15,209,112,0.0178571428571428,0.4736842105263157,FGSM,0.15,1,mitm,,42
LR,FGSM_eps0.15,10000,0,,,FGSM,0.15,1,normal,,42
LR,FGSM_eps0.15,3980,3935,0.0,0.0113065326633165,FGSM,0.15,1,password,,42
LR,FGSM_eps0.15,3903,3336,0.6025179856115108,0.6602613374327441,FGSM,0.15,1,ransomware,,42
LR,FGSM_eps0.15,4041,3649,0.1030419292956974,0.1895570403365503,FGSM,0.15,1,scanning,,42
LR,FGSM_eps0.15,4002,3722,0.0037614185921547,0.0734632683658171,FGSM,0.15,1,xss,,42
SVM,FGSM_eps0.15,4053,4053,0.993091537132988,0.993091537132988,FGSM,0.15,1,backdoor,,42
SVM,FGSM_eps0.15,4004,2956,0.0081190798376184,0.0529470529470529,FGSM,0.15,1,ddos,,42
SVM,FGSM_eps0.15,4117,3609,0.0,0.1187758076269128,FGSM,0.15,1,dos,,42
SVM,FGSM_eps0.15,3900,3740,0.0045454545454545,0.0428205128205128,FGSM,0.15,1,injection,,42
SVM,FGSM_eps0.15,209,113,0.0442477876106194,0.4784688995215311,FGSM,0.15,1,mitm,,42
SVM,FGSM_eps0.15,10000,0,,,FGSM,0.15,1,normal,,42
SVM,FGSM_eps0.15,3980,3936,0.1171239837398374,0.1268844221105527,FGSM,0.15,1,password,,42
SVM,FGSM_eps0.15,3903,3328,0.6595552884615384,0.7097104791186267,FGSM,0.15,1,ransomware,,42
SVM,FGSM_eps0.15,4041,3653,0.6901177114700247,0.7097253155159614,FGSM,0.15,1,scanning,,42
SVM,FGSM_eps0.15,4002,3719,0.0416778703952675,0.1076961519240379,FGSM,0.15,1,xss,,42
RF,FGSM_eps0.15,4053,4053,0.999013076733284,0.999013076733284,FGSM,0.15,1,backdoor,,42
RF,FGSM_eps0.15,4004,3988,0.7484954864593781,0.7457542457542458,FGSM,0.15,1,ddos,,42
RF,FGSM_eps0.15,4117,4109,0.989048430275006,0.988826815642458,FGSM,0.15,1,dos,,42
RF,FGSM_eps0.15,3900,3895,0.9430038510911424,0.942051282051282,FGSM,0.15,1,injection,,42
RF,FGSM_eps0.15,209,200,0.875,0.8660287081339713,FGSM,0.15,1,mitm,,42
RF,FGSM_eps0.15,10000,0,,,FGSM,0.15,1,normal,,42
