model,max_iter,max_eval,approx_queries,n_samples,n_eligible,asr,adv_accuracy,mean_l2,median_queries_success,query_budget_exhausted,numerical_stagnation,elapsed_s,seed
LR,5,100,500,200,181,1.0,0.095,0.5572666525840759,227.0,0,0,0.941120147705078,42
LR,10,200,2000,200,181,1.0,0.095,0.4889109134674072,556.0,0,0,1.95429801940918,42
LR,20,500,10000,200,181,1.0,0.095,0.453738808631897,1436.0,0,0,3.536367654800415,42
LR,40,1000,40000,200,181,1.0,0.095,0.4308578372001648,3823.0,0,0,7.633371829986572,42
SVM,5,100,500,200,182,1.0,0.09,0.3521297574043274,228.0,0,0,1.2145636081695557,42
SVM,10,200,2000,200,182,1.0,0.09,0.3110986948013305,557.0,0,0,2.130314350128174,42
SVM,20,500,10000,200,182,1.0,0.09,0.2891767621040344,1437.0,0,0,4.175494909286499,42
SVM,40,1000,40000,200,182,1.0,0.09,0.2750818133354187,3824.0,0,0,7.903112649917602,42
RF,5,100,500,200,199,0.9949748743718592,0.01,1.1665372848510742,232.0,0,0,36.85600781440735,42
RF,10,200,2000,200,199,0.9949748743718592,0.01,0.6159563660621643,564.0,0,0,65.17672491073608,42
RF,20,500,10000,200,199,0.9949748743718592,0.01,0.3249444663524627,1450.0,0,0,112.52500605583192,42
RF,40,1000,40000,200,199,0.9949748743718592,0.01,0.1923241168260574,3848.5,0,0,226.65320539474487,42
LR,5,100,500,200,180,1.0,0.1,0.342242419719696,228.0,0,0,1.1887173652648926,7
LR,10,200,2000,200,180,1.0,0.1,0.3064635992050171,557.0,0,0,2.08243465423584,7
LR,20,500,10000,200,180,1.0,0.1,0.2874162793159485,1437.0,0,0,3.8739514350891113,7
LR,40,1000,40000,200,180,1.0,0.1,0.2752150595188141,3824.0,0,0,7.559906244277954,7
SVM,5,100,500,200,181,1.0,0.095,0.1994749456644058,227.0,0,0,1.1774771213531494,7
SVM,10,200,2000,200,181,1.0,0.095,0.1818185001611709,556.0,0,0,2.0703699588775635,7
SVM,20,500,10000,200,181,1.0,0.095,0.1731980890035629,1436.0,0,0,3.909454584121704,7
SVM,40,1000,40000,200,181,1.0,0.095,0.1673776805400848,3823.0,0,0,6.377543926239014,7
RF,5,100,500,200,200,0.985,0.015,1.3660337924957275,231.0,0,0,30.59243130683899,7
RF,10,200,2000,200,200,0.985,0.015,0.8307666778564453,563.0,0,0,54.47904849052429,7
RF,20,500,10000,200,200,0.985,0.015,0.5845726728439331,1451.0,0,0,115.5348310470581,7
RF,40,1000,40000,200,200,0.985,0.015,0.3676760792732239,3851.0,0,0,236.52308464050293,7
LR,5,100,500,200,184,1.0,0.08,0.3378527164459228,228.0,0,0,1.2005820274353027,123
LR,10,200,2000,200,184,1.0,0.08,0.2983194887638092,557.0,0,0,2.097301721572876,123
LR,20,500,10000,200,184,1.0,0.08,0.2775207459926605,1437.0,0,0,3.916445255279541,123
LR,40,1000,40000,200,184,1.0,0.08,0.2643782794475555,3824.0,0,0,7.523301362991333,123
SVM,5,100,500,200,184,1.0,0.08,0.2966011464595794,227.0,0,0,1.1641123294830322,123
SVM,10,200,2000,200,184,1.0,0.08,0.261905163526535,556.0,0,0,2.062889575958252,123
SVM,20,500,10000,200,184,1.0,0.08,0.2448646426200866,1436.0,0,0,3.86052131652832,123
SVM,40,1000,40000,200,184,1.0,0.08,0.2335434705018997,3823.0,0,0,7.526524543762207,123
RF,5,100,500,200,200,0.995,0.005,0.8913921117782593,231.0,0,0,36.27715849876404,123
RF,10,200,2000,200,200,0.995,0.005,0.4119871258735657,563.0,0,0,64.31900024414062,123
RF,20,500,10000,200,200,0.995,0.005,0.2500349879264831,1450.0,0,0,120.2974293231964,123
RF,40,1000,40000,200,200,0.995,0.005,0.102042019367218,3848.0,0,0,202.2350857257843,123
LR,5,100,500,200,187,1.0,0.065,0.695216953754425,228.0,0,0,1.1859233379364014,31
LR,10,200,2000,200,187,1.0,0.065,0.608653724193573,557.0,0,0,2.0180468559265137,31
LR,20,500,10000,200,187,1.0,0.065,0.5645164251327515,1437.0,0,0,3.9104292392730713,31
LR,40,1000,40000,200,187,1.0,0.065,0.5361771583557129,3824.0,0,0,7.915220737457275,31
SVM,5,100,500,200,187,1.0,0.065,0.4667298793792724,228.0,0,0,1.2707469463348389,31
SVM,10,200,2000,200,187,1.0,0.065,0.4088386297225952,557.0,0,0,2.209458827972412,31
SVM,20,500,10000,200,187,1.0,0.065,0.3809599280357361,1437.0,0,0,4.239158868789673,31
SVM,40,1000,40000,200,187,1.0,0.065,0.3620971739292145,3824.0,0,0,7.917648077011108,31
RF,5,100,500,200,200,0.995,0.005,0.8157423138618469,231.0,0,0,33.863945960998535,31
RF,10,200,2000,200,200,0.995,0.005,0.4863594472408294,564.0,0,0,62.40246486663818,31
