,,,accuracy,accuracy,precision,precision,recall,recall,f1,f1,fpr,fpr,fnr,fnr,applicable,applicable,asr,asr,iters,iters,confidence,confidence,n_train,n_train,n_categorical_selected,n_categorical_selected
,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
n_features,epsilon,resampled,,,,,,,,,,,,,,,,,,,,,,,,
15.0,0.15,,0.4449165659772402,0.3564725471615442,0.56543066716955,0.3589248549575434,0.4185238080453703,0.3807195667396906,0.4633918027106901,0.38487806827064086,0.47007499999999997,0.3212371026890695,0.5814761919546296,0.3807195667396906,1.0,0.0,0.5139417343852417,0.3945334989838661,12.0,9.983036459372094,,,,,,
15.0,0.3,,0.3690105585696573,0.3080115687597336,0.5131781622943874,0.3376530303260978,0.34287000527802786,0.3325761615320175,0.3939357805841553,0.34510694404269476,0.5467933333333334,0.30619962463120975,0.6571299947219721,0.3325761615320174,1.0,0.0,0.5926856041760445,0.33944046977966313,12.0,9.983036459372094,,,,,,
15.0,0.5,,0.33661225489034724,0.2737633637964535,0.5076396093744678,0.31085702007226085,0.31802498266530055,0.3074796780241538,0.3686936731294436,0.314834367150755,0.60352,0.30493479425241515,0.6819750173346993,0.30747967802415377,1.0,0.0,0.6275008489500659,0.2987949100817133,12.0,9.983036459372094,,,,,,
15.0,0.75,,0.31627417533385455,0.2600245277724693,0.48369537165928433,0.3003888638522089,0.30545137487451746,0.29427286193781427,0.35477003636102966,0.3041894763945702,0.6488666666666667,0.30054567472993193,0.6945486251254825,0.2942728619378143,1.0,0.0,0.6485220371642698,0.2825915708514061,12.0,9.983036459372094,,,,,,
15.0,,,0.6538009271324441,0.3820350543823027,0.7322771915239958,0.36007064557351537,0.6320779906237387,0.4092129324593925,0.6617922756167484,0.405340744765163,0.27623166666666665,0.33595169471758257,0.3679220093762613,0.40921293245939255,1.0,0.0,0.2958476470263056,0.4158747306455814,10.0,0.0,0.25,0.25318484177091666,,,,
,0.15,False,0.5104231325072851,0.3233648960148309,0.6333444854448993,0.3025960492190232,0.4919065064629969,0.388196641713904,0.5245923451406876,0.3724754877729354,0.42993666666666663,0.24696765379822294,0.5080934935370031,0.388196641713904,1.0,0.0,0.4537559130359244,0.35391083559008374,12.0,9.983036459372094,,,168834.0,0.0,2.0,0.0
,0.15,True,0.44314759095611517,0.3666640971742633,0.5541605970970889,0.3677365037108051,0.4084215591915303,0.394418331993144,0.4503050332704756,0.39555731425576635,0.4450033333333333,0.31802864595774627,0.5915784408084697,0.394418331993144,1.0,0.0,0.5134532919519533,0.40604245195124006,12.0,9.983036459372094,,,257668.0,0.0,2.0,0.0
,0.3,False,0.4334770625537997,0.29914187902079853,0.5622414459845616,0.32167301155618483,0.4194888592215426,0.36852432564590026,0.4526580903231906,0.35853730224484615,0.5214683333333333,0.2527961599228742,0.5805111407784573,0.3685243256459003,1.0,0.0,0.5333049033776367,0.3224843606398278,12.0,9.983036459372094,,,168834.0,0.0,2.0,0.0
,0.3,True,0.36843603654828744,0.3137820463578727,0.5107625681449055,0.34322875178372614,0.33036211410889293,0.3381072642031007,0.38093233122760023,0.35421121524843335,0.5089316666666667,0.31853899183492285,0.6696378858911071,0.3381072642031006,1.0,0.0,0.5917707124073065,0.3467265423950166,12.0,9.983036459372094,,,257668.0,0.0,2.0,0.0
,0.5,False,0.40085566269437006,0.27503747515759575,0.5432247441780002,0.3219614765284382,0.3867298995104888,0.34322613688352627,0.42487146454478325,0.34184771411917175,0.5536466666666667,0.2617049635654667,0.6132701004895112,0.3432261368835263,1.0,0.0,0.5671815647531726,0.29396080915326467,12.0,9.983036459372094,,,168834.0,0.0,2.0,0.0
,0.5,True,0.32003522155622416,0.2539613598810615,0.501630902095289,0.31287054716646895,0.2832101793494572,0.27965082729920976,0.34338946150229877,0.29592594014179036,0.561355,0.30101160539877164,0.7167898206505429,0.2796508272992097,1.0,0.0,0.6427199570391781,0.2807643482035586,12.0,9.983036459372094,,,257668.0,0.0,2.0,0.0
,0.75,False,0.3724655879077921,0.25555424148410777,0.5210343354267685,0.3162192207797699,0.36051517691742474,0.3199442421944075,0.4031093667338951,0.3235006451032158,0.5890433333333333,0.2611010521739192,0.6394848230825753,0.3199442421944075,1.0,0.0,0.5964640242602288,0.2717977811773973,12.0,9.983036459372094,,,168834.0,0.0,2.0,0.0
,0.75,True,0.29263664147456697,0.23078712593588813,0.4809257679497088,0.2945928842414826,0.26069990789323894,0.25874034918958283,0.31995249677879045,0.27278427484535134,0.6044983333333334,0.2935591116471663,0.7393000921067611,0.2587403491895828,1.0,0.0,0.6713027237477,0.25414777313487785,12.0,9.983036459372094,,,257668.0,0.0,2.0,0.0
,,False,0.673684917118782,0.3519120440818886,0.7618642398747554,0.32912031586609447,0.6648400550570751,0.38689532744098193,0.6919550690947508,0.37102937215657356,0.29782666666666663,0.29034002150994526,0.33515994494292484,0.38689532744098193,1.0,0.0,0.2841530637225868,0.3767955406025562,10.0,0.0,0.25,0.25318484177091666,168834.0,0.0,2.0,0.0
,,True,0.6521409336081562,0.37953897593072433,0.7283919908266946,0.3614698767073975,0.6269862460802881,0.40971000259687185,0.657010348713509,0.4085428547353189,0.26683833333333334,0.3350407418137998,0.37301375391971187,0.4097100025968719,1.0,0.0,0.2972604578802309,0.41343589304411643,10.0,0.0,0.25,0.25318484177091666,257668.0,0.0,2.0,0.0
