accuracy,precision,recall,f1,fpr,fnr,model,config,search_budget,best_params,cv_f1_macro,fit_s,seed
0.9039778246345566,0.9681119904236216,0.903939892576609,0.934926063291749,0.0959,0.0960601074233909,LR,tuned,12,"{'class_weight': None, 'C': 0.01}",0.9044194702764476,2.636232376098633,42
0.9037882915965788,0.9680723692962618,0.9037225620168275,0.9347913354850104,0.096,0.0962774379831724,LR,as_submitted,0,{'max_iter': 500},,0.4302759170532226,42
0.9058731550143334,0.9709139426284188,0.9037225620168275,0.9361141037804114,0.0872,0.0962774379831724,SVM,tuned,12,"{'class_weight': None, 'C': 0.1}",0.9081821422295734,8.489432096481323,42
0.9058494633845864,0.9709129724140232,0.9036915147940016,0.9360969962050556,0.0872,0.0963084852059983,SVM,as_submitted,0,{'max_iter': 500},,1.3483247756958008,42
0.9984600440664312,0.9992854923889408,0.9986960166413116,0.9989906675569497,0.0023,0.0013039833586885,RF,tuned,12,"{'n_estimators': 100, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 20}",0.9988822824118412,72.00819706916809,42
0.9987680352531452,0.9995650147584278,0.9988202055326152,0.9991924713482624,0.0014,0.0011797944673848,RF,as_submitted,0,{'n_estimators': 50},,5.264195680618286,42
0.9028169347769434,0.967375037413948,0.9031016175603092,0.934134044124731,0.0981,0.0968983824396907,LR,tuned,12,"{'class_weight': None, 'C': 1.0}",0.9049551631200332,4.265679121017456,7
0.9028169347769434,0.967375037413948,0.9031016175603092,0.934134044124731,0.0981,0.0968983824396907,LR,as_submitted,0,{'max_iter': 500},,0.7292454242706299,7
0.9044279655997536,0.9694737894491284,0.903194759228787,0.9351613732801852,0.0916,0.096805240771213,SVM,tuned,12,"{'class_weight': 'balanced', 'C': 10.0}",0.9084424880241504,218.6255235671997,7
0.9044279655997536,0.9694737894491284,0.903194759228787,0.9351613732801852,0.0916,0.096805240771213,SVM,as_submitted,0,{'max_iter': 500},,55.842535972595215,7
0.9986969603639034,0.999192697012979,0.9990996305380484,0.999146161608321,0.0026,0.0009003694619516,RF,tuned,12,"{'n_estimators': 200, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 40}",0.9989754258071626,102.74205112457275,7
0.9986969603639034,0.999161698956781,0.9991306777608744,0.9991461881180432,0.0027,0.0008693222391257,RF,as_submitted,0,{'n_estimators': 50},,5.141707181930542,7
0.9033144590016348,0.9673667419912269,0.9037846564624794,0.9344954334601372,0.0982,0.0962153435375205,LR,tuned,12,"{'class_weight': None, 'C': 100.0}",0.90432635250838,4.48631739616394,123
0.9035987585586012,0.967752659574468,0.9037846564624794,0.9346754643677052,0.097,0.0962153435375205,LR,as_submitted,0,{'max_iter': 500},,0.655095100402832,123
0.9047359567864672,0.9696434521826058,0.9034431370113944,0.9353734389816616,0.0911,0.0965568629886056,SVM,tuned,12,"{'class_weight': None, 'C': 0.1}",0.90787617597071,43.557334661483765,123
0.90471226515672,0.969642440601153,0.9034120897885684,0.9353563277508116,0.0911,0.0965879102114316,SVM,as_submitted,0,{'max_iter': 500},,15.965451955795288,123
0.9984837356961784,0.9990994627829706,0.9989133472010928,0.9990063963236664,0.0029,0.0010866527989071,RF,tuned,12,"{'n_estimators': 50, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': None}",0.9987231625071316,120.09711194038393,123
0.9987443436233978,0.9994098279182456,0.9989443944239188,0.9991770569693958,0.0019,0.0010556055760812,RF,as_submitted,0,{'n_estimators': 50},,5.286160230636597,123
0.9038119832263262,0.9671723039134332,0.9046539787016052,0.9348690965092402,0.0989,0.0953460212983948,LR,tuned,12,"{'class_weight': None, 'C': 10.0}",0.9044466921984744,2.593452453613281,31
0.9038119832263262,0.9671723039134332,0.9046539787016052,0.9348690965092402,0.0989,0.0953460212983948,LR,as_submitted,0,{'max_iter': 500},,0.3787417411804199,31
0.905375630789642,0.9698584512905912,0.9040951286907386,0.9358228621011024,0.0905,0.0959048713092613,SVM,tuned,12,"{'class_weight': None, 'C': 1.0}",0.9082557984771448,9.53716206550598,31
0.905375630789642,0.9698584512905912,0.9040951286907386,0.9358228621011024,0.0905,0.0959048713092613,SVM,as_submitted,0,{'max_iter': 500},,2.5021121501922607,31
0.9987917268828924,0.999316812620334,0.9990996305380484,0.999208209777833,0.0022,0.0009003694619516,RF,tuned,12,"{'n_estimators': 400, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': None}",0.9989754257564116,68.83397436141968,31
0.9987206519936508,0.9992237230243752,0.9990996305380484,0.9991616729282454,0.0025,0.0009003694619516,RF,as_submitted,0,{'n_estimators': 50},,5.153996229171753,31
0.9061574545713,0.9691735317565772,0.90583377316899,0.9364338099593984,0.0928,0.0941662268310099,LR,tuned,12,"{'class_weight': 'balanced', 'C': 0.01}",0.903115600122218,3.5293450355529785,99
0.9062048378307944,0.969237924390406,0.90583377316899,0.9364638667330006,0.0926,0.0941662268310099,LR,as_submitted,0,{'max_iter': 500},,0.3586699962615967,99
0.907413110947902,0.971479025755506,0.9052438759352976,0.9371926328308317,0.0856,0.0947561240647024,SVM,tuned,12,"{'class_weight': None, 'C': 0.01}",0.9072471490739455,6.463436126708984,99
0.9073894193181548,0.971478075436492,0.9052128287124716,0.937175551662622,0.0856,0.0947871712875283,SVM,as_submitted,0,{'max_iter': 500},,1.7499454021453855,99
0.9988864934018812,0.9992858917039243,0.999254866652178,0.999270378937237,0.0023,0.000745133347822,RF,tuned,12,"{'n_estimators': 400, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 40}",0.9987192822027312,99.43330550193788,99
0.9986732687341562,0.999378746932563,0.9988822999782668,0.999130461786901,0.002,0.001117700021733,RF,as_submitted,0,{'n_estimators': 50},,5.222063302993774,99
