model,attack,n,n_detected_clean,asr,fnr_under_attack,family,epsilon,iters,traffic_family,confidence
LR,FGSM_eps0.15,4110,4108,0.0004868549172346641,0.00072992700729927,FGSM,0.15,1,backdoor,
LR,FGSM_eps0.15,4032,2966,0.010451786918408631,0.09573412698412699,FGSM,0.15,1,ddos,
LR,FGSM_eps0.15,3977,3494,0.0011448196908986834,0.11767664068393262,FGSM,0.15,1,dos,
LR,FGSM_eps0.15,3898,3757,0.00026616981634282674,0.03386351975371986,FGSM,0.15,1,injection,
LR,FGSM_eps0.15,200,77,0.07792207792207792,0.645,FGSM,0.15,1,mitm,
LR,FGSM_eps0.15,10000,0,,,FGSM,0.15,1,normal,
LR,FGSM_eps0.15,4008,3972,0.015357502517623363,0.023952095808383235,FGSM,0.15,1,password,
LR,FGSM_eps0.15,4083,3445,0.32917271407837445,0.4339946118050453,FGSM,0.15,1,ransomware,
LR,FGSM_eps0.15,4043,3691,0.05770793822812246,0.12911204551075933,FGSM,0.15,1,scanning,
LR,FGSM_eps0.15,3858,3600,0.060833333333333336,0.12208398133748057,FGSM,0.15,1,xss,
SVM,FGSM_eps0.15,4110,4109,0.0004867364322219518,0.00072992700729927,FGSM,0.15,1,backdoor,
SVM,FGSM_eps0.15,4032,2966,0.015509103169251517,0.09995039682539683,FGSM,0.15,1,ddos,
SVM,FGSM_eps0.15,3977,3494,0.051230681167716084,0.16218254966054815,FGSM,0.15,1,dos,
SVM,FGSM_eps0.15,3898,3757,0.0005323396326856535,0.034120061570035914,FGSM,0.15,1,injection,
SVM,FGSM_eps0.15,200,77,0.1038961038961039,0.65,FGSM,0.15,1,mitm,
SVM,FGSM_eps0.15,10000,0,,,FGSM,0.15,1,normal,
SVM,FGSM_eps0.15,4008,3971,0.016116847141777888,0.02470059880239521,FGSM,0.15,1,password,
SVM,FGSM_eps0.15,4083,3433,0.2956597727934751,0.40778839088905217,FGSM,0.15,1,ransomware,
SVM,FGSM_eps0.15,4043,3698,0.048674959437533805,0.11921840217660154,FGSM,0.15,1,scanning,
SVM,FGSM_eps0.15,3858,3593,0.16003339827442248,0.21513737687921203,FGSM,0.15,1,xss,
RF,FGSM_eps0.15,4110,4110,0.9992700729927008,0.9992700729927008,FGSM,0.15,1,backdoor,
RF,FGSM_eps0.15,4032,4015,0.9716064757160647,0.9682539682539683,FGSM,0.15,1,ddos,
RF,FGSM_eps0.15,3977,3971,0.9949634852681944,0.9942167462911743,FGSM,0.15,1,dos,
RF,FGSM_eps0.15,3898,3897,0.9987169617654607,0.9987172909184197,FGSM,0.15,1,injection,
RF,FGSM_eps0.15,200,194,0.8247422680412371,0.815,FGSM,0.15,1,mitm,
RF,FGSM_eps0.15,10000,0,,,FGSM,0.15,1,normal,
RF,FGSM_eps0.15,4008,4007,0.99900174694285,0.9987524950099801,FGSM,0.15,1,password,
RF,FGSM_eps0.15,4083,4083,0.9946118050453098,0.9946118050453098,FGSM,0.15,1,ransomware,
RF,FGSM_eps0.15,4043,4043,0.9977739302498145,0.9977739302498145,FGSM,0.15,1,scanning,
RF,FGSM_eps0.15,3858,3855,0.9914396887159533,0.9906687402799378,FGSM,0.15,1,xss,
MLP,FGSM_eps0.15,4110,4109,0.9987831589194451,0.9987834549878345,FGSM,0.15,1,backdoor,
MLP,FGSM_eps0.15,4032,3034,0.984179301252472,0.8390376984126984,FGSM,0.15,1,ddos,
MLP,FGSM_eps0.15,3977,3936,0.9994918699186992,0.9922051797837566,FGSM,0.15,1,dos,
MLP,FGSM_eps0.15,3898,3880,0.9997422680412371,0.9969214982042073,FGSM,0.15,1,injection,
MLP,FGSM_eps0.15,200,163,0.9693251533742331,0.815,FGSM,0.15,1,mitm,
MLP,FGSM_eps0.15,10000,0,,,FGSM,0.15,1,normal,
MLP,FGSM_eps0.15,4008,4002,0.9997501249375312,0.998253493013972,FGSM,0.15,1,password,
MLP,FGSM_eps0.15,4083,4039,1.0,0.994366887092824,FGSM,0.15,1,ransomware,
MLP,FGSM_eps0.15,4043,3980,0.9864321608040201,0.977244620331437,FGSM,0.15,1,scanning,
MLP,FGSM_eps0.15,3858,3821,0.9971211724679403,0.9880767236910316,FGSM,0.15,1,xss,
LR,FGSM_eps0.3,4110,4108,0.9973222979552093,0.997080291970803,FGSM,0.3,1,backdoor,
LR,FGSM_eps0.3,4032,2966,0.48347943358057993,0.44246031746031744,FGSM,0.3,1,ddos,
LR,FGSM_eps0.3,3977,3494,0.0412135088723526,0.14357555946693487,FGSM,0.3,1,dos,
LR,FGSM_eps0.3,3898,3757,0.04711205749268033,0.07567983581323756,FGSM,0.3,1,injection,
LR,FGSM_eps0.3,200,77,0.3116883116883117,0.66,FGSM,0.3,1,mitm,
LR,FGSM_eps0.3,10000,0,,,FGSM,0.3,1,normal,
LR,FGSM_eps0.3,4008,3972,0.22910372608257804,0.23527944111776447,FGSM,0.3,1,password,
LR,FGSM_eps0.3,4083,3445,0.8563134978229318,0.878765613519471,FGSM,0.3,1,ransomware,
LR,FGSM_eps0.3,4043,3691,0.9235979409374153,0.9176354192431363,FGSM,0.3,1,scanning,
LR,FGSM_eps0.3,3858,3600,0.31666666666666665,0.35329186106791083,FGSM,0.3,1,xss,
SVM,FGSM_eps0.3,4110,4109,0.5200778778291555,0.5201946472019465,FGSM,0.3,1,backdoor,
SVM,FGSM_eps0.3,4032,2966,0.02191503708698584,0.10317460317460317,FGSM,0.3,1,ddos,
SVM,FGSM_eps0.3,3977,3494,0.9914138523182598,0.9801357807392507,FGSM,0.3,1,dos,
SVM,FGSM_eps0.3,3898,3757,0.002927867979771094,0.033350436121087734,FGSM,0.3,1,injection,
SVM,FGSM_eps0.3,200,77,0.2077922077922078,0.64,FGSM,0.3,1,mitm,
SVM,FGSM_eps0.3,10000,0,,,FGSM,0.3,1,normal,
SVM,FGSM_eps0.3,4008,3971,0.03248552002014606,0.040169660678642714,FGSM,0.3,1,password,
SVM,FGSM_eps0.3,4083,3433,0.6717157005534518,0.7239774675483713,FGSM,0.3,1,ransomware,
SVM,FGSM_eps0.3,4043,3698,0.32558139534883723,0.36557012119713084,FGSM,0.3,1,scanning,
SVM,FGSM_eps0.3,3858,3593,0.22376843863067075,0.2687921202695697,FGSM,0.3,1,xss,
RF,FGSM_eps0.3,4110,4110,1.0,1.0,FGSM,0.3,1,backdoor,
RF,FGSM_eps0.3,4032,4015,0.9835616438356164,0.980406746031746,FGSM,0.3,1,ddos,
RF,FGSM_eps0.3,3977,3971,0.9949634852681944,0.9942167462911743,FGSM,0.3,1,dos,
RF,FGSM_eps0.3,3898,3897,0.9987169617654607,0.9987172909184197,FGSM,0.3,1,injection,
RF,FGSM_eps0.3,200,194,0.8298969072164949,0.82,FGSM,0.3,1,mitm,
RF,FGSM_eps0.3,10000,0,,,FGSM,0.3,1,normal,
RF,FGSM_eps0.3,4008,4007,0.99900174694285,0.9987524950099801,FGSM,0.3,1,password,
RF,FGSM_eps0.3,4083,4083,0.9946118050453098,0.9946118050453098,FGSM,0.3,1,ransomware,
RF,FGSM_eps0.3,4043,4043,0.9967845659163987,0.9967845659163987,FGSM,0.3,1,scanning,
RF,FGSM_eps0.3,3858,3855,0.9916990920881972,0.991187143597719,FGSM,0.3,1,xss,
MLP,FGSM_eps0.3,4110,4109,0.9987831589194451,0.9987834549878345,FGSM,0.3,1,backdoor,
MLP,FGSM_eps0.3,4032,3034,0.6862228081740277,0.7309027777777778,FGSM,0.3,1,ddos,
MLP,FGSM_eps0.3,3977,3936,0.9984756097560976,0.9934624088508927,FGSM,0.3,1,dos,
MLP,FGSM_eps0.3,3898,3880,0.527319587628866,0.5279630579784504,FGSM,0.3,1,injection,
MLP,FGSM_eps0.3,200,163,0.901840490797546,0.765,FGSM,0.3,1,mitm,
MLP,FGSM_eps0.3,10000,0,,,FGSM,0.3,1,normal,
MLP,FGSM_eps0.3,4008,4002,0.5017491254372813,0.5012475049900199,FGSM,0.3,1,password,
MLP,FGSM_eps0.3,4083,4039,0.9418172815053231,0.9368111682586333,FGSM,0.3,1,ransomware,
MLP,FGSM_eps0.3,4043,3980,0.6768844221105528,0.6789512738065793,FGSM,0.3,1,scanning,
MLP,FGSM_eps0.3,3858,3821,0.7853964930646428,0.7791601866251944,FGSM,0.3,1,xss,
LR,FGSM_eps0.5,4110,4108,0.998539435248296,0.9982968369829683,FGSM,0.5,1,backdoor,
