accuracy,precision,recall,f1,fpr,fnr,model,selector,n_features,attack,asr,family,epsilon,iters,confidence
0.9035987585586013,0.9677526595744681,0.9037846564624794,0.9346754643677053,0.097,0.09621534353752056,LR,rf,15,clean,0.0,,,,
0.9047122651567201,0.969642440601153,0.9034120897885685,0.9353563277508117,0.0911,0.0965879102114316,SVM,rf,15,clean,0.0,,,,
0.9987443436233978,0.9994098279182456,0.9989443944239188,0.9991770569693958,0.0019,0.0010556055760812194,RF,rf,15,clean,0.0,,,,
0.9657182117557866,0.993518577937496,0.9613462075817318,0.9771676528599605,0.0202,0.03865379241826818,MLP,rf,15,clean,0.0,,,,
0.8482788030988652,0.9208938183004404,0.8764631003756714,0.8981292949860016,0.2425,0.12353689962432861,LR,rf,15,FGSM_eps0.15,0.07436802577649317,FGSM,0.15,1.0,
0.8388258428297283,0.9201839110875893,0.863702691794219,0.8910491503979757,0.2413,0.13629730820578098,SVM,rf,15,FGSM_eps0.15,0.08512402568172664,FGSM,0.15,1.0,
0.13229406050842238,0.05411954765751212,0.008320655717346083,0.01442372379645327,0.4684,0.9916793442826539,RF,rf,15,FGSM_eps0.15,0.8672794901561278,FGSM,0.15,1.0,
0.046933118529223626,0.09182530795072788,0.028004594988978237,0.04291968024362391,0.8921,0.9719954050110218,MLP,rf,15,FGSM_eps0.15,0.9418607406003459,FGSM,0.15,1.0,
0.539482100973726,0.8418544889983404,0.488217578937564,0.6180238956138971,0.2954,0.511782421062436,LR,rf,15,FGSM_eps0.3,0.38633940628775854,FGSM,0.3,1.0,
0.6072875453102419,0.824322642214016,0.6168151758825173,0.7056295507014739,0.4234,0.38318482411748267,SVM,rf,15,FGSM_eps0.3,0.31955270203037267,FGSM,0.3,1.0,
0.13291004288184985,0.04498341625207297,0.006737247353224254,0.011719277401236735,0.4607,0.9932627526467758,RF,rf,15,FGSM_eps0.3,0.8666161245232059,FGSM,0.3,1.0,
0.20651993650643227,0.46016270260199965,0.23005992114005402,0.30675608544461,0.8693,0.769940078859946,MLP,rf,15,FGSM_eps0.3,0.7696225923381269,FGSM,0.3,1.0,
0.26781018266246537,0.5782525204032645,0.149585519575274,0.23768530623319603,0.3514,0.850414480424726,LR,rf,15,FGSM_eps0.5,0.6599303466085432,FGSM,0.5,1.0,
0.28003506361202585,0.5830898466033602,0.19826756496631376,0.29591529389958526,0.4566,0.8017324350336862,SVM,rf,15,FGSM_eps0.5,0.6493875713710346,FGSM,0.5,1.0,
0.1422445450022507,0.06241787122207622,0.008848458505386693,0.015499660095173352,0.4281,0.9911515414946133,RF,rf,15,FGSM_eps0.5,0.8572105475135634,FGSM,0.5,1.0,
0.21651780425975503,0.4751658494375541,0.2557359744170884,0.3325125141288552,0.9098,0.7442640255829116,MLP,rf,15,FGSM_eps0.5,0.7595536496955626,FGSM,0.5,1.0,
0.15449311758155843,0.19562554680664918,0.034710795119376574,0.05896002531378547,0.4597,0.9652892048806234,LR,rf,15,FGSM_eps0.75,0.7735554028761639,FGSM,0.75,1.0,
0.1714089412210666,0.28694714131607335,0.05780992890185973,0.09623236342963461,0.4627,0.9421900710981402,SVM,rf,15,FGSM_eps0.75,0.7587481342841574,FGSM,0.75,1.0,
0.18422611291430738,0.36037167252636865,0.08910552951038529,0.14288203519776965,0.5094,0.9108944704896147,RF,rf,15,FGSM_eps0.75,0.8153237461204956,FGSM,0.75,1.0,
0.3117581558435405,0.5785938199731303,0.3610171070197771,0.44461438458303065,0.8469,0.6389828929802229,MLP,rf,15,FGSM_eps0.75,0.6642659148522827,FGSM,0.75,1.0,
0.7916321163732853,0.9267643627879848,0.7893135459033189,0.8525343304102883,0.2009,0.21068645409668105,LR,rf,15,PGD_eps0.15_it10,0.12435736454310692,PGD,0.15,10.0,
0.865147243478879,0.9372711981794796,0.8823310254897699,0.9089716935870782,0.1902,0.11766897451023006,SVM,rf,15,PGD_eps0.15_it10,0.04961027269065839,PGD,0.15,10.0,
0.198488474022128,0.38020679468242247,0.0799155515539135,0.13207111521588547,0.4196,0.9200844484460865,RF,rf,15,PGD_eps0.15_it10,0.8009192352341917,PGD,0.15,10.0,
0.05024994669383307,0.13261214212440547,0.044149150858455714,0.0662442933010342,0.9301,0.9558508491415443,MLP,rf,15,PGD_eps0.15_it10,0.947167665663721,PGD,0.15,10.0,
0.7994503541898648,0.9315207909275952,0.7956782265826322,0.8582575643408517,0.1884,0.20432177341736782,LR,rf,15,PGD_eps0.15_it25,0.10874458053969532,PGD,0.15,25.0,
0.8644364945864627,0.9419951273236993,0.8763078642615418,0.9079650003216883,0.1738,0.12369213573845819,SVM,rf,15,PGD_eps0.15_it25,0.04290554147219787,PGD,0.15,25.0,
0.14785946125233954,0.057660626029654036,0.007606569592349964,0.013440122881123484,0.4004,0.99239343040765,RF,rf,15,PGD_eps0.15_it25,0.851524556374233,PGD,0.15,25.0,
0.1155914615366391,0.3076402974983097,0.1271383774721351,0.17992091388400702,0.9216,0.8728616225278649,MLP,rf,15,PGD_eps0.15_it25,0.8806652609633017,PGD,0.15,25.0,
0.6057002061171788,0.8074340338126086,0.6346362817845944,0.7106823120382443,0.4875,0.36536371821540564,LR,rf,15,PGD_eps0.3_it10,0.31211353028974864,PGD,0.3,10.0,
0.6216446729370514,0.8784432533209042,0.5851470086000807,0.7024075730471079,0.2608,0.41485299139991927,SVM,rf,15,PGD_eps0.3_it10,0.29503186524200997,PGD,0.3,10.0,
0.196237769196143,0.33030243131053566,0.05187990934210935,0.08967478802189546,0.3388,0.9481200906578906,RF,rf,15,PGD_eps0.3_it10,0.8030988651709351,PGD,0.3,10.0,
0.04266862517472577,0.11589993441394172,0.03840541463566084,0.05769320460799403,0.9436,0.9615945853643392,MLP,rf,15,PGD_eps0.3_it10,0.9560757184486721,PGD,0.3,10.0,
0.5542893695657324,0.7795025872141546,0.5799621223881524,0.6650882096380824,0.5284,0.42003787761184763,LR,rf,15,PGD_eps0.3_it25,0.36198441090762634,PGD,0.3,25.0,
0.6308844085384634,0.8662936693246398,0.6105125896488559,0.7162526407809426,0.3035,0.3894874103511441,SVM,rf,15,PGD_eps0.3_it25,0.28392049089056837,PGD,0.3,25.0,
0.15669643914804898,0.05634171907756813,0.0066751529075724176,0.01193615544760583,0.3601,0.9933248470924276,RF,rf,15,PGD_eps0.3_it25,0.8426638868487764,PGD,0.3,25.0,
0.04101021109242105,0.09971923709942879,0.03197863951069577,0.0484272885420095,0.9299,0.9680213604893042,MLP,rf,15,PGD_eps0.3_it25,0.9521429079106352,PGD,0.3,25.0,
0.4984718898813049,0.7213666987487969,0.558477444192617,0.6295563916353136,0.6948,0.44152255580738303,LR,rf,15,PGD_eps0.5_it10,0.43073752043403063,PGD,0.5,10.0,
0.48214835698547703,0.7275645253484588,0.5137383961004688,0.6022346775367593,0.6196,0.4862616038995312,SVM,rf,15,PGD_eps0.5_it10,0.4474401194058139,PGD,0.5,10.0,
0.2143381743230117,0.4036400404448938,0.06197025676053277,0.10744468967002208,0.2949,0.9380297432394672,RF,rf,15,PGD_eps0.5_it10,0.784951076784572,PGD,0.5,10.0,
0.04198156791205667,0.1147940074906367,0.03806389518457574,0.057170836344983565,0.9454,0.9619361048154242,MLP,rf,15,PGD_eps0.5_it10,0.95685754223033,PGD,0.5,10.0,
0.43900589921580707,0.6941637075480288,0.47340805364960103,0.5629164743885556,0.6718,0.526591946350399,LR,rf,15,PGD_eps0.5_it25,0.4791395200075813,PGD,0.5,25.0,
0.4940415551185766,0.7305323080844556,0.5338880437144897,0.6169189926096004,0.6343,0.4661119562855103,SVM,rf,15,PGD_eps0.5_it25,0.426828401525741,PGD,0.5,25.0,
0.1673102892747992,0.1059549356223176,0.012263653016237698,0.021982914544898015,0.3333,0.9877363469837623,RF,rf,15,PGD_eps0.5_it25,0.8320026534625317,PGD,0.5,25.0,
0.04200525954180388,0.11458821324838377,0.03797075351609799,0.0570402499883401,0.945,0.962029246483902,MLP,rf,15,PGD_eps0.5_it25,0.9569286171195717,PGD,0.5,25.0,
0.48795280627354354,0.712822366835382,0.5509329690459188,0.6215085021802708,0.7149,0.4490670309540812,LR,rf,15,PGD_eps0.75_it10,0.43753701817148,PGD,0.75,10.0,
0.41401122983250016,0.6509064480962571,0.5005122791766277,0.5658873911822522,0.8646,0.49948772082337234,SVM,rf,15,PGD_eps0.75_it10,0.5125921012106422,PGD,0.75,10.0,
0.17801890592053826,0.28307155322862126,0.05035859542363936,0.0855056801708005,0.4108,0.9496414045763606,RF,rf,15,PGD_eps0.75_it10,0.8212940368167926,PGD,0.75,10.0,
0.04202895117155109,0.11531986531986532,0.03828122574435717,0.05748117759492786,0.9459,0.9617187742556428,MLP,rf,15,PGD_eps0.75_it10,0.9571655334170438,PGD,0.75,10.0,
0.42441185529152553,0.6779226618705037,0.468098978546369,0.5538026410035078,0.7163,0.5319010214536309,LR,rf,15,PGD_eps0.75_it25,0.4966002511312753,PGD,0.75,25.0,
0.42017105356677487,0.6704270039219142,0.47235244807351984,0.5542238898400786,0.7479,0.5276475519264802,SVM,rf,15,PGD_eps0.75_it25,0.5010068942642565,PGD,0.75,25.0,
0.1521476462365846,0.09005499541704858,0.012201558570585861,0.02149126404724797,0.3971,0.9877984414294141,RF,rf,15,PGD_eps0.75_it25,0.8471652965007462,PGD,0.75,25.0,
0.04202895117155109,0.11546372475691848,0.038343320190009,0.057569047896515554,0.9461,0.961656679809991,MLP,rf,15,PGD_eps0.75_it25,0.9572839915657798,PGD,0.75,25.0,
0.9022720272927575,0.9669149431402541,0.902822192554876,0.9337700496122537,0.0995,0.09717780744512404,LR,rf,15,CW_c0.0_it10,0.0013504228955909876,CW,,10.0,0.0
0.9022246440332631,0.9674412410946135,0.9022322953211835,0.9336996160457532,0.0978,0.09776770467881649,SVM,rf,15,CW_c0.0_it10,0.0024876211234570824,CW,,10.0,0.0
0.15563031580942452,0.09852562602387081,0.013070880809711572,0.023079875006852695,0.3852,0.9869291191902885,RF,rf,15,CW_c0.0_it10,0.8439195432253784,CW,,10.0,0.0
0.039873012864554955,0.12620224719101122,0.043590300847589185,0.06479900309226012,0.9721,0.9564096991524108,MLP,rf,15,CW_c0.0_it10,0.9593214717240399,CW,,10.0,0.0
0.9028406264066905,0.9669723551302498,0.9035362786798721,0.9341786373485274,0.0994,0.09646372132012791,LR,rf,15,CW_c0.5_it10,0.0014214977848326187,CW,,10.0,0.5
0.90267478499846,0.9660044442970382,0.9042814120276941,0.9341244387427838,0.1025,0.09571858797230588,SVM,rf,15,CW_c0.5_it10,0.003577436091828757,CW,,10.0,0.5
0.1594209765689782,0.1480525069937594,0.021360489304231737,0.03733449099196874,0.3959,0.9786395106957683,RF,rf,15,CW_c0.5_it10,0.840152574095572,CW,,10.0,0.5
0.0342344049847189,0.11074711074711074,0.03778447017914247,0.05634520116672068,0.9772,0.9622155298208576,MLP,rf,15,CW_c0.5_it10,0.965078537752612,CW,,10.0,0.5
0.9036461418180957,0.9680037251380297,0.9035983731255239,0.9346928944199117,0.0962,0.09640162687447608,LR,mi,15,clean,0.0,,,,
0.9051387144921699,0.9703812414529202,0.9032568536744389,0.9356166586267889,0.0888,0.09674314632556118,SVM,mi,15,clean,0.0,,,,
0.9987206519936507,0.9993477653197503,0.9989754416467447,0.999161568797938,0.0021,0.0010245583532553014,RF,mi,15,clean,0.0,,,,
