model,max_iter,max_eval,approx_queries,n_samples,n_eligible,asr,adv_accuracy,mean_l2,median_queries_success,query_budget_exhausted,numerical_stagnation,elapsed_s
LR,5,100,500,200,187,1.0,0.065,0.695216953754425,228.0,0,0,1.1859233379364014
LR,10,200,2000,200,187,1.0,0.065,0.608653724193573,557.0,0,0,2.0180468559265137
LR,20,500,10000,200,187,1.0,0.065,0.5645164251327515,1437.0,0,0,3.9104292392730713
LR,40,1000,40000,200,187,1.0,0.065,0.5361771583557129,3824.0,0,0,7.915220737457275
SVM,5,100,500,200,187,1.0,0.065,0.46672987937927246,228.0,0,0,1.2707469463348389
SVM,10,200,2000,200,187,1.0,0.065,0.4088386297225952,557.0,0,0,2.209458827972412
SVM,20,500,10000,200,187,1.0,0.065,0.3809599280357361,1437.0,0,0,4.239158868789673
SVM,40,1000,40000,200,187,1.0,0.065,0.3620971739292145,3824.0,0,0,7.917648077011108
RF,5,100,500,200,200,0.995,0.005,0.8157423138618469,231.0,0,0,33.863945960998535
RF,10,200,2000,200,200,0.995,0.005,0.48635944724082947,564.0,0,0,62.402464866638184
RF,20,500,10000,200,200,0.995,0.005,0.2928774356842041,1451.0,0,0,111.86269640922546
RF,40,1000,40000,200,200,0.995,0.005,0.161252960562706,3856.0,0,0,196.33547925949097
