accuracy,precision,recall,f1,fpr,fnr,model,config,attack,asr,best_params,family,epsilon,iters,confidence,n_samples,n_eligible,mean_l2,median_queries_success,query_budget_exhausted,numerical_stagnation,elapsed_s
0.9038119832263262,0.9671723039134331,0.9046539787016051,0.9348690965092402,0.0989,0.09534602129839485,LR,tuned,clean,0.0,"{'class_weight': None, 'C': 10.0}",,,,,,,,,,,
0.902437868700988,0.9695136219287983,0.9004626036201062,0.9337132187238426,0.0912,0.09953739637989382,LR,tuned,FGSM_eps0.15,0.006491506550735625,"{'class_weight': None, 'C': 10.0}",FGSM,0.15,1.0,,,,,,,,
0.8304390058992158,0.9648211370046015,0.8072277934738737,0.879016853457748,0.0948,0.19277220652612623,LR,tuned,FGSM_eps0.3,0.08249425477978631,"{'class_weight': None, 'C': 10.0}",FGSM,0.3,1.0,,,,,,,,
0.7959676846170248,0.927497373093228,0.7947468098978546,0.8560058855002676,0.2001,0.20525319010214535,LR,tuned,FGSM_eps0.5,0.14307375204340306,"{'class_weight': None, 'C': 10.0}",FGSM,0.5,1.0,,,,,,,,
0.7836243455187283,0.8999306759098786,0.8060790462293148,0.8504233610114807,0.2887,0.19392095377068522,LR,tuned,FGSM_eps0.75,0.1714089412210666,"{'class_weight': None, 'C': 10.0}",FGSM,0.75,1.0,,,,,,,,
0.9077921770238575,0.9696487212657976,0.9075724176472415,0.9375841939829367,0.0915,0.09242758235275854,LR,tuned,PGD_eps0.15_it10,0.0008292070411523609,"{'class_weight': None, 'C': 10.0}",PGD,0.15,10.0,,,,,,,,
0.9076737188751214,0.9698619224641529,0.9071998509733304,0.9374849607777083,0.0908,0.09280014902666957,LR,tuned,PGD_eps0.15_it25,0.0007107488924163093,"{'class_weight': None, 'C': 10.0}",PGD,0.15,25.0,,,,,,,,
0.8127176668483025,0.9325786700840096,0.8133751435934056,0.8689076466393593,0.1894,0.18662485640659443,LR,tuned,PGD_eps0.3_it10,0.11014238669478073,"{'class_weight': None, 'C': 10.0}",PGD,0.3,10.0,,,,,,,,
0.8079082660096188,0.9327085353154512,0.8064516129032258,0.8649971694029105,0.1874,0.1935483870967742,LR,tuned,PGD_eps0.3_it25,0.11838707384680992,"{'class_weight': None, 'C': 10.0}",PGD,0.3,25.0,,,,,,,,
0.6559264611812646,0.8470565149136577,0.670092210251793,0.7482535665378148,0.3897,0.329907789748207,LR,tuned,PGD_eps0.5_it10,0.27517827951384777,"{'class_weight': None, 'C': 10.0}",PGD,0.5,10.0,,,,,,,,
0.659006373048402,0.8478600437363324,0.6740973019963364,0.7510593769998444,0.3896,0.32590269800366356,LR,tuned,PGD_eps0.5_it25,0.27667085218792203,"{'class_weight': None, 'C': 10.0}",PGD,0.5,25.0,,,,,,,,
0.652254258570447,0.8423622231769714,0.6695954546865783,0.7461080744482115,0.4036,0.3304045453134217,LR,tuned,PGD_eps0.75_it10,0.27972707242531214,"{'class_weight': None, 'C': 10.0}",PGD,0.75,10.0,,,,,,,,
