accuracy,precision,recall,f1,fpr,fnr,model,attack,asr,train_s,family,epsilon,iters,confidence,n_samples,n_eligible,mean_l2,median_queries_success,query_budget_exhausted,numerical_stagnation,elapsed_s
0.9986021938449146,0.9993166428527055,0.9988512527554411,0.9990838936074407,0.0022,0.0011487472445589743,XGB,clean,0.0,1.2499175071716309,,,,,,,,,,,
0.12656068610959748,0.19753246753246753,0.04722282591822161,0.07622340825377734,0.6179,0.9527771740817784,XGB,FGSM_eps0.15,0.8730839394441944,1.2499175071716309,FGSM,0.15,1.0,,,,,,,,
0.10379302992252837,0.19551316787688305,0.056009189977956474,0.0870740418959359,0.7423,0.9439908100220435,XGB,FGSM_eps0.3,0.8958515956312635,1.2499175071716309,FGSM,0.3,1.0,,,,,,,,
0.12734250989125542,0.2792784193948649,0.09084417398863671,0.13709412922269595,0.7551,0.9091558260113632,XGB,FGSM_eps0.5,0.8723494989220308,1.2499175071716309,FGSM,0.5,1.0,,,,,,,,
0.15892345234428676,0.36105014350835724,0.13278897202645223,0.19416638293042787,0.7569,0.8672110279735478,XGB,FGSM_eps0.75,0.8407448648392523,1.2499175071716309,FGSM,0.75,1.0,,,,,,,,
0.1583311616006065,0.33181218943312035,0.10158651308640441,0.15555027335393393,0.6589,0.8984134869135956,XGB,PGD_eps0.15_it10,0.8413134639531853,1.2499175071716309,PGD,0.15,10.0,,,,,,,,
0.14044398114146273,0.23273825150958258,0.055046726070353005,0.08903507670675673,0.5845,0.944953273929647,XGB,PGD_eps0.15_it25,0.8591532611528347,1.2499175071716309,PGD,0.15,25.0,,,,,,,,
0.2042929233101945,0.43936591809775427,0.154894594678506,0.2290423285281425,0.6366,0.845105405321494,XGB,PGD_eps0.3_it10,0.7953517022435973,1.2499175071716309,PGD,0.3,10.0,,,,,,,,
0.1348290648913739,0.24880494345342194,0.06625477351050948,0.10464375030647771,0.6443,0.9337452264894905,XGB,PGD_eps0.3_it25,0.8648392522921652,1.2499175071716309,PGD,0.3,25.0,,,,,,,,
0.1835627472813855,0.3867431100382217,0.11937657176565557,0.18243932528291143,0.6097,0.8806234282343445,XGB,PGD_eps0.5_it10,0.8161292615319008,1.2499175071716309,PGD,0.5,10.0,,,,,,,,
0.13288635125210263,0.19511179002916262,0.0436213480704151,0.07130170007612281,0.5796,0.9563786519295849,XGB,PGD_eps0.5_it25,0.8668293491909308,1.2499175071716309,PGD,0.5,25.0,,,,,,,,
0.15515648321448033,0.2901617414568892,0.07407867366264087,0.11802532647407994,0.5837,0.9259213263373591,XGB,PGD_eps0.75_it10,0.8444407590798171,1.2499175071716309,PGD,0.75,10.0,,,,,,,,
0.12506811343552324,0.1492049338683311,0.031171411717221896,0.051569161230674405,0.5725,0.9688285882827781,XGB,PGD_eps0.75_it25,0.8742922125613021,1.2499175071716309,PGD,0.75,25.0,,,,,,,,
0.17422824516098462,0.28550583657587547,0.05467415939644199,0.09177371863355656,0.4407,0.9453258406035581,XGB,CW_c0.0_it10,0.8253689971333128,1.2499175071716309,CW,,10.0,0.0,,,,,,,
0.16944253595204814,0.2686057848553786,0.05132105933124282,0.08617678492297265,0.4501,0.9486789406687571,XGB,CW_c0.5_it10,0.8301310147125021,1.2499175071716309,CW,,10.0,0.5,,,,,,,
0.04,0.057692307692307696,0.06,0.058823529411764705,0.98,0.94,XGB,HopSkipJump_direct,0.96,,,,,,100.0,100.0,0.47385111451148987,562.0,0.0,5.0,5.127239942550659
0.9989338766613756,0.9993789591355111,0.999223819429352,0.9993013832611429,0.002,0.0007761805706479556,LGBM,clean,0.0,0.841033935546875,,,,,,,,,,,
0.15949205145821982,0.21181657848324514,0.03728771461392778,0.06341244489030862,0.4469,0.9627122853860722,LGBM,FGSM_eps0.15,0.8399630410575943,0.841033935546875,FGSM,0.15,1.0,,,,,,,,
0.15387713520813096,0.2187449847536511,0.042317364711726535,0.07091571279916753,0.4868,0.9576826352882735,LGBM,FGSM_eps0.3,0.8457201070861664,0.841033935546875,FGSM,0.3,1.0,,,,,,,,
0.2139354166173091,0.4145525017618041,0.07305411530938558,0.12421802824336808,0.3323,0.9269458846906145,LGBM,FGSM_eps0.5,0.7856381340472411,0.841033935546875,FGSM,0.5,1.0,,,,,,,,
0.23258072922836362,0.4834449068210602,0.08295817939085348,0.14161543353826583,0.2855,0.9170418206091465,LGBM,FGSM_eps0.75,0.766921746546945,0.841033935546875,FGSM,0.75,1.0,,,,,,,,
0.4800161103082281,0.7261427249085379,0.5114719488341768,0.6001894491401923,0.6213,0.4885280511658232,LGBM,PGD_eps0.15_it10,0.5195811319860694,0.841033935546875,PGD,0.15,10.0,,,,,,,,
0.4341728067473761,0.7155877783531849,0.429010525008538,0.5364234554242124,0.5492,0.570989474991462,LGBM,PGD_eps0.15_it25,0.5654481271766685,0.841033935546875,PGD,0.15,25.0,,,,,,,,
0.5150086474448577,0.7354569525796357,0.5691576888447328,0.6417082348822963,0.6594,0.43084231115526717,LGBM,PGD_eps0.3_it10,0.4846359781089341,0.841033935546875,PGD,0.3,10.0,,,,,,,,
0.4813191499443247,0.7164498531263114,0.5300692353069018,0.6093256482092828,0.6757,0.4699307646930982,LGBM,PGD_eps0.3_it25,0.5182780923499728,0.841033935546875,PGD,0.3,25.0,,,,,,,,
0.5848752635693809,0.7527100037854021,0.6790959048713092,0.7140105764836456,0.7186,0.3209040951286907,LGBM,PGD_eps0.5_it10,0.4147456703546637,0.841033935546875,PGD,0.5,10.0,,,,,,,,
