accuracy,precision,recall,f1,fpr,fnr,model,attack,asr,family,epsilon,iters,confidence
0.8089033144590017,0.9413872536472997,0.7993417988760906,0.8645689915712415,0.1603,0.20065820112390947,LR,FGSM_eps0.15,0.09853348811864768,FGSM,0.15,1,
0.9048781065649506,0.9699,0.9033810425657425,0.935459499429343,0.0903,0.09661895743425751,SVM,FGSM_eps0.15,0.0027719206804236065,FGSM,0.15,1,
0.22646828875358335,0.4748832441052512,0.12943587196125306,0.20342539279789207,0.461,0.8705641280387469,RF,FGSM_eps0.15,0.7732237200597029,FGSM,0.15,1,
0.08152289796015068,0.20747480153420747,0.07221584029308578,0.10713956701980654,0.8885,0.9277841597069142,MLP,FGSM_eps0.15,0.9179085029259163,FGSM,0.15,1,
0.8075528915634107,0.9270264520246791,0.811698593560806,0.8655377331942858,0.2058,0.18830140643919402,LR,FGSM_eps0.3,0.11620744391006657,FGSM,0.3,1,
0.7955175436518278,0.9403481249066189,0.7816138346424912,0.8536647394923789,0.1597,0.21838616535750877,SVM,FGSM_eps0.3,0.11274846596697387,FGSM,0.3,1,
0.21407756639579237,0.4377743351407178,0.10528113260268869,0.1697409585784007,0.4355,0.8947188673973113,RF,FGSM_eps0.3,0.7855907507877467,FGSM,0.3,1,
0.110734677438461,0.2849644702842377,0.1095656493526654,0.15827596259502613,0.8855,0.8904343506473346,MLP,FGSM_eps0.3,0.8885308820393755,FGSM,0.3,1,
0.8047572792532398,0.9247536683915787,0.8100530907510323,0.8636115386524998,0.2123,0.18994690924896768,LR,FGSM_eps0.5,0.12715297685327773,FGSM,0.5,1,
0.7931246890473596,0.9404855716912455,0.7781365456859883,0.851642937238778,0.1586,0.2218634543140116,SVM,FGSM_eps0.5,0.11618375228031937,FGSM,0.5,1,
0.4707763747068161,0.7816583918278833,0.42525381104660187,0.5508324619963002,0.3826,0.5747461889533981,RF,FGSM_eps0.5,0.5287734843279869,FGSM,0.5,1,
0.17595773413253096,0.41508811299584186,0.1952559843521997,0.2655827702702703,0.8862,0.8047440156478003,MLP,FGSM_eps0.5,0.8230946006775806,FGSM,0.5,1,
0.7125257646473501,0.9090427482782509,0.6925703995777578,0.7861774864312399,0.2232,0.3074296004222422,LR,FGSM_eps0.75,0.22466772489279538,FGSM,0.75,1,
0.7937643630505342,0.9404137310748014,0.7790990095935919,0.8521895641247687,0.159,0.22090099040640815,SVM,FGSM_eps0.75,0.11798431614110734,FGSM,0.75,1,
0.42363003150986756,0.7373080397470642,0.3801111490577168,0.5016183881673291,0.4362,0.6198888509422832,RF,FGSM_eps0.75,0.5758961358951882,FGSM,0.75,1,
0.17683432443317776,0.4173295084104838,0.19873327330870252,0.2692493743033209,0.8937,0.8012667266912975,MLP,FGSM_eps0.75,0.8188774905825772,FGSM,0.75,1,
0.9072472695396716,0.9653006183396922,0.9112049427178739,0.9374730487278999,0.1055,0.08879505728212611,LR,PGD_eps0.15_it10,0.004122343576014594,PGD,0.15,10,
0.9049017981946978,0.9654329954769058,0.9078828898755006,0.9357739447662325,0.1047,0.09211711012449936,SVM,PGD_eps0.15_it10,0.005970290696296998,PGD,0.15,10,
0.1998625885474662,0.42413659293752426,0.13573845819491445,0.20565891290542607,0.5936,0.8642615418050855,RF,PGD_eps0.15_it10,0.7996635788575897,PGD,0.15,10,
0.08078845743798715,0.2096404652802256,0.07386134310285945,0.1092361732901715,0.8969,0.9261386568971406,MLP,PGD_eps0.15_it10,0.9190220095240351,PGD,0.15,10,
0.9058731550143334,0.965172981878089,0.9094662982396224,0.9364919515976918,0.1057,0.09053370176037753,LR,PGD_eps0.15_it25,0.004169726835509015,PGD,0.15,25,
0.9045938070079841,0.9654181529924692,0.9074792759787637,0.9355525326078259,0.1047,0.0925207240212363,SVM,PGD_eps0.15_it25,0.0062072069937691016,PGD,0.15,25,
0.14222085337250348,0.15901723255417163,0.02893601167375578,0.04896243761491988,0.4929,0.9710639883262442,RF,PGD_eps0.15_it25,0.8574474638110355,PGD,0.15,25,
0.07356251036508801,0.19072396160401903,0.06600639572790214,0.09807177783928407,0.9021,0.9339936042720979,MLP,PGD_eps0.15_it25,0.9261768817076926,PGD,0.15,25,
0.8879622829254424,0.9466549639165204,0.9041261759135645,0.924901938987788,0.1641,0.09587382408643547,LR,PGD_eps0.3_it10,0.019427136392712454,PGD,0.3,10,
0.8923689260584236,0.968470604172311,0.8878574311527834,0.9264136579360837,0.0931,0.11214256884721661,SVM,PGD_eps0.3_it10,0.015328484446445072,PGD,0.3,10,
0.18669004240801726,0.35729671513193323,0.08239932937998697,0.13391528117667836,0.4774,0.917600670620013,RF,PGD_eps0.3_it10,0.8127650501077969,PGD,0.3,10,
0.04645928593427942,0.13018676971202503,0.04393182029867428,0.06569478620177353,0.9454,0.9560681797013257,MLP,PGD_eps0.3_it10,0.9533748726574901,PGD,0.3,10,
0.9019166528465493,0.9659373858769629,0.9033189481200906,0.933579335793358,0.1026,0.09668105187990934,LR,PGD_eps0.3_it25,0.004809400838683693,PGD,0.3,25,
0.8896443886374944,0.9683791778586244,0.8842559533049769,0.9244076598506978,0.093,0.11574404669502313,SVM,PGD_eps0.3_it25,0.018076713497121467,PGD,0.3,25,
0.1891065886422327,0.3555682794159748,0.07712130149958087,0.1267508610792193,0.4502,0.9228786985004191,RF,PGD_eps0.3_it25,0.810301120614087,PGD,0.3,25,
0.04788078371911204,0.13476151240501694,0.04570151199975162,0.06825558749884077,0.9451,0.9542984880002484,MLP,PGD_eps0.3_it25,0.9520007581321519,PGD,0.3,25,
0.8682745386055106,0.9441944194419442,0.8793504920984818,0.9106195543838215,0.1674,0.12064950790151821,LR,PGD_eps0.5_it10,0.040299462200004736,PGD,0.5,10,
0.8793622213272051,0.967453887260817,0.8712161197180912,0.9168164145456922,0.0944,0.1287838802819088,SVM,PGD_eps0.5_it10,0.029306545997299153,PGD,0.5,10,
0.3118292307327821,0.6383202099737533,0.22652053773789935,0.334379797887211,0.4134,0.7734794622621006,RF,PGD_eps0.5_it10,0.6874837120045488,PGD,0.5,10,
0.04626975289630174,0.1298187505750299,0.04380763140737061,0.06550907655880031,0.9458,0.9561923685926293,MLP,PGD_eps0.5_it10,0.9536354805847094,PGD,0.5,10,
0.8761875429410789,0.9456905949588715,0.888788847837561,0.9163572343149808,0.1644,0.11121115216243907,LR,PGD_eps0.5_it25,0.03150986756378971,PGD,0.5,25,
0.8673505650453694,0.9464165883773991,0.8757490142506753,0.9097124796413655,0.1597,0.12425098574932472,SVM,PGD_eps0.5_it25,0.04138927716837641,PGD,0.5,25,
0.3395721291667654,0.6833996444594937,0.2506442298736378,0.3667711598746082,0.374,0.7493557701263622,RF,PGD_eps0.5_it25,0.659906654978796,PGD,0.5,25,
0.046246061266554526,0.1298068077276909,0.04380763140737061,0.06550755588569837,0.9459,0.9561923685926293,MLP,PGD_eps0.5_it25,0.9536591722144566,PGD,0.5,25,
0.8462413229406051,0.942683052772901,0.8501971498649445,0.8940546540859969,0.1665,0.14980285013505543,LR,PGD_eps0.75_it10,0.062143144826932645,PGD,0.75,10,
0.8247530147598854,0.9422501069442464,0.8206401937346705,0.8772506264416455,0.162,0.17935980626532957,SVM,PGD_eps0.75_it10,0.08405790234310218,PGD,0.75,10,
0.3051481911440688,0.6164294954721863,0.23670402682480052,0.34205980662673574,0.4744,0.7632959731751995,RF,PGD_eps0.75_it10,0.6941410599635149,PGD,0.75,10,
0.03871212300694165,0.1261172685019664,0.04380763140737061,0.0650275364656543,0.9777,0.9561923685926293,MLP,PGD_eps0.75_it10,0.9611931104740695,PGD,0.75,10,
0.8639863536212656,0.9451096461724741,0.872426961408302,0.9073150255888668,0.1632,0.12757303859169797,LR,PGD_eps0.75_it25,0.044753488592480274,PGD,0.75,25,
0.8503399748868725,0.9361859838274933,0.8626781334409637,0.8979301652959331,0.1894,0.1373218665590363,SVM,PGD_eps0.75_it25,0.0585894003648511,PGD,0.75,25,
0.3713426046577744,0.7081438004402054,0.29966779471576266,0.4211261153166518,0.3978,0.7003322052842373,RF,PGD_eps0.75_it25,0.6278281883010732,PGD,0.75,25,
0.03752754151958113,0.12555614878092186,0.04380763140737061,0.06495270099201325,0.9827,0.9561923685926293,MLP,PGD_eps0.75_it25,0.9624013835911772,PGD,0.75,25,
0.9047359567864673,0.9674006765271606,0.9056785370548605,0.9355226656831775,0.0983,0.09432146294513956,LR,CW_c0.0_it10,0.0015873391930630908,CW,,10,0.0
0.9065602122770026,0.9703777666833083,0.9051817814896458,0.9366466411796832,0.089,0.09481821851035425,SVM,CW_c0.0_it10,0.0009713568196356228,CW,,10,0.0
0.19159420976568978,0.297737365193487,0.04371448973889286,0.07623585467540203,0.3321,0.9562855102611072,RF,CW_c0.0_it10,0.8078371911203772,CW,,10,0.0
0.03809614063351418,0.1242836676217765,0.04309354528237449,0.06399704912741776,0.978,0.9569064547176255,MLP,CW_c0.0_it10,0.961595868179772,CW,,10,0.0
0.9050439479731811,0.9678179224312399,0.9056785370548605,0.9357177225340818,0.097,0.09432146294513956,LR,CW_c0.5_it10,0.0013267312658437774,CW,,10,0.5
0.906607595536497,0.9705676710504412,0.9050575925983421,0.9366685945633314,0.0884,0.09494240740165792,SVM,CW_c0.5_it10,0.0009476651898884124,CW,,10,0.5
0.19595346963917648,0.333909702209414,0.05396007327144587,0.09290639867429304,0.3467,0.9460399267285541,RF,CW_c0.5_it10,0.8033831647279016,CW,,10,0.5
0.03511099528536568,0.11470960738194319,0.039367878543264304,0.05861821880128516,0.9786,0.9606321214567357,MLP,CW_c0.5_it10,0.9645810135279206,CW,,10,0.5
