accuracy,precision,recall,f1,fpr,fnr,model,sigma,eval_attack,smooth_s_per_sample,n0,n,family,epsilon,iters,confidence
0.91,0.951048951048951,0.9251700680272109,0.9379310344827586,0.1320754716981132,0.07482993197278912,LR,0.1,Clean,0.00015351295471191406,50,200,,,,
0.84,0.9457364341085271,0.8299319727891157,0.8840579710144928,0.1320754716981132,0.17006802721088435,LR,0.1,FGSM_eps0.15,,50,200,FGSM,0.15,1.0,
0.82,0.9236641221374046,0.8231292517006803,0.8705035971223022,0.18867924528301888,0.17687074829931973,LR,0.1,FGSM_eps0.3,,50,200,FGSM,0.3,1.0,
0.825,0.9307692307692308,0.8231292517006803,0.8736462093862816,0.16981132075471697,0.17687074829931973,LR,0.1,FGSM_eps0.5,,50,200,FGSM,0.5,1.0,
0.74,0.9130434782608695,0.7142857142857143,0.8015267175572519,0.18867924528301888,0.2857142857142857,LR,0.1,FGSM_eps0.75,,50,200,FGSM,0.75,1.0,
0.915,0.9452054794520548,0.9387755102040817,0.9419795221843004,0.1509433962264151,0.061224489795918366,LR,0.1,PGD_eps0.15_it10,,50,200,PGD,0.15,10.0,
0.91,0.9448275862068966,0.9319727891156463,0.9383561643835616,0.1509433962264151,0.06802721088435375,LR,0.1,PGD_eps0.15_it25,,50,200,PGD,0.15,25.0,
0.9,0.9379310344827586,0.9251700680272109,0.9315068493150684,0.16981132075471697,0.07482993197278912,LR,0.1,PGD_eps0.3_it10,,50,200,PGD,0.3,10.0,
0.905,0.9444444444444444,0.9251700680272109,0.9347079037800687,0.1509433962264151,0.07482993197278912,LR,0.1,PGD_eps0.3_it25,,50,200,PGD,0.3,25.0,
0.885,0.9428571428571428,0.8979591836734694,0.9198606271777003,0.1509433962264151,0.10204081632653061,LR,0.1,PGD_eps0.5_it10,,50,200,PGD,0.5,10.0,
0.89,0.9432624113475178,0.9047619047619048,0.9236111111111112,0.1509433962264151,0.09523809523809523,LR,0.1,PGD_eps0.5_it25,,50,200,PGD,0.5,25.0,
0.87,0.9416058394160584,0.8775510204081632,0.9084507042253521,0.1509433962264151,0.12244897959183673,LR,0.1,PGD_eps0.75_it10,,50,200,PGD,0.75,10.0,
0.885,0.9492753623188406,0.891156462585034,0.9192982456140351,0.1320754716981132,0.10884353741496598,LR,0.1,PGD_eps0.75_it25,,50,200,PGD,0.75,25.0,
0.905,0.9444444444444444,0.9251700680272109,0.9347079037800687,0.1509433962264151,0.07482993197278912,LR,0.1,CW_c0.0_it10,,50,200,CW,,10.0,0.0
0.905,0.9444444444444444,0.9251700680272109,0.9347079037800687,0.1509433962264151,0.07482993197278912,LR,0.1,CW_c0.5_it10,,50,200,CW,,10.0,0.5
0.915,0.9577464788732394,0.9251700680272109,0.9411764705882353,0.11320754716981132,0.07482993197278912,SVM,0.1,Clean,0.0001531195640563965,50,200,,,,
0.915,0.9577464788732394,0.9251700680272109,0.9411764705882353,0.11320754716981132,0.07482993197278912,SVM,0.1,FGSM_eps0.15,,50,200,FGSM,0.15,1.0,
0.825,0.9444444444444444,0.8095238095238095,0.8717948717948718,0.1320754716981132,0.19047619047619047,SVM,0.1,FGSM_eps0.3,,50,200,FGSM,0.3,1.0,
0.82,0.944,0.8027210884353742,0.8676470588235294,0.1320754716981132,0.19727891156462585,SVM,0.1,FGSM_eps0.5,,50,200,FGSM,0.5,1.0,
0.815,0.9435483870967742,0.7959183673469388,0.8634686346863468,0.1320754716981132,0.20408163265306123,SVM,0.1,FGSM_eps0.75,,50,200,FGSM,0.75,1.0,
0.91,0.9448275862068966,0.9319727891156463,0.9383561643835616,0.1509433962264151,0.06802721088435375,SVM,0.1,PGD_eps0.15_it10,,50,200,PGD,0.15,10.0,
0.91,0.9448275862068966,0.9319727891156463,0.9383561643835616,0.1509433962264151,0.06802721088435375,SVM,0.1,PGD_eps0.15_it25,,50,200,PGD,0.15,25.0,
0.89,0.9496402877697842,0.8979591836734694,0.9230769230769231,0.1320754716981132,0.10204081632653061,SVM,0.1,PGD_eps0.3_it10,,50,200,PGD,0.3,10.0,
0.885,0.9492753623188406,0.891156462585034,0.9192982456140351,0.1320754716981132,0.10884353741496598,SVM,0.1,PGD_eps0.3_it25,,50,200,PGD,0.3,25.0,
0.885,0.9558823529411765,0.8843537414965986,0.9187279151943463,0.11320754716981132,0.11564625850340136,SVM,0.1,PGD_eps0.5_it10,,50,200,PGD,0.5,10.0,
0.885,0.9492753623188406,0.891156462585034,0.9192982456140351,0.1320754716981132,0.10884353741496598,SVM,0.1,PGD_eps0.5_it25,,50,200,PGD,0.5,25.0,
0.86,0.9473684210526315,0.8571428571428571,0.9,0.1320754716981132,0.14285714285714285,SVM,0.1,PGD_eps0.75_it10,,50,200,PGD,0.75,10.0,
0.875,0.9420289855072463,0.8843537414965986,0.9122807017543859,0.1509433962264151,0.11564625850340136,SVM,0.1,PGD_eps0.75_it25,,50,200,PGD,0.75,25.0,
0.915,0.9577464788732394,0.9251700680272109,0.9411764705882353,0.11320754716981132,0.07482993197278912,SVM,0.1,CW_c0.0_it10,,50,200,CW,,10.0,0.0
0.91,0.951048951048951,0.9251700680272109,0.9379310344827586,0.1320754716981132,0.07482993197278912,SVM,0.1,CW_c0.5_it10,,50,200,CW,,10.0,0.5
0.43,1.0,0.22448979591836735,0.36666666666666664,0.0,0.7755102040816326,RF,0.1,Clean,0.005387225151062012,50,200,,,,
0.19,0.2222222222222222,0.04081632653061224,0.06896551724137931,0.39622641509433965,0.9591836734693877,RF,0.1,FGSM_eps0.15,,50,200,FGSM,0.15,1.0,
0.265,0.5,0.17006802721088435,0.25380710659898476,0.4716981132075472,0.8299319727891157,RF,0.1,FGSM_eps0.3,,50,200,FGSM,0.3,1.0,
0.43,0.7088607594936709,0.38095238095238093,0.49557522123893805,0.4339622641509434,0.6190476190476191,RF,0.1,FGSM_eps0.5,,50,200,FGSM,0.5,1.0,
0.44,0.7058823529411765,0.40816326530612246,0.5172413793103449,0.4716981132075472,0.5918367346938775,RF,0.1,FGSM_eps0.75,,50,200,FGSM,0.75,1.0,
