model,n_samples,total_s,per_sample_ms,seed
LR,500,7.653236389160156e-05,0.0001530647277832,42
SVM,500,6.175041198730469e-05,0.0001235008239746,42
RF,500,0.0051500797271728,0.0103001594543457,42
MLP,500,0.0025944709777832,0.0051889419555664,42
LR,500,0.0001072883605957,0.0002145767211914,7
SVM,500,5.91278076171875e-05,0.0001182556152343,7
RF,500,0.0055577754974365,0.011115550994873,7
MLP,500,0.0095775127410888,0.0191550254821777,7
LR,500,9.298324584960938e-05,0.0001859664916992,123
SVM,500,5.7697296142578125e-05,0.0001153945922851,123
RF,500,0.0058012008666992,0.0116024017333984,123
MLP,500,0.0069470405578613,0.0138940811157226,123
LR,500,0.0001070499420166,0.0002140998840332,31
SVM,500,6.175041198730469e-05,0.0001235008239746,31
RF,500,0.0056333541870117,0.0112667083740234,31
MLP,500,0.0036358833312988,0.0072717666625976,31
LR,500,0.0001263618469238,0.0002527236938476,99
SVM,500,6.222724914550781e-05,0.000124454498291,99
RF,500,0.0067813396453857,0.0135626792907714,99
MLP,500,0.0041120052337646,0.0082240104675292,99
