accuracy,precision,recall,f1,fpr,fnr,model,sigma,eval_attack,smooth_s_per_sample,n0,n,family,epsilon,iters,confidence,seed
0.91,0.5,0.6111111111111112,0.55,0.0604395604395604,0.3888888888888889,LR,0.1,Clean,0.0001137387752532,50,200,,,,,42
0.22,0.0843373493975903,0.7777777777777778,0.1521739130434782,0.8351648351648352,0.2222222222222222,LR,0.1,FGSM_eps0.15,,50,200,FGSM,0.15,1.0,,42
0.185,0.0552147239263803,0.5,0.0994475138121546,0.8461538461538461,0.5,LR,0.1,FGSM_eps0.3,,50,200,FGSM,0.3,1.0,,42
0.185,0.0552147239263803,0.5,0.0994475138121546,0.8461538461538461,0.5,LR,0.1,FGSM_eps0.5,,50,200,FGSM,0.5,1.0,,42
0.185,0.0552147239263803,0.5,0.0994475138121546,0.8461538461538461,0.5,LR,0.1,FGSM_eps0.75,,50,200,FGSM,0.75,1.0,,42
0.235,0.0909090909090909,0.8333333333333334,0.1639344262295081,0.8241758241758241,0.1666666666666666,LR,0.1,PGD_eps0.15_it10,,50,200,PGD,0.15,10.0,,42
0.235,0.0909090909090909,0.8333333333333334,0.1639344262295081,0.8241758241758241,0.1666666666666666,LR,0.1,PGD_eps0.15_it25,,50,200,PGD,0.15,25.0,,42
0.185,0.0552147239263803,0.5,0.0994475138121546,0.8461538461538461,0.5,LR,0.1,PGD_eps0.3_it10,,50,200,PGD,0.3,10.0,,42
0.19,0.0609756097560975,0.5555555555555556,0.1098901098901098,0.8461538461538461,0.4444444444444444,LR,0.1,PGD_eps0.3_it25,,50,200,PGD,0.3,25.0,,42
0.18,0.0493827160493827,0.4444444444444444,0.0888888888888888,0.8461538461538461,0.5555555555555556,LR,0.1,PGD_eps0.5_it10,,50,200,PGD,0.5,10.0,,42
0.185,0.0496894409937888,0.4444444444444444,0.0893854748603352,0.8406593406593407,0.5555555555555556,LR,0.1,PGD_eps0.5_it25,,50,200,PGD,0.5,25.0,,42
0.185,0.0496894409937888,0.4444444444444444,0.0893854748603352,0.8406593406593407,0.5555555555555556,LR,0.1,PGD_eps0.75_it10,,50,200,PGD,0.75,10.0,,42
0.185,0.0496894409937888,0.4444444444444444,0.0893854748603352,0.8406593406593407,0.5555555555555556,LR,0.1,PGD_eps0.75_it25,,50,200,PGD,0.75,25.0,,42
0.4,0.0446428571428571,0.2777777777777778,0.0769230769230769,0.5879120879120879,0.7222222222222222,LR,0.1,CW_c0.0_it10,,50,200,CW,,10.0,0.0,42
0.275,0.0431654676258992,0.3333333333333333,0.0764331210191082,0.7307692307692307,0.6666666666666666,LR,0.1,CW_c0.5_it10,,50,200,CW,,10.0,0.5,42
0.91,0.5,0.6111111111111112,0.55,0.0604395604395604,0.3888888888888889,SVM,0.1,Clean,0.0001404988765716,50,200,,,,,42
0.17,0.0375,0.3333333333333333,0.0674157303370786,0.8461538461538461,0.6666666666666666,SVM,0.1,FGSM_eps0.15,,50,200,FGSM,0.15,1.0,,42
0.165,0.0314465408805031,0.2777777777777778,0.0564971751412429,0.8461538461538461,0.7222222222222222,SVM,0.1,FGSM_eps0.3,,50,200,FGSM,0.3,1.0,,42
0.165,0.0314465408805031,0.2777777777777778,0.0564971751412429,0.8461538461538461,0.7222222222222222,SVM,0.1,FGSM_eps0.5,,50,200,FGSM,0.5,1.0,,42
0.165,0.0314465408805031,0.2777777777777778,0.0564971751412429,0.8461538461538461,0.7222222222222222,SVM,0.1,FGSM_eps0.75,,50,200,FGSM,0.75,1.0,,42
0.17,0.0375,0.3333333333333333,0.0674157303370786,0.8461538461538461,0.6666666666666666,SVM,0.1,PGD_eps0.15_it10,,50,200,PGD,0.15,10.0,,42
0.17,0.0375,0.3333333333333333,0.0674157303370786,0.8461538461538461,0.6666666666666666,SVM,0.1,PGD_eps0.15_it25,,50,200,PGD,0.15,25.0,,42
0.165,0.0314465408805031,0.2777777777777778,0.0564971751412429,0.8461538461538461,0.7222222222222222,SVM,0.1,PGD_eps0.3_it10,,50,200,PGD,0.3,10.0,,42
0.165,0.0314465408805031,0.2777777777777778,0.0564971751412429,0.8461538461538461,0.7222222222222222,SVM,0.1,PGD_eps0.3_it25,,50,200,PGD,0.3,25.0,,42
0.165,0.0314465408805031,0.2777777777777778,0.0564971751412429,0.8461538461538461,0.7222222222222222,SVM,0.1,PGD_eps0.5_it10,,50,200,PGD,0.5,10.0,,42
0.165,0.0314465408805031,0.2777777777777778,0.0564971751412429,0.8461538461538461,0.7222222222222222,SVM,0.1,PGD_eps0.5_it25,,50,200,PGD,0.5,25.0,,42
0.165,0.0314465408805031,0.2777777777777778,0.0564971751412429,0.8461538461538461,0.7222222222222222,SVM,0.1,PGD_eps0.75_it10,,50,200,PGD,0.75,10.0,,42
0.165,0.0314465408805031,0.2777777777777778,0.0564971751412429,0.8461538461538461,0.7222222222222222,SVM,0.1,PGD_eps0.75_it25,,50,200,PGD,0.75,25.0,,42
0.225,0.0141843971631205,0.1111111111111111,0.0251572327044025,0.7637362637362637,0.8888888888888888,SVM,0.1,CW_c0.0_it10,,50,200,CW,,10.0,0.0,42
0.18,0.032051282051282,0.2777777777777778,0.057471264367816,0.8296703296703297,0.7222222222222222,SVM,0.1,CW_c0.5_it10,,50,200,CW,,10.0,0.5,42
0.96,1.0,0.5555555555555556,0.7142857142857143,0.0,0.4444444444444444,RF,0.1,Clean,0.0047231316566467,50,200,,,,,42
0.89,0.0,0.0,0.0,0.0219780219780219,1.0,RF,0.1,FGSM_eps0.15,,50,200,FGSM,0.15,1.0,,42
