accuracy,precision,recall,f1,fpr,fnr,model,attack,asr,elapsed_s,n_samples,n_eligible,median_queries_success,query_budget_exhausted,numerical_stagnation,seed
0.325,0.0165289256198347,0.1111111111111111,0.0287769784172661,0.6538461538461539,0.8888888888888888,RF,HopSkipJump_whitebox,0.7237569060773481,41.39823913574219,200,181,571.0,0,0,42
0.08,0.0439560439560439,0.4444444444444444,0.08,0.956043956043956,0.5555555555555556,SVM,HopSkipJump_whitebox,1.0,1.620335578918457,200,184,556.0,0,0,42
0.1,0.0449438202247191,0.4444444444444444,0.0816326530612244,0.934065934065934,0.5555555555555556,LR,HopSkipJump_whitebox,1.0,1.5239226818084717,200,180,557.0,0,0,42
0.12,0.0379746835443038,0.2,0.0638297872340425,0.8941176470588236,0.8,RF,HopSkipJump_whitebox,0.9510869565217392,48.0518114566803,200,184,567.0,0,0,7
0.1,0.0689655172413793,0.4,0.1176470588235294,0.9529411764705882,0.6,SVM,HopSkipJump_whitebox,1.0,1.5681111812591553,200,180,556.5,0,0,7
0.095,0.0635838150289017,0.3666666666666666,0.1083743842364532,0.9529411764705882,0.6333333333333333,LR,HopSkipJump_whitebox,1.0,1.599252700805664,200,181,557.0,0,0,7
0.28,0.0503597122302158,0.3684210526315789,0.0886075949367088,0.7292817679558011,0.631578947368421,RF,HopSkipJump_whitebox,0.7741935483870968,44.28016114234924,200,186,571.0,0,0,123
0.095,0.0549450549450549,0.5263157894736842,0.099502487562189,0.9502762430939228,0.4736842105263157,SVM,HopSkipJump_whitebox,1.0,1.581448316574097,200,181,557.0,0,0,123
0.09,0.0497237569060773,0.4736842105263157,0.09,0.9502762430939228,0.5263157894736842,LR,HopSkipJump_whitebox,1.0,1.613086223602295,200,182,556.0,0,0,123
0.23,0.0529801324503311,0.4210526315789473,0.0941176470588235,0.7900552486187845,0.5789473684210527,RF,HopSkipJump_whitebox,0.875,48.00946855545044,200,176,570.5,0,0,31
0.115,0.075268817204301,0.7368421052631579,0.1365853658536585,0.9502762430939228,0.2631578947368421,SVM,HopSkipJump_whitebox,1.0,1.5594708919525146,200,177,557.0,0,0,31
0.11,0.0702702702702702,0.6842105263157895,0.1274509803921568,0.9502762430939228,0.3157894736842105,LR,HopSkipJump_whitebox,1.0,1.549299955368042,200,178,556.0,0,0,31
0.3,0.0610687022900763,0.32,0.1025641025641025,0.7028571428571428,0.68,RF,HopSkipJump_whitebox,0.7554347826086957,43.42139267921448,200,184,572.0,0,0,99
0.125,0.0879120879120879,0.64,0.1545893719806763,0.9485714285714286,0.36,SVM,HopSkipJump_whitebox,1.0,1.6100311279296875,200,175,556.0,0,0,99
0.14,0.0893854748603352,0.64,0.1568627450980392,0.9314285714285714,0.36,LR,HopSkipJump_whitebox,1.0,1.87662410736084,200,172,557.0,0,0,99
