model,attack,n,n_detected_clean,asr,fnr_under_attack,family,epsilon,iters,traffic_family,confidence,seed
LR,FGSM_eps0.15,210,209,0.2440191387559808,0.2476190476190476,FGSM,0.15,1,Data Alteration,,42
LR,FGSM_eps0.15,199,23,0.782608695652174,0.5125628140703518,FGSM,0.15,1,Spoofing,,42
LR,FGSM_eps0.15,2855,0,,,FGSM,0.15,1,normal,,42
SVM,FGSM_eps0.15,210,207,0.9516908212560388,0.9523809523809524,FGSM,0.15,1,Data Alteration,,42
SVM,FGSM_eps0.15,199,22,0.7727272727272727,0.5125628140703518,FGSM,0.15,1,Spoofing,,42
SVM,FGSM_eps0.15,2855,0,,,FGSM,0.15,1,normal,,42
RF,FGSM_eps0.15,210,210,1.0,1.0,FGSM,0.15,1,Data Alteration,,42
RF,FGSM_eps0.15,199,86,1.0,0.9899497487437184,FGSM,0.15,1,Spoofing,,42
RF,FGSM_eps0.15,2855,0,,,FGSM,0.15,1,normal,,42
MLP,FGSM_eps0.15,210,210,0.119047619047619,0.119047619047619,FGSM,0.15,1,Data Alteration,,42
MLP,FGSM_eps0.15,199,103,1.0,0.5175879396984925,FGSM,0.15,1,Spoofing,,42
MLP,FGSM_eps0.15,2855,0,,,FGSM,0.15,1,normal,,42
LR,FGSM_eps0.3,210,209,0.6220095693779905,0.6238095238095238,FGSM,0.3,1,Data Alteration,,42
LR,FGSM_eps0.3,199,23,0.782608695652174,0.5125628140703518,FGSM,0.3,1,Spoofing,,42
LR,FGSM_eps0.3,2855,0,,,FGSM,0.3,1,normal,,42
SVM,FGSM_eps0.3,210,207,0.9758454106280192,0.9761904761904762,FGSM,0.3,1,Data Alteration,,42
SVM,FGSM_eps0.3,199,22,0.8181818181818182,0.5175879396984925,FGSM,0.3,1,Spoofing,,42
SVM,FGSM_eps0.3,2855,0,,,FGSM,0.3,1,normal,,42
RF,FGSM_eps0.3,210,210,1.0,1.0,FGSM,0.3,1,Data Alteration,,42
RF,FGSM_eps0.3,199,86,1.0,0.984924623115578,FGSM,0.3,1,Spoofing,,42
RF,FGSM_eps0.3,2855,0,,,FGSM,0.3,1,normal,,42
MLP,FGSM_eps0.3,210,210,0.7380952380952381,0.7380952380952381,FGSM,0.3,1,Data Alteration,,42
MLP,FGSM_eps0.3,199,103,1.0,0.5175879396984925,FGSM,0.3,1,Spoofing,,42
MLP,FGSM_eps0.3,2855,0,,,FGSM,0.3,1,normal,,42
LR,FGSM_eps0.5,210,209,0.6507177033492823,0.6523809523809524,FGSM,0.5,1,Data Alteration,,42
LR,FGSM_eps0.5,199,23,0.782608695652174,0.5125628140703518,FGSM,0.5,1,Spoofing,,42
LR,FGSM_eps0.5,2855,0,,,FGSM,0.5,1,normal,,42
SVM,FGSM_eps0.5,210,207,0.9758454106280192,0.9761904761904762,FGSM,0.5,1,Data Alteration,,42
SVM,FGSM_eps0.5,199,22,0.8181818181818182,0.5175879396984925,FGSM,0.5,1,Spoofing,,42
SVM,FGSM_eps0.5,2855,0,,,FGSM,0.5,1,normal,,42
RF,FGSM_eps0.5,210,210,1.0,1.0,FGSM,0.5,1,Data Alteration,,42
RF,FGSM_eps0.5,199,86,0.7906976744186046,0.7185929648241206,FGSM,0.5,1,Spoofing,,42
RF,FGSM_eps0.5,2855,0,,,FGSM,0.5,1,normal,,42
MLP,FGSM_eps0.5,210,210,0.8952380952380953,0.8952380952380953,FGSM,0.5,1,Data Alteration,,42
MLP,FGSM_eps0.5,199,103,1.0,0.5175879396984925,FGSM,0.5,1,Spoofing,,42
MLP,FGSM_eps0.5,2855,0,,,FGSM,0.5,1,normal,,42
LR,FGSM_eps0.75,210,209,0.6746411483253588,0.6761904761904762,FGSM,0.75,1,Data Alteration,,42
LR,FGSM_eps0.75,199,23,0.782608695652174,0.5125628140703518,FGSM,0.75,1,Spoofing,,42
LR,FGSM_eps0.75,2855,0,,,FGSM,0.75,1,normal,,42
SVM,FGSM_eps0.75,210,207,0.9758454106280192,0.9761904761904762,FGSM,0.75,1,Data Alteration,,42
SVM,FGSM_eps0.75,199,22,0.8181818181818182,0.5175879396984925,FGSM,0.75,1,Spoofing,,42
SVM,FGSM_eps0.75,2855,0,,,FGSM,0.75,1,normal,,42
RF,FGSM_eps0.75,210,210,1.0,1.0,FGSM,0.75,1,Data Alteration,,42
RF,FGSM_eps0.75,199,86,0.6511627906976745,0.5226130653266332,FGSM,0.75,1,Spoofing,,42
RF,FGSM_eps0.75,2855,0,,,FGSM,0.75,1,normal,,42
MLP,FGSM_eps0.75,210,210,0.961904761904762,0.961904761904762,FGSM,0.75,1,Data Alteration,,42
MLP,FGSM_eps0.75,199,103,1.0,0.5175879396984925,FGSM,0.75,1,Spoofing,,42
MLP,FGSM_eps0.75,2855,0,,,FGSM,0.75,1,normal,,42
LR,PGD_eps0.15_it10,210,209,0.1148325358851674,0.119047619047619,PGD,0.15,10,Data Alteration,,42
LR,PGD_eps0.15_it10,199,23,0.782608695652174,0.5226130653266332,PGD,0.15,10,Spoofing,,42
LR,PGD_eps0.15_it10,2855,0,,,PGD,0.15,10,normal,,42
SVM,PGD_eps0.15_it10,210,207,0.961352657004831,0.961904761904762,PGD,0.15,10,Data Alteration,,42
SVM,PGD_eps0.15_it10,199,22,0.8181818181818182,0.5175879396984925,PGD,0.15,10,Spoofing,,42
SVM,PGD_eps0.15_it10,2855,0,,,PGD,0.15,10,normal,,42
RF,PGD_eps0.15_it10,210,210,0.9952380952380953,0.9952380952380953,PGD,0.15,10,Data Alteration,,42
RF,PGD_eps0.15_it10,199,86,1.0,0.984924623115578,PGD,0.15,10,Spoofing,,42
RF,PGD_eps0.15_it10,2855,0,,,PGD,0.15,10,normal,,42
MLP,PGD_eps0.15_it10,210,210,0.2666666666666666,0.2666666666666666,PGD,0.15,10,Data Alteration,,42
MLP,PGD_eps0.15_it10,199,103,1.0,0.5175879396984925,PGD,0.15,10,Spoofing,,42
MLP,PGD_eps0.15_it10,2855,0,,,PGD,0.15,10,normal,,42
LR,PGD_eps0.15_it25,210,209,0.1100478468899521,0.1142857142857142,PGD,0.15,25,Data Alteration,,42
LR,PGD_eps0.15_it25,199,23,0.782608695652174,0.5175879396984925,PGD,0.15,25,Spoofing,,42
LR,PGD_eps0.15_it25,2855,0,,,PGD,0.15,25,normal,,42
SVM,PGD_eps0.15_it25,210,207,0.961352657004831,0.961904761904762,PGD,0.15,25,Data Alteration,,42
SVM,PGD_eps0.15_it25,199,22,0.8181818181818182,0.5175879396984925,PGD,0.15,25,Spoofing,,42
SVM,PGD_eps0.15_it25,2855,0,,,PGD,0.15,25,normal,,42
RF,PGD_eps0.15_it25,210,210,0.9952380952380953,0.9952380952380953,PGD,0.15,25,Data Alteration,,42
RF,PGD_eps0.15_it25,199,86,1.0,0.984924623115578,PGD,0.15,25,Spoofing,,42
RF,PGD_eps0.15_it25,2855,0,,,PGD,0.15,25,normal,,42
MLP,PGD_eps0.15_it25,210,210,0.2666666666666666,0.2666666666666666,PGD,0.15,25,Data Alteration,,42
MLP,PGD_eps0.15_it25,199,103,1.0,0.5175879396984925,PGD,0.15,25,Spoofing,,42
MLP,PGD_eps0.15_it25,2855,0,,,PGD,0.15,25,normal,,42
LR,PGD_eps0.3_it10,210,209,0.5933014354066986,0.5952380952380952,PGD,0.3,10,Data Alteration,,42
LR,PGD_eps0.3_it10,199,23,0.782608695652174,0.5125628140703518,PGD,0.3,10,Spoofing,,42
LR,PGD_eps0.3_it10,2855,0,,,PGD,0.3,10,normal,,42
SVM,PGD_eps0.3_it10,210,207,0.9758454106280192,0.9761904761904762,PGD,0.3,10,Data Alteration,,42
SVM,PGD_eps0.3_it10,199,22,0.8181818181818182,0.5175879396984925,PGD,0.3,10,Spoofing,,42
SVM,PGD_eps0.3_it10,2855,0,,,PGD,0.3,10,normal,,42
RF,PGD_eps0.3_it10,210,210,1.0,1.0,PGD,0.3,10,Data Alteration,,42
RF,PGD_eps0.3_it10,199,86,1.0,0.984924623115578,PGD,0.3,10,Spoofing,,42
RF,PGD_eps0.3_it10,2855,0,,,PGD,0.3,10,normal,,42
MLP,PGD_eps0.3_it10,210,210,0.8428571428571429,0.8428571428571429,PGD,0.3,10,Data Alteration,,42
MLP,PGD_eps0.3_it10,199,103,1.0,0.5175879396984925,PGD,0.3,10,Spoofing,,42
MLP,PGD_eps0.3_it10,2855,0,,,PGD,0.3,10,normal,,42
LR,PGD_eps0.3_it25,210,209,0.5550239234449761,0.5571428571428572,PGD,0.3,25,Data Alteration,,42
LR,PGD_eps0.3_it25,199,23,0.782608695652174,0.5125628140703518,PGD,0.3,25,Spoofing,,42
LR,PGD_eps0.3_it25,2855,0,,,PGD,0.3,25,normal,,42
