accuracy,precision,recall,f1,fpr,fnr,model,attack,asr,train_s,family,epsilon,iters,confidence,n_samples,n_eligible,mean_l2,median_queries_success,query_budget_exhausted,numerical_stagnation,elapsed_s,seed
0.9224877450980392,0.6529411764705882,0.8141809290953546,0.7247007616974973,0.0619964973730297,0.1858190709046454,XGB,clean,0.0,0.2158374786376953,,,,,,,,,,,,42
0.7411151960784313,0.1317567567567567,0.1907090464547677,0.1558441558441558,0.1800350262697022,0.8092909535452323,XGB,FGSM_eps0.15,0.2356004901960784,0.2158374786376953,FGSM,0.15,1.0,,,,,,,,,42
0.6308210784313726,0.0607064017660044,0.1344743276283618,0.0836501901140684,0.2980735551663748,0.8655256723716381,XGB,FGSM_eps0.3,0.3455882352941176,0.2158374786376953,FGSM,0.3,1.0,,,,,,,,,42
0.3259803921568627,0.0357698289269051,0.1687041564792176,0.0590248075278015,0.6514886164623468,0.8312958435207825,XGB,FGSM_eps0.5,0.6421568627450981,0.2158374786376953,FGSM,0.5,1.0,,,,,,,,,42
0.1590073529411764,0.0394321766561514,0.2444987775061124,0.0679117147707979,0.8532399299474606,0.7555012224938875,XGB,FGSM_eps0.75,0.7990196078431373,0.2158374786376953,FGSM,0.75,1.0,,,,,,,,,42
0.7564338235294118,0.1503623188405797,0.2029339853300733,0.1727367325702393,0.1642732049036777,0.7970660146699267,XGB,PGD_eps0.15_it10,0.2166053921568627,0.2158374786376953,PGD,0.15,10.0,,,,,,,,,42
0.7383578431372549,0.1370309951060359,0.2053789731051344,0.1643835616438356,0.1852889667250437,0.7946210268948656,XGB,PGD_eps0.15_it25,0.234375,0.2158374786376953,PGD,0.15,25.0,,,,,,,,,42
0.6966911764705882,0.0925666199158485,0.1613691931540342,0.1176470588235294,0.2266199649737303,0.8386308068459658,XGB,PGD_eps0.3_it10,0.2732843137254901,0.2158374786376953,PGD,0.3,10.0,,,,,,,,,42
0.6629901960784313,0.0822249093107617,0.1662591687041564,0.1100323624595469,0.2658493870402802,0.8337408312958435,XGB,PGD_eps0.3_it25,0.3066789215686274,0.2158374786376953,PGD,0.3,25.0,,,,,,,,,42
0.4589460784313725,0.0497677504976775,0.1833740831295843,0.0782881002087682,0.5015761821366025,0.8166259168704156,XGB,PGD_eps0.5_it10,0.5088848039215687,0.2158374786376953,PGD,0.5,10.0,,,,,,,,,42
0.4368872549019608,0.0514752040175769,0.2004889975550122,0.0819180819180819,0.5292469352014011,0.7995110024449877,XGB,PGD_eps0.5_it25,0.5337009803921569,0.2158374786376953,PGD,0.5,25.0,,,,,,,,,42
0.3072916666666667,0.0360721442885771,0.1760391198044009,0.0598752598752598,0.6739054290718038,0.823960880195599,XGB,PGD_eps0.75_it10,0.6657475490196079,0.2158374786376953,PGD,0.75,10.0,,,,,,,,,42
0.2316176470588235,0.0354138999557326,0.19559902200489,0.0599700149925037,0.7632224168126095,0.80440097799511,XGB,PGD_eps0.75_it25,0.7371323529411765,0.2158374786376953,PGD,0.75,25.0,,,,,,,,,42
0.7861519607843137,0.2258064516129032,0.2909535452322738,0.2542735042735042,0.1429071803852889,0.7090464547677262,XGB,CW_c0.0_it10,0.1798406862745098,0.2158374786376953,CW,,10.0,0.0,,,,,,,,42
0.7956495098039216,0.2183406113537118,0.2444987775061124,0.2306805074971165,0.1253940455341506,0.7555012224938875,XGB,CW_c0.5_it10,0.1740196078431372,0.2158374786376953,CW,,10.0,0.5,,,,,,,,42
0.17,0.1764705882352941,0.18,0.1782178217821782,0.84,0.82,XGB,HopSkipJump_direct,0.9746835443037974,,,,,,100.0,79.0,0.371763527393341,564.0,0.0,7.0,4.355502843856812,42
0.9243259803921569,0.6639676113360324,0.8019559902200489,0.7264673311184939,0.0581436077057793,0.1980440097799511,LGBM,clean,0.0,0.136852741241455,,,,,,,,,,,,42
0.7840073529411765,0.1,0.0904645476772616,0.0949935815147625,0.1166374781085814,0.9095354523227384,LGBM,FGSM_eps0.15,0.190563725490196,0.136852741241455,FGSM,0.15,1.0,,,,,,,,,42
0.5664828431372549,0.0325278810408921,0.0855745721271393,0.0471380471380471,0.3646234676007005,0.9144254278728606,LGBM,FGSM_eps0.3,0.4096200980392157,0.136852741241455,FGSM,0.3,1.0,,,,,,,,,42
0.3051470588235294,0.0331491712707182,0.1613691931540342,0.055,0.6742556917688266,0.8386308068459658,LGBM,FGSM_eps0.5,0.6611519607843137,0.136852741241455,FGSM,0.5,1.0,,,,,,,,,42
0.2141544117647058,0.036144578313253,0.2053789731051344,0.0614709110867178,0.7845884413309983,0.7946210268948656,LGBM,FGSM_eps0.75,0.7426470588235294,0.136852741241455,FGSM,0.75,1.0,,,,,,,,,42
0.7815563725490197,0.1363636363636363,0.1393643031784841,0.1378476420798065,0.1264448336252189,0.8606356968215159,LGBM,PGD_eps0.15_it10,0.190563725490196,0.136852741241455,PGD,0.15,10.0,,,,,,,,,42
0.7714460784313726,0.1108545034642032,0.1173594132029339,0.1140142517814726,0.1348511383537653,0.882640586797066,LGBM,PGD_eps0.15_it25,0.2034313725490196,0.136852741241455,PGD,0.15,25.0,,,,,,,,,42
0.6161151960784313,0.0529661016949152,0.1222493887530562,0.0739098300073909,0.3131348511383537,0.8777506112469438,LGBM,PGD_eps0.3_it10,0.3517156862745098,0.136852741241455,PGD,0.3,10.0,,,,,,,,,42
0.5848651960784313,0.0512333965844402,0.1320293398533007,0.073820915926179,0.3502626970227671,0.8679706601466992,LGBM,PGD_eps0.3_it25,0.3854166666666667,0.136852741241455,PGD,0.3,25.0,,,,,,,,,42
0.4436274509803921,0.033178500331785,0.1222493887530562,0.0521920668058455,0.5103327495621717,0.8777506112469438,LGBM,PGD_eps0.5_it10,0.5284926470588235,0.136852741241455,PGD,0.5,10.0,,,,,,,,,42
0.4424019607843137,0.0355497037524687,0.1320293398533007,0.0560165975103734,0.5131348511383538,0.8679706601466992,LGBM,PGD_eps0.5_it25,0.5324754901960784,0.136852741241455,PGD,0.5,25.0,,,,,,,,,42
0.4025735294117647,0.0377924415116976,0.1540342298288508,0.0606936416184971,0.5618213660245184,0.8459657701711492,LGBM,PGD_eps0.75_it10,0.5692401960784313,0.136852741241455,PGD,0.75,10.0,,,,,,,,,42
0.4034926470588235,0.0350665054413542,0.1418092909535452,0.0562287930198739,0.5590192644483363,0.8581907090464548,LGBM,PGD_eps0.75_it25,0.5707720588235294,0.136852741241455,PGD,0.75,25.0,,,,,,,,,42
0.8030024509803921,0.227906976744186,0.2396088019559902,0.233611442193087,0.1162872154115586,0.7603911980440098,LGBM,CW_c0.0_it10,0.1672794117647058,0.136852741241455,CW,,10.0,0.0,,,,,,,,42
0.8186274509803921,0.2363112391930835,0.2004889975550122,0.2169312169312169,0.0928196147110332,0.7995110024449877,LGBM,CW_c0.5_it10,0.1550245098039215,0.136852741241455,CW,,10.0,0.5,,,,,,,,42
0.22,0.22,0.22,0.22,0.78,0.78,LGBM,HopSkipJump_direct,0.925,,,,,,100.0,80.0,0.7343261241912842,564.0,0.0,0.0,5.751957178115845,42
0.9283088235294118,0.6881720430107527,0.78239608801956,0.7322654462242563,0.0507880910683012,0.2176039119804401,XGB,clean,0.0,0.2198672294616699,,,,,,,,,,,,7
0.7215073529411765,0.1811224489795918,0.3471882640586797,0.2380553227158424,0.2248686514886164,0.6528117359413202,XGB,FGSM_eps0.15,0.2518382352941176,0.2198672294616699,FGSM,0.15,1.0,,,,,,,,,7
0.6078431372549019,0.1108132260947274,0.3031784841075794,0.1623036649214659,0.3485113835376532,0.6968215158924206,XGB,FGSM_eps0.3,0.3651960784313725,0.2198672294616699,FGSM,0.3,1.0,,,,,,,,,7
0.3826593137254901,0.0612021857923497,0.2738386308068459,0.100044662795891,0.6017513134851138,0.726161369193154,XGB,FGSM_eps0.5,0.5885416666666666,0.2198672294616699,FGSM,0.5,1.0,,,,,,,,,7
0.1688112745098039,0.0446640316205533,0.2762836185819071,0.0768969037087444,0.8465849387040281,0.7237163814180929,XGB,FGSM_eps0.75,0.8051470588235294,0.2198672294616699,FGSM,0.75,1.0,,,,,,,,,7
