model,max_iter,max_eval,approx_queries,n_samples,n_eligible,asr,adv_accuracy,mean_l2,median_queries_success,query_budget_exhausted,numerical_stagnation,elapsed_s,seed
LR,5,100,500,200,143,1.0,0.285,0.2097221612930297,228.0,0,0,0.815201997756958,42
LR,10,200,2000,200,143,1.0,0.285,0.189828410744667,557.0,0,0,1.458479404449463,42
LR,20,500,10000,200,143,1.0,0.285,0.1789268553256988,1437.0,0,0,2.7235703468322754,42
LR,40,1000,40000,200,143,1.0,0.285,0.1720759570598602,3824.0,0,0,5.4805989265441895,42
SVM,5,100,500,200,143,1.0,0.285,0.1183413565158844,227.0,0,0,0.8638210296630859,42
SVM,10,200,2000,200,143,1.0,0.285,0.1112747937440872,556.0,0,0,1.5212516784667969,42
SVM,20,500,10000,200,143,1.0,0.285,0.107450932264328,1436.0,0,0,2.907226085662842,42
SVM,40,1000,40000,200,143,1.0,0.285,0.1047720536589622,3823.0,0,0,5.547009706497192,42
RF,5,100,500,200,154,0.8116883116883117,0.32,1.2477093935012815,230.0,0,1,24.786015272140503,42
RF,10,200,2000,200,154,0.8116883116883117,0.32,0.7611802816390991,563.0,0,1,42.372750997543335,42
RF,20,500,10000,200,154,0.8116883116883117,0.32,0.5207762718200684,1447.0,0,1,78.92904853820801,42
RF,40,1000,40000,200,154,0.8116883116883117,0.32,0.3993394374847412,3838.0,0,1,149.61025547981262,42
LR,5,100,500,200,144,1.0,0.28,0.8923723101615906,227.0,0,0,0.8571851253509521,7
LR,10,200,2000,200,144,1.0,0.28,0.8486378192901611,556.0,0,0,1.508387565612793,7
LR,20,500,10000,200,144,1.0,0.28,0.8305149674415588,1436.0,0,0,2.844325304031372,7
LR,40,1000,40000,200,144,1.0,0.28,0.8175700902938843,3823.0,0,0,5.757878303527832,7
SVM,5,100,500,200,144,1.0,0.28,0.7443762421607971,228.0,0,0,0.8733229637145996,7
SVM,10,200,2000,200,144,1.0,0.28,0.7301610708236694,557.0,0,0,1.5592591762542725,7
SVM,20,500,10000,200,144,1.0,0.28,0.7223308086395264,1437.0,0,0,2.9307711124420166,7
SVM,40,1000,40000,200,144,1.0,0.28,0.7178044319152832,3824.0,0,0,5.70311164855957,7
RF,5,100,500,200,162,0.9567901234567902,0.22,2.0784213542938232,230.0,0,0,27.062292098999023,7
RF,10,200,2000,200,162,0.9567901234567902,0.22,1.3649532794952393,562.0,0,0,47.78225755691528,7
RF,20,500,10000,200,162,0.9567901234567902,0.22,1.0346360206604004,1446.0,0,0,87.96853542327881,7
RF,40,1000,40000,200,162,0.9567901234567902,0.22,0.8781441450119019,3840.0,0,0,171.63237690925598,7
LR,5,100,500,200,140,1.0,0.3,0.2322741746902465,228.0,0,0,0.8255600929260254,123
LR,10,200,2000,200,140,1.0,0.3,0.1996024698019027,557.0,0,0,1.461709976196289,123
LR,20,500,10000,200,140,1.0,0.3,0.1839766502380371,1437.0,0,0,2.757974624633789,123
LR,40,1000,40000,200,140,1.0,0.3,0.1746797114610672,3824.0,0,0,5.595305919647217,123
SVM,5,100,500,200,140,1.0,0.3,0.0763182640075683,228.0,0,0,0.9388320446014404,123
SVM,10,200,2000,200,140,1.0,0.3,0.0655974447727203,557.0,0,0,1.616760015487671,123
SVM,20,500,10000,200,140,1.0,0.3,0.0605215653777122,1437.0,0,0,2.8184564113616943,123
SVM,40,1000,40000,200,140,1.0,0.3,0.0573282614350318,3824.0,0,0,5.593313932418823,123
RF,5,100,500,200,158,0.8607594936708861,0.285,1.8746097087860107,232.0,0,0,25.48261976242065,123
RF,10,200,2000,200,158,0.8607594936708861,0.285,0.9859073162078856,563.0,0,0,43.97496676445007,123
RF,20,500,10000,200,158,0.8607594936708861,0.285,0.5630354881286621,1448.0,0,0,80.14292693138123,123
RF,40,1000,40000,200,158,0.8607594936708861,0.285,0.2931236922740936,3847.5,0,0,156.95251750946045,123
LR,5,100,500,200,143,1.0,0.285,0.2113413959741592,228.0,0,0,0.8214306831359863,31
LR,10,200,2000,200,143,1.0,0.285,0.1780964434146881,557.0,0,0,1.4561936855316162,31
LR,20,500,10000,200,143,1.0,0.285,0.1636216044425964,1437.0,0,0,2.7441635131835938,31
LR,40,1000,40000,200,143,1.0,0.285,0.1550800651311874,3824.0,0,0,5.582826375961304,31
SVM,5,100,500,200,142,1.0,0.29,0.1126728057861328,228.0,0,0,0.8485550880432129,31
SVM,10,200,2000,200,142,1.0,0.29,0.0952985659241676,557.0,0,0,1.5352091789245603,31
SVM,20,500,10000,200,142,1.0,0.29,0.0875156000256538,1437.0,0,0,2.9580636024475098,31
SVM,40,1000,40000,200,142,1.0,0.29,0.0828670710325241,3824.0,0,0,5.723063230514526,31
RF,5,100,500,200,164,0.951219512195122,0.195,1.8013149499893188,232.0,0,0,26.937628030776978,31
RF,10,200,2000,200,164,0.951219512195122,0.195,0.9205090403556824,564.0,0,0,46.62208151817322,31
RF,20,500,10000,200,164,0.951219512195122,0.195,0.5152196288108826,1451.0,0,0,88.03521275520325,31
RF,40,1000,40000,200,164,0.945121951219512,0.2,0.3053455650806427,3849.0,0,1,172.75663876533508,31
LR,5,100,500,200,140,1.0,0.3,0.3868019878864288,227.5,0,0,0.8222792148590088,99
LR,10,200,2000,200,140,1.0,0.3,0.3586266338825226,556.5,0,0,1.454921007156372,99
LR,20,500,10000,200,140,1.0,0.3,0.3405696451663971,1436.5,0,0,2.7257838249206543,99
LR,40,1000,40000,200,140,1.0,0.3,0.3290370106697082,3823.5,0,0,5.486959457397461,99
SVM,5,100,500,200,141,1.0,0.295,0.2464161068201065,228.0,0,0,0.8626806735992432,99
SVM,10,200,2000,200,141,1.0,0.295,0.2372148633003235,557.0,0,0,1.5311269760131836,99
SVM,20,500,10000,200,141,1.0,0.295,0.2329470813274383,1437.0,0,0,2.845889091491699,99
SVM,40,1000,40000,200,141,1.0,0.295,0.2294476181268692,3824.0,0,0,5.646131753921509,99
RF,5,100,500,200,154,0.8116883116883117,0.325,1.6348395347595217,231.0,0,0,24.810017347335812,99
RF,10,200,2000,200,154,0.8116883116883117,0.325,0.9120938777923584,562.0,0,0,42.06186532974243,99
RF,20,500,10000,200,154,0.8051948051948052,0.33,0.5916334390640259,1450.0,0,1,77.57288646697998,99
RF,40,1000,40000,200,154,0.8051948051948052,0.33,0.4515323936939239,3843.5,0,1,151.75764513015747,99
