model,attack,n,n_detected_clean,asr,fnr_under_attack,family,epsilon,iters,traffic_family,confidence
LR,FGSM_eps0.15,181,179,0.00558659217877095,0.0055248618784530384,FGSM,0.15,1,Data Alteration,
LR,FGSM_eps0.15,228,34,0.5294117647058824,0.4692982456140351,FGSM,0.15,1,Spoofing,
LR,FGSM_eps0.15,2855,0,,,FGSM,0.15,1,normal,
SVM,FGSM_eps0.15,181,179,0.5027932960893855,0.5027624309392266,FGSM,0.15,1,Data Alteration,
SVM,FGSM_eps0.15,228,29,0.7931034482758621,0.4166666666666667,FGSM,0.15,1,Spoofing,
SVM,FGSM_eps0.15,2855,0,,,FGSM,0.15,1,normal,
RF,FGSM_eps0.15,181,180,0.9277777777777778,0.9226519337016574,FGSM,0.15,1,Data Alteration,
RF,FGSM_eps0.15,228,92,1.0,0.9956140350877193,FGSM,0.15,1,Spoofing,
RF,FGSM_eps0.15,2855,0,,,FGSM,0.15,1,normal,
MLP,FGSM_eps0.15,181,179,0.3240223463687151,0.3259668508287293,FGSM,0.15,1,Data Alteration,
MLP,FGSM_eps0.15,228,95,0.9789473684210527,0.40789473684210525,FGSM,0.15,1,Spoofing,
MLP,FGSM_eps0.15,2855,0,,,FGSM,0.15,1,normal,
LR,FGSM_eps0.3,181,179,0.15083798882681565,0.14917127071823205,FGSM,0.3,1,Data Alteration,
LR,FGSM_eps0.3,228,34,0.5588235294117647,0.39473684210526316,FGSM,0.3,1,Spoofing,
LR,FGSM_eps0.3,2855,0,,,FGSM,0.3,1,normal,
SVM,FGSM_eps0.3,181,179,0.8547486033519553,0.850828729281768,FGSM,0.3,1,Data Alteration,
SVM,FGSM_eps0.3,228,29,0.7931034482758621,0.4166666666666667,FGSM,0.3,1,Spoofing,
SVM,FGSM_eps0.3,2855,0,,,FGSM,0.3,1,normal,
RF,FGSM_eps0.3,181,180,0.9444444444444444,0.9392265193370166,FGSM,0.3,1,Data Alteration,
RF,FGSM_eps0.3,228,92,1.0,0.9868421052631579,FGSM,0.3,1,Spoofing,
RF,FGSM_eps0.3,2855,0,,,FGSM,0.3,1,normal,
MLP,FGSM_eps0.3,181,179,0.7653631284916201,0.7624309392265194,FGSM,0.3,1,Data Alteration,
MLP,FGSM_eps0.3,228,95,1.0,0.4166666666666667,FGSM,0.3,1,Spoofing,
MLP,FGSM_eps0.3,2855,0,,,FGSM,0.3,1,normal,
LR,FGSM_eps0.5,181,179,0.31843575418994413,0.3149171270718232,FGSM,0.5,1,Data Alteration,
LR,FGSM_eps0.5,228,34,0.6176470588235294,0.40350877192982454,FGSM,0.5,1,Spoofing,
LR,FGSM_eps0.5,2855,0,,,FGSM,0.5,1,normal,
SVM,FGSM_eps0.5,181,179,0.8659217877094972,0.861878453038674,FGSM,0.5,1,Data Alteration,
SVM,FGSM_eps0.5,228,29,0.7931034482758621,0.4166666666666667,FGSM,0.5,1,Spoofing,
SVM,FGSM_eps0.5,2855,0,,,FGSM,0.5,1,normal,
RF,FGSM_eps0.5,181,180,0.9722222222222222,0.9668508287292817,FGSM,0.5,1,Data Alteration,
RF,FGSM_eps0.5,228,92,0.967391304347826,0.9254385964912281,FGSM,0.5,1,Spoofing,
RF,FGSM_eps0.5,2855,0,,,FGSM,0.5,1,normal,
MLP,FGSM_eps0.5,181,179,0.9106145251396648,0.9005524861878453,FGSM,0.5,1,Data Alteration,
MLP,FGSM_eps0.5,228,95,1.0,0.4166666666666667,FGSM,0.5,1,Spoofing,
MLP,FGSM_eps0.5,2855,0,,,FGSM,0.5,1,normal,
LR,FGSM_eps0.75,181,179,0.5083798882681564,0.5027624309392266,FGSM,0.75,1,Data Alteration,
LR,FGSM_eps0.75,228,34,0.6176470588235294,0.40350877192982454,FGSM,0.75,1,Spoofing,
LR,FGSM_eps0.75,2855,0,,,FGSM,0.75,1,normal,
SVM,FGSM_eps0.75,181,179,0.9050279329608939,0.9005524861878453,FGSM,0.75,1,Data Alteration,
SVM,FGSM_eps0.75,228,29,0.7931034482758621,0.4166666666666667,FGSM,0.75,1,Spoofing,
SVM,FGSM_eps0.75,2855,0,,,FGSM,0.75,1,normal,
RF,FGSM_eps0.75,181,180,0.9722222222222222,0.9668508287292817,FGSM,0.75,1,Data Alteration,
RF,FGSM_eps0.75,228,92,0.6956521739130435,0.5,FGSM,0.75,1,Spoofing,
RF,FGSM_eps0.75,2855,0,,,FGSM,0.75,1,normal,
MLP,FGSM_eps0.75,181,179,0.9329608938547486,0.9226519337016574,FGSM,0.75,1,Data Alteration,
MLP,FGSM_eps0.75,228,95,1.0,0.42105263157894735,FGSM,0.75,1,Spoofing,
MLP,FGSM_eps0.75,2855,0,,,FGSM,0.75,1,normal,
