model,max_iter,max_eval,approx_queries,n_samples,n_eligible,asr,adv_accuracy,mean_l2,median_queries_success,query_budget_exhausted,numerical_stagnation,elapsed_s
LR,5,100,500,200,144,1.0,0.28,0.8923723101615906,227.0,0,0,0.8571851253509521
LR,10,200,2000,200,144,1.0,0.28,0.8486378192901611,556.0,0,0,1.508387565612793
LR,20,500,10000,200,144,1.0,0.28,0.8305149674415588,1436.0,0,0,2.844325304031372
LR,40,1000,40000,200,144,1.0,0.28,0.8175700902938843,3823.0,0,0,5.757878303527832
SVM,5,100,500,200,144,1.0,0.28,0.7443762421607971,228.0,0,0,0.8733229637145996
SVM,10,200,2000,200,144,1.0,0.28,0.7301610708236694,557.0,0,0,1.5592591762542725
SVM,20,500,10000,200,144,1.0,0.28,0.7223308086395264,1437.0,0,0,2.9307711124420166
SVM,40,1000,40000,200,144,1.0,0.28,0.7178044319152832,3824.0,0,0,5.70311164855957
RF,5,100,500,200,162,0.9567901234567902,0.22,2.0784213542938232,230.0,0,0,27.062292098999023
RF,10,200,2000,200,162,0.9567901234567902,0.22,1.3649532794952393,562.0,0,0,47.78225755691528
RF,20,500,10000,200,162,0.9567901234567902,0.22,1.0346360206604004,1446.0,0,0,87.96853542327881
RF,40,1000,40000,200,162,0.9567901234567902,0.22,0.8781441450119019,3840.0,0,0,171.63237690925598
