accuracy,precision,recall,f1,fpr,fnr,model,sigma,eval_attack,smooth_s_per_sample,n0,n,family,epsilon,iters,confidence
0.88,0.5517241379310345,0.5925925925925926,0.5714285714285714,0.07514450867052024,0.4074074074074074,LR,0.1,Clean,0.00014292120933532716,50,200,,,,
0.395,0.14925373134328357,0.7407407407407407,0.2484472049689441,0.6589595375722543,0.25925925925925924,LR,0.1,FGSM_eps0.15,,50,200,FGSM,0.15,1.0,
0.265,0.07746478873239436,0.4074074074074074,0.1301775147928994,0.7572254335260116,0.5925925925925926,LR,0.1,FGSM_eps0.3,,50,200,FGSM,0.3,1.0,
0.185,0.04054054054054054,0.2222222222222222,0.06857142857142857,0.8208092485549133,0.7777777777777778,LR,0.1,FGSM_eps0.5,,50,200,FGSM,0.5,1.0,
0.17,0.039735099337748346,0.2222222222222222,0.06741573033707865,0.838150289017341,0.7777777777777778,LR,0.1,FGSM_eps0.75,,50,200,FGSM,0.75,1.0,
0.24,0.12121212121212122,0.7407407407407407,0.20833333333333334,0.838150289017341,0.25925925925925924,LR,0.1,PGD_eps0.15_it10,,50,200,PGD,0.15,10.0,
0.24,0.12121212121212122,0.7407407407407407,0.20833333333333334,0.838150289017341,0.25925925925925924,LR,0.1,PGD_eps0.15_it25,,50,200,PGD,0.15,25.0,
0.205,0.10240963855421686,0.6296296296296297,0.17616580310880828,0.861271676300578,0.37037037037037035,LR,0.1,PGD_eps0.3_it10,,50,200,PGD,0.3,10.0,
0.205,0.10240963855421686,0.6296296296296297,0.17616580310880828,0.861271676300578,0.37037037037037035,LR,0.1,PGD_eps0.3_it25,,50,200,PGD,0.3,25.0,
0.15,0.050314465408805034,0.2962962962962963,0.08602150537634409,0.8728323699421965,0.7037037037037037,LR,0.1,PGD_eps0.5_it10,,50,200,PGD,0.5,10.0,
0.145,0.04430379746835443,0.25925925925925924,0.07567567567567568,0.8728323699421965,0.7407407407407407,LR,0.1,PGD_eps0.5_it25,,50,200,PGD,0.5,25.0,
0.155,0.05063291139240506,0.2962962962962963,0.08648648648648649,0.8670520231213873,0.7037037037037037,LR,0.1,PGD_eps0.75_it10,,50,200,PGD,0.75,10.0,
0.155,0.05625,0.3333333333333333,0.0962566844919786,0.8728323699421965,0.6666666666666666,LR,0.1,PGD_eps0.75_it25,,50,200,PGD,0.75,25.0,
0.6,0.19540229885057472,0.6296296296296297,0.2982456140350877,0.4046242774566474,0.37037037037037035,LR,0.1,CW_c0.0_it10,,50,200,CW,,10.0,0.0
0.505,0.16037735849056603,0.6296296296296297,0.2556390977443609,0.5144508670520231,0.37037037037037035,LR,0.1,CW_c0.5_it10,,50,200,CW,,10.0,0.5
0.895,0.6071428571428571,0.6296296296296297,0.6181818181818182,0.06358381502890173,0.37037037037037035,SVM,0.1,Clean,0.00014794349670410156,50,200,,,,
0.16,0.05660377358490566,0.3333333333333333,0.0967741935483871,0.8670520231213873,0.6666666666666666,SVM,0.1,FGSM_eps0.15,,50,200,FGSM,0.15,1.0,
0.15,0.044585987261146494,0.25925925925925924,0.07608695652173914,0.8670520231213873,0.7407407407407407,SVM,0.1,FGSM_eps0.3,,50,200,FGSM,0.3,1.0,
0.15,0.044585987261146494,0.25925925925925924,0.07608695652173914,0.8670520231213873,0.7407407407407407,SVM,0.1,FGSM_eps0.5,,50,200,FGSM,0.5,1.0,
