dataset,feature,unit,std_dev_native,eps_0.15,eps_0.3,eps_0.5,eps_0.75
CSECICIDS2018,Flow IAT Mean,microseconds,3185812.915560396,477871.9373340594,955743.8746681188,1592906.457780198,2389359.686670297
CSECICIDS2018,Flow IAT Min,microseconds,960851.9469012122,144127.79203518183,288255.58407036366,480425.9734506061,720638.9601759091
CSECICIDS2018,Init Bwd Win Byts,bytes,18026.67573396876,2704.001360095314,5408.002720190628,9013.33786698438,13520.00680047657
CSECICIDS2018,Init Fwd Win Byts,bytes,16472.109095632495,2470.8163643448743,4941.632728689749,8236.054547816248,12354.081821724372
CSECICIDS2018,Fwd Act Data Pkts,packets,8247.141548728754,1237.071232309313,2474.142464618626,4123.570774364377,6185.356161546566
CSECICIDS2018,Dst Port,port number,4186.433752063858,627.9650628095787,1255.9301256191575,2093.216876031929,3139.8253140478937
TONIOT,src_bytes,bytes,17447545.236121353,2617131.7854182026,5234263.570836405,8723772.618060676,13085658.927091014
TONIOT,dst_bytes,bytes,15928602.82619206,2389290.423928809,4778580.847857618,7964301.41309603,11946452.119644046
TONIOT,dst_ip_bytes,bytes,28023.896669319704,4203.584500397956,8407.169000795911,14011.948334659852,21017.92250198978
TONIOT,src_ip_bytes,bytes,23466.73222955193,3520.0098344327894,7040.019668865579,11733.366114775965,17600.04917216395
TONIOT,src_port,port number,19294.738128615132,2894.21071929227,5788.42143858454,9647.369064307566,14471.053596461348
TONIOT,dst_port,port number,10199.421530268497,1529.9132295402744,3059.826459080549,5099.7107651342485,7649.566147701373
WUSTLEHMS2020,Load,bits/s,112178.63948657636,16826.795922986454,33653.59184597291,56089.31974328818,84133.97961493226
WUSTLEHMS2020,SrcLoad,bits/s,79063.26430187353,11859.489645281028,23718.979290562056,39531.63215093676,59297.44822640515
WUSTLEHMS2020,DstLoad,bits/s,48828.26200131243,7324.239300196865,14648.47860039373,24414.131000656216,36621.196500984326
WUSTLEHMS2020,SrcJitter,seconds,1226.3720589296217,183.95580883944325,367.9116176788865,613.1860294648109,919.7790441972163
WUSTLEHMS2020,Rate,per second,226.75944371771678,34.01391655765752,68.02783311531503,113.37972185885839,170.0695827882876
WUSTLEHMS2020,SIntPkt,packets,108.55471817881484,16.283207726822226,32.56641545364445,54.27735908940742,81.41603863411113
