dataset,seed,family,n_in_subsample,share_in_subsample,share_in_full_test
CSECICIDS2018,42,Benign,250,0.5,0.5439561933945586
CSECICIDS2018,42,DDoS-LOIC-HTTP,36,0.072,0.055193421756434546
CSECICIDS2018,42,Botnet Ares,26,0.052,0.055129960200538515
CSECICIDS2018,42,DoS Hulk,35,0.07,0.05484891616728466
CSECICIDS2018,42,SSH-BruteForce,22,0.044,0.054767322738275476
CSECICIDS2018,42,DDoS-HOIC,33,0.066,0.054549740260917655
CSECICIDS2018,42,Infiltration - NMAP Portscan,26,0.052,0.05436842152978613
CSECICIDS2018,42,FTP-BruteForce - Attempted,29,0.058,0.05299946510974316
CSECICIDS2018,42,DoS GoldenEye,23,0.046,0.040760450758365596
CSECICIDS2018,42,DoS Slowloris,5,0.01,0.014432970998068955
CSECICIDS2018,42,DoS GoldenEye - Attempted,6,0.012,0.007805771375211917
CSECICIDS2018,42,DDoS-LOIC-UDP,3,0.006,0.0045511001514011405
CSECICIDS2018,42,DoS Slowloris - Attempted,4,0.008,0.00421566049880783
CSECICIDS2018,42,Botnet Ares - Attempted,0,0.0,0.0005439561933945587
CSECICIDS2018,42,DDoS-LOIC-UDP - Attempted,0,0.0,0.0004986265106116788
CSECICIDS2018,42,Infiltration - Communication Victim Attacker,0,0.0,0.000407967145045919
CSECICIDS2018,42,Web Attack - Brute Force,1,0.002,0.00022664841391439942
CSECICIDS2018,42,Web Attack - Brute Force - Attempted,0,0.0,0.00020851654080124746
CSECICIDS2018,42,Web Attack - XSS,0,0.0,0.00018131873113151953
CSECICIDS2018,42,Infiltration - Dropbox Download,1,0.002,0.00012692311179206367
CSECICIDS2018,42,DoS Hulk - Attempted,0,0.0,9.065936556575977e-05
CSECICIDS2018,42,Web Attack - SQL,0,0.0,6.346155589603184e-05
CSECICIDS2018,42,Infiltration - Dropbox Download - Attempted,0,0.0,3.626374622630391e-05
CSECICIDS2018,42,Web Attack - SQL - Attempted,0,0.0,1.8131873113151955e-05
CSECICIDS2018,42,Web Attack - XSS - Attempted,0,0.0,1.8131873113151955e-05
CSECICIDS2018,7,Benign,250,0.5,0.5439561933945586
CSECICIDS2018,7,DoS Hulk,25,0.05,0.055120894263981944
CSECICIDS2018,7,DDoS-HOIC,27,0.054,0.055048366771529335
CSECICIDS2018,7,DDoS-LOIC-HTTP,40,0.08,0.05492144365973727
CSECICIDS2018,7,SSH-BruteForce,38,0.076,0.05396045438474022
CSECICIDS2018,7,Infiltration - NMAP Portscan,41,0.082,0.053896992828844185
CSECICIDS2018,7,Botnet Ares,22,0.044,0.05388792689228761
CSECICIDS2018,7,FTP-BruteForce - Attempted,19,0.038,0.05314452009464838
CSECICIDS2018,7,DoS GoldenEye,19,0.038,0.040760450758365596
CSECICIDS2018,7,DoS Slowloris,7,0.014,0.016082971451365783
CSECICIDS2018,7,DoS GoldenEye - Attempted,7,0.014,0.007914562613890829
CSECICIDS2018,7,DDoS-LOIC-UDP,2,0.004,0.004768682628758964
CSECICIDS2018,7,DoS Slowloris - Attempted,1,0.002,0.004088737387015766
CSECICIDS2018,7,DDoS-LOIC-UDP - Attempted,0,0.0,0.0005348902568379826
CSECICIDS2018,7,Botnet Ares - Attempted,1,0.002,0.00046236276438537484
CSECICIDS2018,7,Infiltration - Communication Victim Attacker,0,0.0,0.00036263746226303906
CSECICIDS2018,7,Web Attack - Brute Force - Attempted,1,0.002,0.00021758247735782345
CSECICIDS2018,7,Web Attack - Brute Force,0,0.0,0.00020851654080124746
CSECICIDS2018,7,Web Attack - XSS,0,0.0,0.0001994506042446715
CSECICIDS2018,7,DoS Hulk - Attempted,0,0.0,0.0001541209214617916
CSECICIDS2018,7,Infiltration - Dropbox Download,0,0.0,0.00013598904834863967
CSECICIDS2018,7,Web Attack - SQL,0,0.0,7.252749245260782e-05
CSECICIDS2018,7,Infiltration - Dropbox Download - Attempted,0,0.0,7.252749245260782e-05
CSECICIDS2018,7,Web Attack - SQL - Attempted,0,0.0,1.8131873113151955e-05
CSECICIDS2018,7,Web Attack - XSS - Attempted,0,0.0,9.065936556575977e-06
CSECICIDS2018,123,Benign,250,0.5,0.5439561933945586
CSECICIDS2018,123,Infiltration - NMAP Portscan,29,0.058,0.055048366771529335
CSECICIDS2018,123,SSH-BruteForce,31,0.062,0.05493050959629384
CSECICIDS2018,123,Botnet Ares,26,0.052,0.05486704804039781
CSECICIDS2018,123,DDoS-LOIC-HTTP,30,0.06,0.054032981877192826
CSECICIDS2018,123,FTP-BruteForce - Attempted,30,0.06,0.05400578406752309
CSECICIDS2018,123,DoS Hulk,36,0.072,0.05395138844818364
CSECICIDS2018,123,DDoS-HOIC,32,0.064,0.05343463006445881
CSECICIDS2018,123,DoS GoldenEye,19,0.038,0.04152198942911797
CSECICIDS2018,123,DoS Slowloris,7,0.014,0.01552994932141465
CSECICIDS2018,123,DoS GoldenEye - Attempted,3,0.006,0.0076969801365330045
CSECICIDS2018,123,DDoS-LOIC-UDP,2,0.004,0.004678023263193204
CSECICIDS2018,123,DoS Slowloris - Attempted,2,0.004,0.003961814275223702
CSECICIDS2018,123,DDoS-LOIC-UDP - Attempted,1,0.002,0.00046236276438537484
CSECICIDS2018,123,Botnet Ares - Attempted,0,0.0,0.0004442308912722229
CSECICIDS2018,123,Infiltration - Communication Victim Attacker,0,0.0,0.0004260990181590709
CSECICIDS2018,123,Web Attack - Brute Force,1,0.002,0.00024478028702755136
CSECICIDS2018,123,Web Attack - Brute Force - Attempted,0,0.0,0.00022664841391439942
CSECICIDS2018,123,Web Attack - XSS,1,0.002,0.00017225279457494356
CSECICIDS2018,123,DoS Hulk - Attempted,0,0.0,0.00017225279457494356
CSECICIDS2018,123,Infiltration - Dropbox Download,0,0.0,0.00012692311179206367
CSECICIDS2018,123,Web Attack - SQL,0,0.0,5.4395619339455864e-05
CSECICIDS2018,123,Web Attack - SQL - Attempted,0,0.0,2.7197809669727932e-05
CSECICIDS2018,123,Infiltration - Dropbox Download - Attempted,0,0.0,1.8131873113151955e-05
CSECICIDS2018,123,Web Attack - XSS - Attempted,0,0.0,9.065936556575977e-06
CSECICIDS2018,31,Benign,250,0.5,0.5439561933945586
CSECICIDS2018,31,DoS Hulk,38,0.076,0.05492144365973727
CSECICIDS2018,31,Infiltration - NMAP Portscan,32,0.064,0.05483078429417151
CSECICIDS2018,31,FTP-BruteForce - Attempted,31,0.062,0.054323091847003256
CSECICIDS2018,31,Botnet Ares,22,0.044,0.054268696227663796
CSECICIDS2018,31,SSH-BruteForce,31,0.062,0.054259630291107225
CSECICIDS2018,31,DDoS-LOIC-HTTP,28,0.056,0.05388792689228761
CSECICIDS2018,31,DDoS-HOIC,28,0.056,0.0538516631460613
CSECICIDS2018,31,DoS GoldenEye,30,0.06,0.04117748383996809
CSECICIDS2018,31,DoS Slowloris,2,0.004,0.015475553702075193
CSECICIDS2018,31,DoS GoldenEye - Attempted,2,0.004,0.007715112009646157
CSECICIDS2018,31,DDoS-LOIC-UDP,3,0.006,0.0043969792299393485
CSECICIDS2018,31,DoS Slowloris - Attempted,1,0.002,0.0043063198643735895
